  1    1.00    7.82670e+00	       NaN
  2    0.12    6.81721e+00	      0.07
  3    0.06    6.39131e+00	      0.47
  4    0.03    6.19173e+00	      0.49
  5    0.03    5.99842e+00	      1.00
  6    0.03    5.81118e+00	      1.00
  7    0.03    5.62980e+00	      1.00
  8    0.03    5.45410e+00	      1.00
  9    0.02    5.36894e+00	      0.50
 10    0.03    5.20140e+00	      2.01
 11    0.03    5.03910e+00	      1.00
 12    0.03    4.88188e+00	      1.00
 13    0.02    4.80566e+00	      0.50
 14    0.03    4.65573e+00	      2.01
 15    0.03    4.51048e+00	      1.00
 16    0.03    4.45725e+00	      0.37
 17    0.03    4.23344e+00	      4.34
 18    0.03    4.10137e+00	      0.62
 19    0.03    3.97343e+00	      1.00
 20    0.03    3.84948e+00	      1.00
 21    0.03    3.72939e+00	      1.00
 22    0.03    3.61305e+00	      1.00
 23    0.06    3.38802e+00	      2.03
 24    0.03    3.28233e+00	      0.49
 25    0.03    3.17993e+00	      1.00
 NaN   NaN        NaN             NaN
  1    1.00    7.03045e+00	       NaN
  2    0.12    6.10830e+00	      0.11
  3    0.12    5.56886e+00	      0.66
  4    0.06    5.21526e+00	      0.71
  5    0.06    4.88478e+00	      1.00
  6    0.06    4.72998e+00	      0.49
  7    0.06    4.28676e+00	      3.06
  8    0.06    4.01634e+00	      0.66
  9    0.06    3.76326e+00	      1.00
 10    0.06    3.52635e+00	      1.00
 11    0.06    3.30454e+00	      1.00
 12    0.12    2.88681e+00	      2.08
 13    0.06    2.70557e+00	      0.48
 14    0.06    2.53579e+00	      1.00
 15    0.06    2.37673e+00	      1.00
 16    0.06    2.22771e+00	      1.00
 17    0.06    2.08807e+00	      1.00
 18    0.12    1.82570e+00	      2.07
 19    0.12    1.59652e+00	      1.00
 20    0.12    1.39626e+00	      1.00
 21    0.12    1.22123e+00	      1.00
 22    0.12    1.06822e+00	      1.00
 23    0.25    8.00127e-01	      2.16
 24    0.12    6.99977e-01	      0.46
 25    0.25    6.34074e-01	      0.74
 NaN   NaN        NaN             NaN
  1    1.00    5.64024e+00	       NaN
  2    0.25    4.38065e+00	      0.32
  3    0.12    3.76923e+00	      0.59
  4    0.12    3.26703e+00	      0.95
  5    0.12    2.84113e+00	      0.98
  6    0.12    2.47537e+00	      0.99
  7    0.12    2.15923e+00	      0.99
  8    0.12    1.88495e+00	      0.99
  9    0.25    1.40235e+00	      2.18
 10    0.12    1.22580e+00	      0.45
 11    0.25    9.15953e-01	      2.17
 12    0.25    6.85381e-01	      1.00
 13    0.50    3.39731e-01	      2.42
 14    0.25    2.54652e-01	      0.41
 15    0.50    1.27025e-01	      2.41
 16    0.50    6.34447e-02	      1.00
 17    1.00    2.58183e-02	      1.30
 18    1.00    2.01865e-03	      2.83
 19    1.00    3.25039e-05	      1.62
 20    1.00    1.23535e-08	      1.91
 NaN   NaN        NaN             NaN
  1    0.25    3.59382e-01	       NaN
  2    0.25    2.73170e-01	      1.00
  3    0.25    2.07311e-01	      1.01
  4    0.50    1.10185e-01	      2.29
  5    0.50    5.75474e-02	      1.03
  6    1.00    3.96873e-02	      0.57
  7    1.00    4.62440e-03	      5.79
  8    1.00    5.81199e-05	      2.04
  9    1.00    1.71654e-08	      1.86
 NaN   NaN        NaN             NaN
  1    0.25    2.67914e-01	       NaN
  2    0.25    1.98044e-01	      0.95
  3    0.25    1.47450e-01	      0.98
  4    0.50    7.54042e-02	      2.27
  5    0.50    3.59795e-02	      1.10
  6    1.00    3.24736e-02	      0.14
  7    1.00    1.81432e-03	     28.14
  8    1.00    2.79878e-05	      1.45
  9    1.00    8.49299e-09	      1.94
 NaN   NaN        NaN             NaN
  1    0.25    2.57462e-01	       NaN
  2    0.25    1.90112e-01	      0.93
  3    0.50    1.77050e-01	      0.23
  4    0.50    7.85116e-02	     11.42
  5    0.50    2.69733e-02	      1.31
  6    1.00    1.93039e-02	      0.31
  7    1.00    4.58128e-04	     11.18
  8    1.00    2.70129e-06	      1.37
  9    1.00    8.74041e-11	      2.01
 NaN   NaN        NaN             NaN
