HEADER	
'time'	'total volume'
UNITS	
'min'	'cm^3'
0.02	-0.061134468
0.05	-0.074959468
0.12	-0.061484468
0.15	-0.081084468
0.22	-0.061309468
0.25	-0.085284468
0.32	-0.063059468
0.35	-0.060784468
0.4	-0.061659468
0.43	-0.059384468
0.48	-0.051684468
0.52	-0.056059468
0.55	-0.060084468
0.6	-0.059734468
0.63	-0.062709468
0.68	-0.064109468
0.72	-0.066034468
0.77	-0.048534468
0.82	-0.060609468
0.85	-0.056759468
0.9	-0.091584468
0.95	-0.057109468
1	-0.059209468
1.03	-0.072684468
1.08	-0.080734468
1.12	-0.069009468
1.15	-0.074609468
1.2	-0.064634468
1.25	-0.056234468
1.3	-0.065159468
1.35	-0.063934468
1.38	-0.061309468
1.42	-0.061309468
1.45	-0.055709468
1.5	-0.056059468
1.53	-0.058159468
1.58	-0.059559468
1.65	-0.054834468
1.7	-0.057984468
1.75	-0.057984468
1.82	-0.056759468
1.88	-0.076709468
1.97	-0.064809468
2.03	-0.066734468
2.12	-0.072334468
2.22	-0.073734468
2.32	-0.067084468
2.42	-0.051509468
2.53	-0.055709468
2.67	-0.051159468
2.8	-0.048534468
2.95	-0.069009468
3.1	-0.081784468
3.27	-0.056759468
3.45	-0.060084468
3.65	-0.059209468
3.87	-0.047134468
4.08	-0.075484468
4.33	-0.048184468
4.6	-0.072509468
4.9	-0.062359468
5.2	-0.054484468
5.55	-0.072159468
5.9	-0.083184468
6.3	-0.072684468
6.72	-0.055534468
7.18	-0.064109468
7.7	-0.069359468
8.25	-0.074084468
8.82	-0.060434468
9.45	-0.078809468
10.12	-0.058334468
10.85	-0.059559468
11.62	-0.059384468
12.47	-0.060084468
13.38	-0.060609468
14.37	-0.055534468
15.43	-0.052909468
16.6	-0.055884468
17.83	-0.070409468
19.17	-0.053959468
20.62	-0.073034468
22.18	-0.064984468
23.87	-0.070584468
25.7	-0.057284468
27.05	-0.072859468
27.12	-0.059034468
27.15	-0.076009468
27.18	-0.089309468
27.23	-0.069009468
27.27	-0.080384468
27.33	-0.050109468
27.37	-0.062709468
27.42	-0.068309468
27.47	-0.069534468
27.52	-0.065334468
27.57	-0.071984468
27.6	-0.062709468
27.63	-0.056759468
27.68	-0.064459468
27.73	-0.077059468
27.77	-0.084409468
27.82	-0.060259468
27.87	-0.074784468
27.9	-0.073909468
27.93	-0.078809468
27.98	-0.074609468
28.05	-0.060784468
28.1	-0.060084468
28.17	-0.080734468
28.2	-0.053084468
28.25	-0.076534468
28.3	-0.076009468
28.35	-0.070234468
28.43	-0.066734468
28.48	-0.041884468
28.55	-0.080734468
28.6	-0.075659468
28.67	-0.083709468
28.7	-0.083884468
28.75	-0.083534468
28.8	-0.091759468
28.83	-0.077934468
28.88	-0.086859468
28.95	-0.078284468
29	-0.077409468
29.07	-0.073909468
29.13	-0.056759468
29.2	-0.071284468
29.28	-0.074784468
29.37	-0.057809468
29.47	-0.049409468
29.57	-0.065859468
29.67	-0.077059468
29.78	-0.058509468
29.92	-0.054134468
30.05	-0.054134468
30.2	-0.073734468
30.35	-0.054659468
30.52	-0.080909468
30.7	-0.073909468
30.9	-0.046259468
31.12	-0.067259468
31.33	-0.063584468
31.58	-0.083709468
31.85	-0.065509468
32.15	-0.085284468
32.47	-0.058509468
32.8	-0.062884468
33.17	-0.054309468
33.57	-0.071459468
33.98	-0.071109468
34.43	-0.058684468
34.98	-0.080734468
35.5	-0.057284468
36.1	-0.079859468
36.72	-0.072859468
37.37	-0.074434468
38.13	-0.061134468
38.87	-0.066034468
39.75	-0.085459468
40.63	-0.080034468
41.62	-0.076359468
42.72	-0.074434468
43.83	-0.070409468
45.08	-0.070759468
46.42	-0.064109468
47.88	-0.067959468
49.45	-0.074784468
51.12	-0.062884468
52.97	-0.074084468
54.93	-0.070234468
57.08	-0.061484468
59.32	-0.056584468
61.85	-0.075134468
64.53	-0.069184468
67.38	-0.060959468
70.53	-0.075834468
73.92	-0.064984468
77.53	-0.077934468
81.48	-0.061309468
85.73	-0.069884468
90.28	-0.063934468
95.27	-0.063409468
100.63	-0.077934468
105.98	-0.085634468
111.35	-0.059559468
116.72	-0.073559468
122.02	-0.069709468
127.4	-0.068309468
132.75	-0.073734468
138.12	-0.070584468
143.48	-0.070934468
148.83	-0.070059468
154.15	-0.050109468
159.53	-0.067784468
164.88	-0.083709468
170.27	-0.075134468
175.62	-0.077409468
180.97	-0.084934468
186.28	-0.083009468
191.68	-0.076534468
197.02	-0.083009468
202.38	-0.079334468
207.73	-0.077759468
213.08	-0.073559468
218.4	-0.067609468
223.8	-0.076009468
229.13	-0.057984468
234.5	-0.066909468
239.87	-0.075659468
245.2	-0.068309468
250.53	-0.075834468
255.93	-0.070759468
261.28	-0.077409468
266.65	-0.064284468
271.98	-0.056059468
277.33	-0.059734468
282.67	-0.066034468
288.05	-0.066734468
293.42	-0.067609468
298.77	-0.053784468
304.12	-0.070584468
309.48	-0.061834468
314.8	-0.061134468
320.18	-0.056584468
325.53	-0.059909468
330.92	-0.063409468
336.27	-0.078109468
341.62	-0.055709468
346.93	-0.055884468
352.33	-0.053084468
357.67	-0.056759468
363.03	-0.059384468
368.4	-0.053434468
373.73	-0.056759468
379.07	-0.052559468
384.45	-0.054659468
389.85	-0.051684468
395.17	-0.053434468
400.52	-0.060959468
405.87	-0.053609468
411.18	-0.060084468
416.58	-0.052209468
421.97	-0.046959468
427.28	-0.045559468
432.65	-0.064459468
438	-0.055359468
443.33	-0.048709468
448.73	-0.038209468
454.07	-0.060609468
459.42	-0.043459468
464.78	-0.060434468
470.13	-0.060084468
475.45	-0.064459468
480.85	-0.053084468
486.2	-0.057109468
491.57	-0.059559468
496.92	-0.056059468
502.27	-0.059209468
507.58	-0.056409468
512.97	-0.069709468
518.33	-0.054484468
523.68	-0.057284468
529.03	-0.050984468
534.38	-0.057809468
539.72	-0.049234468
545.1	-0.057284468
550.45	-0.054659468
555.83	-0.054484468
561.17	-0.052734468
566.53	-0.054484468
571.85	-0.069009468
577.23	-0.055709468
582.6	-0.055884468
587.93	-0.061484468
593.32	-0.055359468
598.65	-0.056059468
603.98	-0.070409468
609.37	-0.053784468
614.72	-0.057809468
620.07	-0.050809468
625.43	-0.055359468
630.78	-0.059034468
