HEADER	
'time'	'average water saturation'
UNITS	Sw_avrg
'min'	'fraction'
0.02	1.003874561
0.05	1.004750758
0.12	1.003896744
0.15	1.005138946
0.22	1.003885653
0.25	1.005405133
0.32	1.003996564
0.35	1.003852379
0.4	1.003907835
0.43	1.003763651
0.48	1.003275642
0.52	1.00355292
0.55	1.003808015
0.6	1.003785833
0.63	1.003974381
0.68	1.00406311
0.72	1.004185112
0.77	1.003076003
0.82	1.003841288
0.85	1.003597284
0.9	1.005804412
0.95	1.003619466
1	1.003752559
1.03	1.004606574
1.08	1.005116764
1.12	1.004373661
1.15	1.004728576
1.2	1.004096383
1.25	1.003564011
1.3	1.004129657
1.35	1.004052019
1.38	1.003885653
1.42	1.003885653
1.45	1.003530738
1.5	1.00355292
1.53	1.003686013
1.58	1.003774742
1.65	1.003475282
1.7	1.003674922
1.75	1.003674922
1.82	1.003597284
1.88	1.004861669
1.97	1.004107475
2.03	1.004229477
2.12	1.004584392
2.22	1.00467312
2.32	1.004251659
2.42	1.003264551
2.53	1.003530738
2.67	1.003242369
2.8	1.003076003
2.95	1.004373661
3.1	1.005183311
3.27	1.003597284
3.45	1.003808015
3.65	1.003752559
3.87	1.002987274
4.08	1.004784031
4.33	1.00305382
4.6	1.004595483
4.9	1.003952199
5.2	1.0034531
5.55	1.004573301
5.9	1.00527204
6.3	1.004606574
6.72	1.003519646
7.18	1.00406311
7.7	1.004395843
8.25	1.004695303
8.82	1.003830197
9.45	1.004994762
10.12	1.003697104
10.85	1.003774742
11.62	1.003763651
12.47	1.003808015
13.38	1.003841288
14.37	1.003519646
15.43	1.00335328
16.6	1.003541829
17.83	1.00446239
19.17	1.003419827
20.62	1.004628756
22.18	1.004118566
23.87	1.004473481
25.7	1.003630557
27.05	1.004617665
27.12	1.003741468
27.15	1.004817305
27.18	1.005660228
27.23	1.004373661
27.27	1.005094582
27.33	1.003175822
27.37	1.003974381
27.42	1.004329296
27.47	1.004406934
27.52	1.004140748
27.57	1.004562209
27.6	1.003974381
27.63	1.003597284
27.68	1.004085292
27.73	1.004883851
27.77	1.005349677
27.82	1.003819106
27.87	1.004739667
27.9	1.004684212
27.93	1.004994762
27.98	1.004728576
28.05	1.003852379
28.1	1.003808015
28.17	1.005116764
28.2	1.003364371
28.25	1.004850578
28.3	1.004817305
28.35	1.004451298
28.43	1.004229477
28.48	1.002654541
28.55	1.005116764
28.6	1.004795122
28.67	1.005305313
28.7	1.005316404
28.75	1.005294222
28.8	1.005815503
28.83	1.004939307
28.88	1.005504953
28.95	1.004961489
29	1.004906033
29.07	1.004684212
29.13	1.003597284
29.2	1.004517845
29.28	1.004739667
29.37	1.003663831
29.47	1.003131458
29.57	1.004174021
29.67	1.004883851
29.78	1.003708195
29.92	1.003430918
30.05	1.003430918
30.2	1.00467312
30.35	1.003464191
30.52	1.005127855
30.7	1.004684212
30.9	1.002931818
31.12	1.00426275
31.33	1.004029837
31.58	1.005305313
31.85	1.004151839
32.15	1.005405133
32.47	1.003708195
32.8	1.003985472
33.17	1.003442009
33.57	1.004528936
33.98	1.004506754
34.43	1.003719286
34.98	1.005116764
35.5	1.003630557
36.1	1.005061309
36.72	1.004617665
37.37	1.004717485
