HEADER	
'time'	'average water saturation'
UNITS	Sw_avrg
'second'	'fraction'
0	1
281.25	0.999999363
562.5	0.9999949
1125	0.99999251
2250	0.999990461
4500	0.999988776
9000	0.999987819
18000	0.999987365
36000	0.999987213
46225.2	0.999987197
46506.45	0.976606698
46787.7	0.968670335
47350.2	0.963357629
48475.2	0.960748884
50725.2	0.959920514
55225.2	0.959773013
64225.2	0.959759225
82225.2	0.959758573
118225.2	0.959758557
132625.8	0.959758557
132907.05	0.932784808
133188.3	0.921799123
133750.8	0.914757656
134875.8	0.911804789
137125.8	0.911049193
141625.8	0.910962172
150625.8	0.910957214
168625.8	0.91095707
204625.8	0.910957068
217236	0.910957068
217517.25	0.839620828
217798.5	0.812264727
218361	0.799364054
219486	0.795779017
221736	0.795246983
226236	0.795205958
235236	0.795204343
253236	0.795204311
289236	0.795204311
303643.2	0.795204311
303924.45	0.693494873
304205.7	0.663156611
304768.2	0.648995225
305893.2	0.642730765
308143.2	0.640863906
312643.2	0.640541624
321643.2	0.640511877
339643.2	0.640510447
363051	0.640510413
363332.25	0.576091983
363613.5	0.559272216
364176	0.54517461
365301	0.532712863
367551	0.524823971
372051	0.522035191
381051	0.52153445
399051	0.521489003
406254	0.521487054
406535.25	0.489359435
406816.5	0.479649316
407379	0.471358977
408504	0.465500125
410754	0.462492648
415254	0.46149517
424254	0.461307252
442254	0.461288075
463863	0.461287103
464144.25	0.434065009
464425.5	0.42534932
464988	0.415243571
466113	0.402042676
468363	0.386826699
472863	0.373142896
481863	0.369114659
499863	0.368288163
535863	0.368206074
573643.8	0.368206075
