HEADER
'SW'	'PCOW'
UNITS
'none'	'bar'
0.300	2.075
0.309	1.793
0.318	1.519
0.331	1.280
0.346	1.085
0.363	0.924
0.381	0.794
0.399	0.690
0.419	0.612
0.438	0.547
0.457	0.495
0.477	0.451
0.497	0.412
0.516	0.378
0.536	0.352
0.556	0.330
0.575	0.317
0.595	0.304
0.615	0.282
0.635	0.265
0.655	0.252
0.674	0.243
0.694	0.234
0.714	0.226
0.734	0.208
0.754	0.195
0.773	0.191
0.793	0.187
0.813	0.178
0.833	0.174
0.853	0.165
0.872	0.161
0.892	0.161
0.912	0.165
0.932	0.165
0.952	0.152
0.971	0.139
0.991	0.139
1.000	0.139
