HEADER	
'time'	'total volume'
UNITS	
's'	'm^3'
70.3125	0
140.625	0
281.25	0
562.5	0
1125	0
2250	0
4500	0
9000	0
18000	0
36000	0
46217.99999	0
46288.31249	7.87E-07
46358.62499	1.12E-06
46499.24999	1.36E-06
46780.49999	1.49E-06
47342.99999	1.53E-06
48467.99999	1.54E-06
50717.99999	1.54E-06
55217.99999	1.54E-06
64217.99999	1.54E-06
82217.99999	1.54E-06
118218	1.54E-06
132622.2	1.54E-06
132692.5125	2.41E-06
132762.825	2.80E-06
132903.45	3.06E-06
133184.7	3.16E-06
133747.2	3.18E-06
134872.2	3.18E-06
137122.2	3.18E-06
141622.2	3.18E-06
150622.2	3.18E-06
168622.2	3.18E-06
204622.2	3.18E-06
217228.2	3.18E-06
217298.5125	4.62E-06
217368.825	5.19E-06
217509.45	5.50E-06
217790.7	5.60E-06
218353.2	5.63E-06
219478.2	5.63E-06
221728.2	5.63E-06
226228.2	5.63E-06
235228.2	5.63E-06
253228.2	5.63E-06
289228.2	5.63E-06
303634.2	5.63E-06
303704.5125	7.15E-06
303774.825	7.61E-06
303915.45	7.86E-06
304196.7	8.01E-06
304759.2	8.09E-06
305884.2	8.13E-06
308134.2	8.14E-06
312634.2	8.14E-06
321634.2	8.14E-06
339634.2	8.14E-06
363031.8001	8.14E-06
363102.1126	9.01E-06
363172.4251	9.18E-06
363313.0501	9.28E-06
363594.3001	9.36E-06
364156.8001	9.42E-06
365281.8001	9.47E-06
367531.8001	9.51E-06
372031.8001	9.55E-06
381031.8001	9.58E-06
399031.8001	9.59E-06
406239.0001	9.59E-06
406309.3126	9.95E-06
406379.6251	9.99E-06
406520.2501	1.00E-05
406801.5001	1.00E-05
407364.0001	1.01E-05
408489.0001	1.01E-05
410739.0001	1.01E-05
415239.0001	1.01E-05
424239.0001	1.01E-05
442239.0001	1.01E-05
463843.8	1.01E-05
463914.1125	1.03E-05
463984.425	1.03E-05
464125.05	1.03E-05
464406.3	1.03E-05
464968.8	1.03E-05
466093.8	1.03E-05
468343.8	1.03E-05
472843.8	1.03E-05
481843.8	1.03E-05
499843.8	1.03E-05
535843.8	1.03E-05
573648.0001	1.03E-05
