HEADER	
'time'	'rotational speed'
UNITS	
'min'	'rpm'
0	500
770.2	500
770.33	694
770.38	730
770.42	750
2210.37	803
2210.4	873
2210.43	900
3620.5	1134
3620.53	1166
3620.57	1187
3620.6	1200
5060.5	1227
5060.53	1510
5060.58	1718
5060.6	1742
5060.63	1759
5060.65	1773
5060.67	1787
5060.7	1795
5060.72	1800
6050.58	1840
6050.62	2124
6050.65	2384
6050.68	2618
6050.72	2647
6050.75	2671
6050.78	2686
6050.82	2697
6050.85	2700
6770.65	2736
6770.67	2911
6770.68	3135
6770.72	3341
6770.73	3514
6770.77	3539
6770.78	3555
6770.8	3569
6770.83	3581
6770.85	3590
6770.87	3597
6770.9	3600
7730.73	3642
7730.75	3889
7730.8	4227
7730.83	4572
7730.85	4875
7730.88	4941
7730.92	4958
7730.95	4975
7730.98	4989
7731.02	4998
7731.05	5000
9560.73	5000
