HEADER		
'time'		'rotational speed'
UNITS   		
'hour'		'rpm'
0	0	
0.0005	500	
12.83833333	655	
12.83916667	706	
12.84	738	
12.8405	752	
36.8395	836	
36.84	887	
36.8405	900	
60.34116667	1105	
60.34166667	1143	
60.34216667	1176	
60.343	1191	
60.34366667	1200	
84.34283333	1672	
84.343	1727	
84.34333333	1747	
84.34383333	1765	
84.34416667	1778	
84.34466667	1790	
84.345	1797	
84.3455	1800	
100.8421667	1799	
100.8433333	1899	
100.8438333	2198	
100.8445	2480	
100.845	2629	
100.8455	2654	
100.8461667	2676	
100.8466667	2690	
100.8471667	2698	
100.8478333	2700	
112.8441667	2778	
112.8445	2979	
112.845	3194	
112.8453333	3401	
112.8455	3525	
112.8461667	3544	
112.8463333	3559	
112.847	3573	
112.8471667	3584	
112.8475	3592	
112.848	3597	
112.8483333	3603	
128.8455	3703	
128.8461667	3981	
128.8466667	4317	
128.8471667	4672	
128.8478333	4919	
128.8483333	4945	
128.8488333	4963	
128.8495	4979	
128.85	4992	
128.8505	4999	
128.8511667	5000	
159.3466667	5000	
