HEADER	
'time'		'average water saturation'
UNITS	
'second'    	'fraction'
1.00E-01	1.00E+00
1.72E-01	1.00E+00
2.29E-01	1.00E+00
2.97E-01	1.00E+00
3.79E-01	1.00E+00
4.77E-01	1.00E+00
5.95E-01	1.00E+00
7.36E-01	1.00E+00
9.05E-01	1.00E+00
1.11E+00	1.00E+00
1.35E+00	1.00E+00
1.64E+00	1.00E+00
2.00E+00	1.00E+00
2.42E+00	1.00E+00
2.92E+00	1.00E+00
3.53E+00	1.00E+00
4.26E+00	1.00E+00
5.13E+00	1.00E+00
6.18E+00	1.00E+00
7.44E+00	1.00E+00
8.95E+00	1.00E+00
1.08E+01	1.00E+00
1.29E+01	1.00E+00
1.55E+01	1.00E+00
1.87E+01	1.00E+00
2.24E+01	1.00E+00
2.69E+01	1.00E+00
3.24E+01	1.00E+00
3.88E+01	1.00E+00
4.66E+01	1.00E+00
5.60E+01	1.00E+00
6.72E+01	1.00E+00
8.07E+01	1.00E+00
9.68E+01	1.00E+00
1.16E+02	1.00E+00
1.39E+02	1.00E+00
1.67E+02	1.00E+00
2.01E+02	1.00E+00
2.41E+02	1.00E+00
2.89E+02	1.00E+00
3.47E+02	1.00E+00
4.17E+02	1.00E+00
5.00E+02	1.00E+00
6.00E+02	1.00E+00
7.20E+02	1.00E+00
8.64E+02	1.00E+00
1.04E+03	1.00E+00
1.24E+03	1.00E+00
1.49E+03	1.00E+00
1.79E+03	1.00E+00
2.15E+03	1.00E+00
2.58E+03	1.00E+00
3.10E+03	1.00E+00
3.72E+03	1.00E+00
4.46E+03	1.00E+00
5.35E+03	1.00E+00
6.42E+03	1.00E+00
7.71E+03	1.00E+00
9.25E+03	1.00E+00
1.09E+04	1.00E+00
1.29E+04	1.00E+00
1.53E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	1.00E+00
1.80E+04	9.99E-01
1.80E+04	9.99E-01
1.80E+04	9.99E-01
1.81E+04	9.99E-01
1.81E+04	9.99E-01
1.81E+04	9.99E-01
1.81E+04	9.99E-01
1.81E+04	9.99E-01
1.81E+04	9.99E-01
1.82E+04	9.99E-01
1.82E+04	9.98E-01
1.82E+04	9.98E-01
1.83E+04	9.98E-01
1.83E+04	9.98E-01
1.84E+04	9.98E-01
1.85E+04	9.97E-01
1.86E+04	9.97E-01
1.87E+04	9.97E-01
1.88E+04	9.97E-01
1.89E+04	9.96E-01
1.91E+04	9.96E-01
1.93E+04	9.96E-01
1.96E+04	9.95E-01
1.99E+04	9.95E-01
2.03E+04	9.95E-01
2.07E+04	9.95E-01
2.12E+04	9.94E-01
2.18E+04	9.94E-01
2.26E+04	9.94E-01
2.35E+04	9.93E-01
2.46E+04	9.93E-01
2.59E+04	9.93E-01
2.74E+04	9.92E-01
2.93E+04	9.92E-01
3.15E+04	9.92E-01
3.42E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.92E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.91E-01
3.60E+04	9.90E-01
3.60E+04	9.90E-01
3.60E+04	9.90E-01
3.60E+04	9.90E-01
3.60E+04	9.90E-01
3.60E+04	9.90E-01
3.60E+04	9.90E-01
3.60E+04	9.90E-01
3.60E+04	9.89E-01
3.60E+04	9.89E-01
3.60E+04	9.89E-01
3.60E+04	9.89E-01
3.60E+04	9.89E-01
3.60E+04	9.89E-01
3.60E+04	9.89E-01
3.60E+04	9.88E-01
3.60E+04	9.88E-01
3.60E+04	9.88E-01
3.60E+04	9.88E-01
3.60E+04	9.88E-01
3.60E+04	9.87E-01
3.60E+04	9.87E-01
3.60E+04	9.87E-01
3.60E+04	9.87E-01
3.60E+04	9.87E-01
3.60E+04	9.86E-01
3.60E+04	9.86E-01
3.60E+04	9.86E-01
3.60E+04	9.86E-01
3.60E+04	9.85E-01
3.60E+04	9.85E-01
3.60E+04	9.85E-01
3.60E+04	9.85E-01
3.60E+04	9.84E-01
3.60E+04	9.84E-01
3.60E+04	9.84E-01
3.60E+04	9.84E-01
3.60E+04	9.83E-01
3.60E+04	9.83E-01
3.60E+04	9.83E-01
3.60E+04	9.83E-01
3.60E+04	9.82E-01
3.60E+04	9.82E-01
3.60E+04	9.82E-01
3.60E+04	9.81E-01
3.60E+04	9.81E-01
3.60E+04	9.81E-01
3.60E+04	9.80E-01
3.60E+04	9.80E-01
3.60E+04	9.80E-01
3.60E+04	9.80E-01
3.60E+04	9.79E-01
3.60E+04	9.79E-01
3.60E+04	9.78E-01
3.60E+04	9.78E-01
3.60E+04	9.78E-01
3.60E+04	9.78E-01
3.60E+04	9.77E-01
3.60E+04	9.77E-01
3.60E+04	9.77E-01
3.60E+04	9.76E-01
3.60E+04	9.76E-01
3.60E+04	9.76E-01
3.60E+04	9.75E-01
3.60E+04	9.75E-01
3.60E+04	9.74E-01
3.60E+04	9.74E-01
3.60E+04	9.74E-01
3.60E+04	9.73E-01
3.60E+04	9.73E-01
3.60E+04	9.73E-01
3.60E+04	9.72E-01
3.60E+04	9.72E-01
3.60E+04	9.72E-01
3.60E+04	9.71E-01
3.60E+04	9.71E-01
3.60E+04	9.71E-01
3.60E+04	9.70E-01
3.60E+04	9.70E-01
3.60E+04	9.69E-01
3.60E+04	9.69E-01
3.60E+04	9.69E-01
3.60E+04	9.68E-01
3.60E+04	9.68E-01
3.60E+04	9.68E-01
3.60E+04	9.67E-01
3.60E+04	9.67E-01
3.60E+04	9.66E-01
3.60E+04	9.66E-01
3.60E+04	9.66E-01
3.60E+04	9.65E-01
3.60E+04	9.65E-01
3.60E+04	9.65E-01
3.60E+04	9.64E-01
3.60E+04	9.64E-01
3.60E+04	9.63E-01
3.60E+04	9.63E-01
3.60E+04	9.63E-01
3.60E+04	9.62E-01
3.60E+04	9.62E-01
3.60E+04	9.62E-01
3.60E+04	9.61E-01
3.60E+04	9.61E-01
3.60E+04	9.60E-01
3.60E+04	9.60E-01
3.60E+04	9.60E-01
3.60E+04	9.59E-01
3.60E+04	9.59E-01
3.60E+04	9.58E-01
3.60E+04	9.58E-01
3.60E+04	9.58E-01
3.60E+04	9.57E-01
3.60E+04	9.57E-01
3.60E+04	9.57E-01
3.60E+04	9.56E-01
3.60E+04	9.56E-01
3.60E+04	9.55E-01
3.60E+04	9.55E-01
3.60E+04	9.55E-01
3.60E+04	9.54E-01
3.60E+04	9.54E-01
3.60E+04	9.54E-01
3.60E+04	9.53E-01
3.60E+04	9.53E-01
3.60E+04	9.52E-01
3.60E+04	9.52E-01
3.60E+04	9.52E-01
3.60E+04	9.51E-01
3.60E+04	9.51E-01
3.60E+04	9.50E-01
3.60E+04	9.50E-01
3.60E+04	9.50E-01
3.60E+04	9.49E-01
3.60E+04	9.49E-01
3.61E+04	9.49E-01
3.61E+04	9.48E-01
3.61E+04	9.48E-01
3.61E+04	9.47E-01
3.61E+04	9.47E-01
3.61E+04	9.47E-01
3.61E+04	9.46E-01
