HEADER	
'time'		'average water saturation'
UNITS	
'hour'    	'fraction'
0.19316		0.99442
1.24176     0.99601
2.29035     0.99601
3.33895     0.99601
4.38755     0.99601
5.43614     0.99601
6.48474     0.99601
7.53334     0.99601
8.58194     0.99601
9.63053     0.99601
9.96418     0.98478
10.01184    0.92572
10.06904    0.86076
10.17866    0.80324
10.53614    0.73649
11.39408    0.69055
12.44268    0.68284
13.49128    0.68284
14.53987    0.68284
14.92118    0.67635
15.01651    0.61463
15.05226    0.54902
15.18333    0.48528
16.01744    0.43148
17.06604    0.42592
18.11464    0.42331
19.16323    0.42286
20.01164    0.39985
20.83146    0.3666
21.88005    0.36342
22.92865    0.36093
23.45295    0.36093
24.50155    0.36036
25.2308     0.32873
26.2651     0.3244
27.31369    0.32349
28.36229    0.32179
29.41089    0.321
29.86369    0.321










































