HEADER	
'time'	'average water saturation'
UNITS	
'second'	'none'
0	0.343269231
2.34375	0.346397299
4.6875	0.344956479
9.375	0.343497519
18.75	0.341802332
37.5	0.339792919
75	0.337257675
150	0.332298509
300	0.323557754
600	0.309358424
1200	0.290579652
1800	0.277791304
2400	0.26861947
3000	0.261789532
3600	0.256518368
4200	0.252284877
4800	0.248801138
5400	0.245898769
6000	0.243395648
6600	0.241225948
7200	0.239343408
7800	0.23769613
8400	0.236238956
9000	0.234921784
9600	0.233718562
10200	0.232615803
10800	0.231600269
11400	0.230667966
12000	0.229816468
12600	0.229025562
13200	0.228302598
13800	0.227632953
14400	0.22700997
14402.34375	0.231796831
14404.6875	0.236255027
14409.375	0.244263977
14418.75	0.257819919
14437.5	0.278742677
14475	0.307077299
14550	0.338995742
14700	0.366912312
15000	0.38495149
15600	0.393949529
16200	0.396138623
16800	0.396526961
17400	0.396431142
18000	0.396202035
18600	0.395940561
19200	0.395675428
19800	0.395415188
20400	0.39516258
21000	0.39491876
21600	0.394682937
22200	0.394455433
22800	0.394236902
23400	0.394027966
24000	0.393829009
24600	0.39364036
25200	0.393462217
25800	0.393294665
26400	0.393136151
27000	0.392986495
27600	0.392845814
28200	0.392714134
28800	0.392591267
28802.34375	0.396060646
28804.6875	0.399346941
28809.375	0.405344948
28818.75	0.415553942
28837.5	0.431196413
28875	0.451475591
28950	0.47230863
29100	0.488674119
29400	0.498815632
30000	0.503152963
30600	0.504459002
31200	0.504936287
31800	0.505123749
32400	0.505190382
33000	0.50519785
33600	0.505177477
34200	0.505143676
34800	0.505103358
35400	0.505059884
36000	0.505014903
36600	0.504969233
37200	0.504923285
37800	0.504877275
38400	0.504831315
39000	0.504785474
39600	0.504739792
40200	0.5046943
40800	0.504648967
41400	0.504603778
42000	0.504558734
42600	0.504513849
43200	0.504469138
43800	0.504424623
44400	0.504380325
45000	0.504336264
45600	0.504292461
46200	0.504248936
46800	0.504205709
47400	0.504162799
48000	0.504120226
48600	0.504078007
49200	0.504036161
49800	0.503994705
50400	0.503953657
50402.34375	0.509450029
50404.6875	0.514532375
50409.375	0.523382757
50418.75	0.537278232
50437.5	0.556145867
50475	0.577015911
50550	0.594354403
50700	0.605852748
51000	0.611748168
51600	0.614565775
52200	0.615772258
52800	0.61644835
53400	0.616869158
54000	0.617142482
54600	0.617323844
55200	0.617444521
55800	0.617525018
56400	0.617578205
57000	0.617612407
57600	0.617633599
58200	0.617645834
58800	0.617651923
59400	0.61765382
60000	0.617652884
60600	0.617650064
61200	0.61764602
61800	0.617641213
62400	0.617635964
63000	0.617630494
63600	0.617624956
64200	0.617619454
64800	0.617614058
65400	0.617608814
66000	0.617603749
66600	0.617598881
67200	0.617594218
67800	0.617589763
68400	0.617585513
69000	0.617581466
69600	0.617577615
70200	0.617573952
70800	0.617570471
71400	0.617567164
72000	0.617564021
72600	0.61756144
73200	0.617559256
73800	0.61755737
74400	0.617555722
75000	0.617554272
75600	0.617552988
76200	0.617551847
76800	0.61755083
77400	0.617549921
78000	0.617549108
78600	0.617548378
79200	0.617547723
79800	0.617547135
80400	0.617546606
81000	0.617546131
81600	0.617545704
82200	0.61754532
82800	0.617544975
83400	0.617544665
84000	0.617544387
84600	0.617544137
85200	0.617543913
85800	0.617543711
86400	0.617543531
87000	0.617543369
87600	0.617543224
88200	0.617543094
88800	0.617542978
89400	0.617542874
90000	0.617542781
90600	0.617542698
91200	0.617542624
91800	0.617542557
92400	0.617542498
93000	0.617542446
93600	0.617542399
94200	0.617542357
94800	0.617542319
95400	0.617542286
96000	0.617542257
96600	0.61754223
97200	0.617542207
97800	0.617542186
98400	0.617542168
99000	0.617542152
99600	0.617542137
100200	0.617542124
100800	0.617542113
101400	0.617542102
102000	0.617542093
102600	0.617542085
103200	0.617542078
103800	0.617542072
104400	0.617542067
105000	0.617542062
105600	0.617542057
106200	0.617542053
106800	0.61754205
107400	0.617542047
108000	0.617542044
108600	0.617542042
109200	0.61754204
109800	0.617542038
110400	0.617542036
111000	0.617542035
111600	0.617542034
112200	0.617542033
112800	0.617542032
113400	0.617542031
114000	0.61754203
114600	0.617542029
115200	0.617542029
115800	0.617542028
116400	0.617542028
117000	0.617542027
117600	0.617542027
118200	0.617542026
118800	0.617542026
119400	0.617542026
120000	0.617542026
120600	0.617542025
121200	0.617542025
121800	0.617542025
122400	0.617542025
123000	0.617542025
123600	0.617542025
124200	0.617542025
124800	0.617542025
125400	0.617542024
126000	0.617542024
126600	0.617542024
127200	0.617542024
127800	0.617542024
128400	0.617542024
129000	0.617542024
129600	0.617542024
130200	0.617542024
130800	0.617542024
131400	0.617542024
132000	0.617542024
132600	0.617542024
133200	0.617542024
133800	0.617542024
134400	0.617542024
135000	0.617542024
135600	0.617542024
136200	0.617542024
136800	0.617542024
136802.3438	0.620929763
136804.6875	0.624025499
136809.375	0.629137249
136818.75	0.636744847
136837.5	0.646280707
136875	0.655223391
136950	0.661491995
137100	0.664447606
137400	0.666016492
138000	0.667305608
138600	0.668109056
139200	0.66867085
139800	0.669086027
140400	0.669402791
141000	0.66964902
141600	0.66984478
142200	0.67000181
142800	0.670128927
143400	0.670232531
144000	0.67031764
144600	0.670388017
145200	0.67044642
145800	0.670495117
146400	0.670535873
147000	0.670570099
147600	0.670598922
148200	0.670623251
148800	0.670643828
149400	0.670661265
150000	0.67067606
150600	0.670688631
151200	0.670699326
151800	0.670708435
152400	0.6707162
153000	0.670722824
153600	0.670728479
154200	0.670733311
154800	0.67073744
155400	0.670740971
156000	0.670743992
156600	0.670746576
157200	0.670748788
157800	0.670750682
158400	0.670752303
159000	0.670753691
159600	0.67075488
160200	0.670755899
160800	0.670756771
161400	0.670757518
162000	0.670758158
162600	0.670758707
163200	0.670759177
163800	0.67075958
164400	0.670759925
165000	0.67076022
165600	0.670760474
166200	0.670760691
166800	0.670760877
167400	0.670761037
168000	0.670761173
168600	0.67076129
169200	0.670761391
169800	0.670761477
170400	0.67076155
171000	0.670761614
171600	0.670761668
172200	0.670761714
172800	0.670761754
173400	0.670761788
174000	0.670761817
174600	0.670761842
175200	0.670761864
175800	0.670761882
176400	0.670761898
177000	0.670761911
177600	0.670761923
178200	0.670761933
178800	0.670761941
179400	0.670761949
180000	0.670761955
180600	0.67076196
181200	0.670761965
181800	0.670761969
182400	0.670761972
183000	0.670761975
183600	0.670761978
184200	0.67076198
184800	0.670761982
185400	0.670761983
186000	0.670761984
186600	0.670761986
187200	0.670761987
187800	0.670761987
188400	0.670761988
189000	0.670761989
189600	0.670761989
190200	0.67076199
190800	0.67076199
191400	0.67076199
192000	0.670761991
192600	0.670761991
193200	0.670761991
193800	0.670761991
194400	0.670761992
195000	0.670761992
195600	0.670761992
196200	0.670761992
196800	0.670761992
197400	0.670761992
198000	0.670761992
198600	0.670761992
199200	0.670761992
199800	0.670761992
200400	0.670761992
201000	0.670761992
201600	0.670761992
202200	0.670761992
202800	0.670761992
203400	0.670761992
204000	0.670761992
204600	0.670761992
205200	0.670761992
205800	0.670761992
206400	0.670761992
207000	0.670761992
207600	0.670761992
208200	0.670761992
208800	0.670761992
209400	0.670761992
210000	0.670761992
210600	0.670761992
211200	0.670761992
211800	0.670761992
212400	0.670761992
213000	0.670761992
213600	0.670761992
214200	0.670761992
214800	0.670761992
215400	0.670761992
216000	0.670761992
216600	0.670761992
217200	0.670761992
217800	0.670761992
218400	0.670761992
219000	0.670761992
219600	0.670761992
220200	0.670761992
220800	0.670761992
221400	0.670761992
222000	0.670761992
222600	0.670761992
223200	0.670761992
223202.3438	0.673065886
223204.6875	0.675185883
223209.375	0.678458162
223218.75	0.682837815
223237.5	0.688307586
223275	0.691975564
223350	0.694010128
223500	0.695068631
223800	0.695811142
224400	0.696583214
225000	0.697113038
225600	0.69751135
226200	0.697826869
226800	0.69808497
227400	0.698300349
228000	0.698483742
228600	0.698641911
229200	0.698779979
229800	0.698901774
230400	0.699010249
231000	0.69910772
231600	0.699195977
232200	0.699276353
232800	0.699349907
233400	0.699417447
234000	0.69947966
234600	0.699537196
235200	0.699590581
235800	0.69964024
236400	0.699686523
237000	0.699729727
237600	0.699770112
238200	0.699807909
238800	0.699843323
239400	0.699876536
240000	0.699907713
240600	0.699937004
241200	0.699964543
241800	0.699990451
242400	0.700014839
243000	0.700037814
243600	0.70005947
244200	0.700079897
244800	0.700099174
245400	0.700117371
246000	0.700134552
246600	0.700150775
247200	0.700166093
247800	0.700180558
248400	0.700194215
249000	0.70020711
249600	0.700219283
