HEADER	
'time'	'average water saturation'
UNITS	
'second'	'none'
0	0.343269231
2.34375	0.346308163
4.6875	0.344782721
9.375	0.343196402
18.75	0.341287044
37.5	0.338923229
75	0.335849253
150	0.330338906
300	0.320700393
600	0.305618449
1200	0.286257402
1800	0.273206052
2400	0.26392434
3000	0.257026129
3600	0.251680298
4200	0.24742509
4800	0.243986077
5400	0.241131026
6000	0.238725304
6600	0.236698013
7200	0.234974473
7202.34375	0.239576677
7204.6875	0.243866501
7209.375	0.251598688
7218.75	0.264734204
7237.5	0.285096731
7275	0.312805977
7350	0.344237362
7500	0.372201932
7800	0.390533344
8400	0.399793916
9000	0.40253907
9600	0.403289045
10200	0.403448532
10800	0.403463049
11400	0.403442536
12000	0.403419615
12600	0.403401557
13200	0.403388702
13800	0.403379936
14400	0.403374132
14402.34375	0.406682529
14404.6875	0.409824779
14409.375	0.415566216
14418.75	0.425375774
14437.5	0.440428109
14475	0.460005911
14550	0.480391483
14700	0.496527748
15000	0.507028448
15600	0.511652034
16200	0.51303208
16800	0.513549564
17400	0.513771086
18000	0.513878038
18600	0.513930526
19200	0.513956665
19800	0.513969719
20400	0.513976246
21000	0.513979513
21600	0.513981149
22200	0.51398197
22800	0.513982381
23400	0.513982587
24000	0.513982691
24600	0.513982743
25200	0.513982769
25202.34375	0.519240393
25204.6875	0.524103436
25209.375	0.532584406
25218.75	0.54591275
25237.5	0.564062482
25275	0.584183285
25350	0.601110564
25500	0.612003895
25800	0.618287452
26400	0.621184589
27000	0.622375702
27600	0.623042945
28200	0.623462148
28800	0.623738242
29400	0.623924976
30000	0.624053268
30600	0.624141999
31200	0.624203903
31800	0.624246883
32400	0.624276897
33000	0.62429794
33600	0.624312728
34200	0.624323136
34800	0.624330468
35400	0.62433563
36000	0.624339261
36002.34375	0.62759325
36004.6875	0.630565258
36009.375	0.635456144
36018.75	0.642696948
36037.5	0.651712614
36075	0.66005657
36150	0.666199716
36300	0.66913087
36600	0.670676994
37200	0.671948414
37800	0.672738977
38400	0.67329423
39000	0.673705734
39600	0.674020297
40200	0.674265071
40800	0.674459564
41400	0.674615275
42000	0.674741323
42600	0.674844306
43200	0.674928668
43800	0.674998219
44400	0.675055842
45000	0.675103775
45600	0.675143825
46200	0.675177412
46800	0.675205665
47400	0.675229491
48000	0.675249628
48600	0.675266677
49200	0.675281133
49800	0.675293408
50400	0.675303842
51000	0.67531272
51600	0.675320281
52200	0.675326724
52800	0.67533222
53400	0.675336909
54000	0.675340914
54002.34375	0.677560473
54004.6875	0.679595958
54009.375	0.682734848
54018.75	0.686878008
54037.5	0.692107134
54075	0.695630618
54150	0.697505429
54300	0.698527415
54600	0.699254542
55200	0.700019974
55800	0.700548242
56400	0.700948277
57000	0.701265426
57600	0.701524055
58200	0.701740029
58800	0.701923397
59400	0.702081711
60000	0.702219933
60600	0.702342005
61200	0.702450785
61800	0.702548497
62400	0.702636926
63000	0.70271744
63600	0.702791098
64200	0.702858748
64800	0.70292111
65400	0.70297878
66000	0.703032276
66600	0.70308203
67200	0.703128399
67800	0.703171688
68400	0.70321216
69000	0.703250045
69600	0.70328555
70200	0.703318855
70800	0.703350127
71400	0.703379512
72000	0.703407145
72002.34375	0.705149829
72004.6875	0.706749409
72009.375	0.709197885
72018.75	0.711901943
72037.5	0.714414983
72075	0.717088495
72150	0.719422529
72300	0.720509104
72600	0.721127885
73200	0.721710557
73800	0.722088048
74400	0.722372263
75000	0.722599081
75600	0.722786849
76200	0.72294738
76800	0.723087537
77400	0.723212079
78000	0.723324248
78600	0.723426296
79200	0.723519924
79800	0.723606336
80400	0.723686414
81000	0.723760832
81600	0.723830125
82200	0.723894732
82800	0.723955028
83400	0.724011375
84000	0.724064091
84600	0.724113447
85200	0.72415967
85800	0.724202952
86400	0.724243464
87000	0.724281362
87600	0.724316793
88200	0.724349883
88800	0.72438077
89400	0.724409583
90000	0.724436442
