HEADER
'SW'		'KRW'			'KRO'
UNITS   	            	
'none'		'none'      	'none'
0	0	1.00E+00
0.24	0.24	2.90E-01
0.2408	0.2408	2.89E-01
0.2415	0.2415	2.88E-01
0.2438	0.2438	2.86E-01
0.2476	0.2476	2.80E-01
0.2552	0.2552	2.64E-01
0.278	0.278	2.29E-01
0.316	0.316	1.86E-01
0.32	0.32	1.82E-01
0.331	0.331	1.71E-01
0.341	0.341	1.62E-01
0.363	0.363	1.43E-01
0.392	0.392	1.21E-01
0.41	0.41	1.08E-01
0.468	0.468	7.27E-02
0.478	0.478	6.70E-02
0.544	0.544	3.55E-02
0.562	0.562	2.85E-02
0.615	0.615	1.12E-02
0.62	0.62	9.86E-03
0.655	0.655	2.58E-03
0.686	0.686	1.58E-04
0.696	0.696	0.00E+00
0.71	0.71	0.00E+00
0.739	0.739	0.00E+00
0.758	0.758	0.00E+00
0.766	0.766	0.00E+00
0.772	0.772	0.00E+00
0.848	0.848	0.00E+00
0.924	0.924	0.00E+00
0.962	0.962	0.00E+00
0.9848	0.9848	0.00E+00
0.9924	0.9924	0.00E+00
0.9962	0.9962	0.00E+00
0.9985	0.9985	0.00E+00
0.9992	0.9992	0.00E+00
1	1	0.00E+00
