HEADER	
'SW'	'PCOW'
UNITS	
'none'	'bar'
0.238446848	0
0.238802689	-2.27911E-06
0.242361099	-2.53224E-05
0.245919508	-4.88341E-05
0.249477918	-7.28285E-05
0.253036328	-9.73207E-05
0.256594738	-0.000122326
0.260153147	-0.000147862
0.263711557	-0.000173944
0.267269967	-0.000200591
0.270828377	-0.000227821
0.274386787	-0.000255653
0.277945196	-0.000284108
0.281503606	-0.000313206
0.285062016	-0.000342971
0.288620426	-0.000373424
0.292178835	-0.000404591
0.295737245	-0.000436496
0.299295655	-0.000469166
0.302854065	-0.000502629
0.306412475	-0.000536915
0.309970884	-0.000572053
0.313529294	-0.000608076
0.317087704	-0.000645018
0.320646114	-0.000682915
0.324204524	-0.000721804
0.327762933	-0.000761724
0.331321343	-0.000802717
0.334879753	-0.000844827
0.338438163	-0.000888101
0.341996572	-0.000932587
0.345554982	-0.000978336
0.349113392	-0.001025404
0.352671802	-0.001073848
0.356230212	-0.001123729
0.359788621	-0.001175113
0.363347031	-0.001228068
0.366905441	-0.001282667
0.370463851	-0.001338989
0.37402226	-0.001397116
0.37758067	-0.001457137
0.38113908	-0.001519144
0.38469749	-0.00158324
0.3882559	-0.00164953
0.391814309	-0.00171813
0.395372719	-0.001789162
0.398931129	-0.001862759
0.402489539	-0.001939062
0.406047948	-0.002018222
0.409606358	-0.002100403
0.413164768	-0.002185782
0.416723178	-0.002274548
0.420281588	-0.002366909
0.423839997	-0.002463085
0.427398407	-0.00256332
0.430956817	-0.002667875
0.434515227	-0.002777035
0.438073637	-0.002891112
0.441632046	-0.003010446
0.445190456	-0.003135409
0.448748866	-0.003266408
0.452307276	-0.003403892
0.455865685	-0.003548354
0.459424095	-0.00370034
0.462982505	-0.003860453
0.466540915	-0.004029362
0.470099325	-0.004207814
0.473657734	-0.00439664
0.477216144	-0.004596773
0.480774554	-0.004809258
0.484332964	-0.005035276
0.487891373	-0.005276163
0.491449783	-0.005533435
0.495008193	-0.005808823
0.498566603	-0.006104311
0.502125013	-0.006422182
0.505683422	-0.00676508
0.509241832	-0.007136081
0.512800242	-0.007538788
0.516358652	-0.007977447
0.519917062	-0.008457098
0.523475471	-0.008983768
0.527033881	-0.009564726
0.530592291	-0.010208823
0.534150701	-0.010926944
0.53770911	-0.011732627
0.54126752	-0.012642927
0.54482593	-0.013679636
0.54838434	-0.014871048
0.55194275	-0.016254585
0.555501159	-0.017880794
0.559059569	-0.01981966
0.562617979	-0.02217094
0.566176389	-0.025081881
0.569734798	-0.028779297
0.573293208	-0.033631701
0.576851618	-0.040280456
0.580410028	-0.049949648
0.583968438	-0.0653024
0.587526847	-0.093435731
0.591085257	-0.161687536
0.594287826	-0.455368226
