HEADER	
'time'	'total volume'
UNITS	
'day'	'cm^3'
0.147173611	4.552551734
0.182625	4.820961476
0.218104167	5.156473653
0.253541667	5.324229742
0.289013889	5.458434613
0.324479167	5.592639484
0.359930556	5.626190701
0.395381944	5.726844354
0.430833333	5.79394679
0.466284722	5.861049225
0.501736111	5.894600443
0.537201389	5.995254096
0.572659722	5.995254096
0.608125	6.062356532
0.643576389	6.062356532
0.679041667	6.163010185
0.714493056	6.163010185
0.749944444	6.196561402
0.785402778	6.263663838
0.856319444	6.297215056
0.891784722	6.263663838
0.927243056	6.364317491
0.962694444	6.364317491
0.998145833	6.397868709
1.033611111	6.431419927
1.0690625	6.431419927
1.104527778	6.397868709
1.175451389	6.498522362
1.210902778	6.498522362
1.246368056	6.498522362
1.281819444	6.498522362
1.317270833	6.53207358
1.352729167	6.53207358
1.388194444	6.565624797
1.423631944	6.599176015
1.459097222	6.53207358
1.4945625	6.599176015
1.530013889	6.632727233
1.565472222	6.632727233
1.600923611	6.632727233
1.636388889	6.599176015
1.671840278	6.599176015
1.7073125	6.666278451
1.742763889	6.699829668
1.778215278	6.733380886
1.813666667	6.733380886
1.849131944	6.632727233
1.884604167	6.733380886
1.920055556	6.733380886
1.955506944	6.766932104
1.990972222	6.766932104
2.026423611	6.800483321
2.061875	6.800483321
2.097326389	6.766932104
2.132777778	6.834034539
2.168243056	6.766932104
2.203701389	6.766932104
2.239166667	6.834034539
2.274604167	6.766932104
2.310083333	6.834034539
2.345534722	6.867585757
2.380986111	6.867585757
2.4164375	6.867585757
2.451895833	6.867585757
2.487361111	6.834034539
2.522826389	6.834034539
2.558284722	6.901136975
2.593736111	6.901136975
2.6291875	6.901136975
2.664652778	6.901136975
2.700118056	6.934688192
2.735576389	6.901136975
2.771027778	6.901136975
2.806493056	6.901136975
2.841944444	6.934688192
2.877409722	6.901136975
2.912868056	6.96823941
2.948319444	6.96823941
2.983770833	6.96823941
3.019236111	6.96823941
3.054701389	6.901136975
3.090159722	6.96823941
3.125611111	6.96823941
3.1610625	6.96823941
3.196527778	6.96823941
3.231979167	6.96823941
3.267430556	7.001790628
3.302895833	6.934688192
3.338354167	7.001790628
3.373805556	7.035341845
3.409270833	7.001790628
3.444722222	7.001790628
3.4801875	7.035341845
3.515638889	7.068893063
3.551090278	7.068893063
3.586548611	7.035341845
3.622027778	7.102444281
3.657465278	7.068893063
3.692916667	7.102444281
3.728381944	7.102444281
3.763833333	7.135995499
3.799305556	7.135995499
3.834756944	7.169546716
3.870229167	7.102444281
3.905680556	7.102444281
3.941131944	7.135995499
3.976597222	7.135995499
4.0120625	7.135995499
4.047513889	7.068893063
4.082965278	7.068893063
4.118416667	7.035341845
4.153875	7.135995499
4.189340278	7.135995499
4.224777778	7.135995499
4.260243056	7.135995499
4.295708333	7.135995499
4.331159722	7.068893063
4.366618056	7.135995499
4.402069444	7.135995499
4.437534722	7.135995499
4.473	7.169546716
4.508451389	7.102444281
4.543909722	7.135995499
4.579361111	7.135995499
4.614826389	7.169546716
4.650277778	7.169546716
4.685743056	7.068893063
4.721201389	7.203097934
4.756652778	7.203097934
4.792104167	7.203097934
4.827569444	7.203097934
4.863041667	7.203097934
4.898493056	7.203097934
4.933958333	7.169546716
4.969430556	7.203097934
5.004881944	7.203097934
5.040347222	7.203097934
5.0758125	7.236649152
5.111270833	7.203097934
5.146722222	7.236649152
5.182173611	7.236649152
5.217652778	7.102444281
5.253111111	7.203097934
5.2885625	7.236649152
5.324013889	7.236649152
5.359479167	7.236649152
5.394930556	7.203097934
5.430395833	7.236649152
5.465847222	7.236649152
5.501298611	7.236649152
5.536756944	7.236649152
5.572208333	7.169546716
5.607673611	7.169546716
5.643138889	7.236649152
5.678590278	7.236649152
5.714048611	7.236649152
5.749513889	7.236649152
5.784979167	7.203097934
5.8204375	7.236649152
5.825534722	7.102444281
5.827743056	7.135995499
5.839201389	7.169546716
5.873631944	7.169546716
5.909083333	7.169546716
5.944548611	7.169546716
5.980013889	7.169546716
6.015465278	7.102444281
6.0509375	7.169546716
6.086388889	7.169546716
6.121840278	7.169546716
6.1573125	7.203097934
6.192763889	7.169546716
6.228229167	7.169546716
6.263680556	7.169546716
6.299145833	7.135995499
6.334597222	7.135995499
6.370055556	7.203097934
6.405506944	7.169546716
6.440972222	7.169546716
6.476423611	7.169546716
6.511875	7.135995499
6.547326389	7.169546716
6.61825	7.169546716
6.689166667	7.169546716
6.724618056	7.203097934
6.760083333	7.203097934
6.795541667	7.135995499
6.831006944	7.203097934
6.866444444	7.169546716
6.901909722	7.169546716
6.937361111	7.169546716
6.9728125	7.169546716
7.008277778	7.169546716
7.04375	7.203097934
7.079201389	7.203097934
7.114666667	7.169546716
7.150125	7.236649152
7.185576389	7.203097934
7.221041667	7.169546716
7.256493056	7.169546716
7.291965278	7.203097934
7.327416667	7.203097934
7.362868056	7.203097934
7.398333333	7.236649152
7.433805556	7.236649152
7.469256944	7.27020037
7.504722222	7.236649152
7.5401875	7.27020037
7.575645833	7.203097934
7.611097222	7.236649152
7.646548611	7.236649152
7.682013889	7.236649152
7.7529375	7.236649152
7.788402778	7.27020037
7.823854167	7.27020037
7.859319444	7.236649152
7.894777778	7.27020037
7.930243056	7.236649152
7.965694444	7.27020037
8.001166667	7.27020037
8.036618056	7.27020037
8.072069444	7.27020037
8.107520833	7.27020037
8.142986111	7.203097934
8.178451389	7.27020037
8.213902778	7.27020037
8.249361111	7.203097934
8.284840278	7.27020037
8.320277778	7.27020037
8.35575	7.27020037
8.391201389	7.303751587
8.426652778	7.27020037
8.462118056	7.303751587
8.497583333	7.27020037
8.533034722	7.303751587
8.568493056	7.27020037
8.603944444	7.236649152
8.639409722	7.27020037
8.674875	7.27020037
8.710326389	7.303751587
8.745777778	7.303751587
8.781236111	7.337302805
8.816715278	7.337302805
8.852152778	7.303751587
8.887618056	7.303751587
8.923076389	7.236649152
8.958541667	7.303751587
8.993993056	7.303751587
9.029444444	7.303751587
9.064909722	7.303751587
9.100361111	7.236649152
9.135833333	7.303751587
9.171284722	7.303751587
9.206736111	7.303751587
9.242201389	7.337302805
9.277659722	7.27020037
9.313111111	7.27020037
9.348590278	7.337302805
9.384041667	7.303751587
9.419493056	7.337302805
