HEADER	
'time'	'average water saturation'
UNITS	
'hour'	'none'
6.94E-06	3.50E-01
8.83E-06	3.50E-01
9.34E-06	3.50E-01
9.95E-06	3.50E-01
1.07E-05	3.50E-01
1.16E-05	3.50E-01
1.26E-05	3.50E-01
1.39E-05	3.50E-01
1.54E-05	3.50E-01
1.72E-05	3.50E-01
1.94E-05	3.50E-01
2.20E-05	3.50E-01
2.52E-05	3.50E-01
2.90E-05	3.50E-01
3.35E-05	3.50E-01
3.90E-05	3.50E-01
4.55E-05	3.50E-01
5.33E-05	3.50E-01
6.27E-05	3.49E-01
7.40E-05	3.49E-01
8.76E-05	3.49E-01
1.04E-04	3.49E-01
1.23E-04	3.49E-01
1.47E-04	3.49E-01
1.75E-04	3.49E-01
2.09E-04	3.49E-01
2.49E-04	3.49E-01
2.98E-04	3.49E-01
3.56E-04	3.49E-01
4.26E-04	3.49E-01
5.10E-04	3.49E-01
6.10E-04	3.49E-01
7.31E-04	3.49E-01
8.76E-04	3.48E-01
1.05E-03	3.48E-01
1.26E-03	3.48E-01
1.51E-03	3.48E-01
1.81E-03	3.48E-01
2.17E-03	3.47E-01
2.60E-03	3.47E-01
3.12E-03	3.47E-01
3.75E-03	3.46E-01
4.49E-03	3.46E-01
5.39E-03	3.45E-01
6.47E-03	3.45E-01
7.76E-03	3.44E-01
9.31E-03	3.43E-01
1.12E-02	3.43E-01
1.34E-02	3.42E-01
1.61E-02	3.41E-01
1.93E-02	3.39E-01
2.32E-02	3.38E-01
2.78E-02	3.36E-01
3.34E-02	3.35E-01
4.00E-02	3.32E-01
4.80E-02	3.30E-01
5.76E-02	3.27E-01
6.91E-02	3.24E-01
8.30E-02	3.21E-01
9.96E-02	3.16E-01
1.19E-01	3.11E-01
1.41E-01	3.06E-01
1.66E-01	3.00E-01
1.96E-01	2.94E-01
2.33E-01	2.87E-01
2.76E-01	2.79E-01
3.28E-01	2.70E-01
3.91E-01	2.62E-01
4.66E-01	2.54E-01
5.56E-01	2.46E-01
6.65E-01	2.38E-01
7.94E-01	2.32E-01
9.35E-01	2.26E-01
1.09E+00	2.21E-01
1.27E+00	2.17E-01
1.47E+00	2.13E-01
1.71E+00	2.09E-01
1.98E+00	2.06E-01
2.29E+00	2.03E-01
2.66E+00	2.00E-01
3.09E+00	1.97E-01
3.59E+00	1.95E-01
4.00E+00	1.93E-01
4.00E+00	1.93E-01
4.00E+00	1.93E-01
4.00E+00	1.93E-01
4.00E+00	1.93E-01
4.00E+00	1.93E-01
4.00E+00	1.93E-01
4.00E+00	1.93E-01
4.00E+00	1.93E-01
4.00E+00	1.94E-01
4.00E+00	1.94E-01
4.00E+00	1.94E-01
4.00E+00	1.94E-01
4.00E+00	1.94E-01
4.00E+00	1.94E-01
4.00E+00	1.94E-01
4.00E+00	1.94E-01
4.00E+00	1.95E-01
4.00E+00	1.95E-01
4.00E+00	1.95E-01
4.00E+00	1.95E-01
4.00E+00	1.96E-01
4.00E+00	1.96E-01
4.00E+00	1.96E-01
4.00E+00	1.96E-01
4.00E+00	1.97E-01
4.00E+00	1.97E-01
4.00E+00	1.97E-01
4.00E+00	1.98E-01
4.00E+00	1.98E-01
4.00E+00	1.99E-01
4.00E+00	1.99E-01
4.00E+00	2.00E-01
4.00E+00	2.01E-01
4.00E+00	2.01E-01
4.00E+00	2.02E-01
4.00E+00	2.02E-01
4.00E+00	2.03E-01
4.00E+00	2.04E-01
4.00E+00	2.05E-01
4.00E+00	2.06E-01
4.00E+00	2.06E-01
4.00E+00	2.07E-01
4.00E+00	2.08E-01
4.00E+00	2.09E-01
4.00E+00	2.10E-01
4.00E+00	2.11E-01
4.00E+00	2.11E-01
4.00E+00	2.12E-01
4.00E+00	2.13E-01
4.00E+00	2.14E-01
4.00E+00	2.15E-01
4.00E+00	2.16E-01
4.00E+00	2.17E-01
4.00E+00	2.18E-01
4.00E+00	2.19E-01
4.00E+00	2.19E-01
4.01E+00	2.20E-01
4.01E+00	2.21E-01
4.01E+00	2.22E-01
4.01E+00	2.24E-01
4.01E+00	2.24E-01
4.01E+00	2.25E-01
4.01E+00	2.26E-01
4.01E+00	2.27E-01
4.01E+00	2.28E-01
4.01E+00	2.29E-01
4.01E+00	2.30E-01
4.01E+00	2.31E-01
4.01E+00	2.32E-01
4.01E+00	2.33E-01
4.01E+00	2.34E-01
4.01E+00	2.35E-01
4.01E+00	2.36E-01
4.01E+00	2.38E-01
4.01E+00	2.39E-01
4.01E+00	2.40E-01
4.01E+00	2.41E-01
4.01E+00	2.42E-01
4.01E+00	2.43E-01
4.01E+00	2.44E-01
4.01E+00	2.45E-01
4.01E+00	2.46E-01
4.01E+00	2.47E-01
4.01E+00	2.48E-01
4.01E+00	2.49E-01
4.01E+00	2.50E-01
4.01E+00	2.51E-01
4.01E+00	2.52E-01
4.02E+00	2.54E-01
4.02E+00	2.55E-01
4.02E+00	2.56E-01
4.02E+00	2.57E-01
4.02E+00	2.58E-01
4.02E+00	2.59E-01
4.02E+00	2.60E-01
4.02E+00	2.61E-01
4.02E+00	2.63E-01
4.02E+00	2.64E-01
4.02E+00	2.65E-01
4.02E+00	2.66E-01
4.02E+00	2.67E-01
4.02E+00	2.68E-01
4.02E+00	2.69E-01
4.02E+00	2.71E-01
4.02E+00	2.72E-01
4.02E+00	2.73E-01
4.03E+00	2.74E-01
4.03E+00	2.75E-01
4.03E+00	2.76E-01
4.03E+00	2.78E-01
4.03E+00	2.79E-01
4.03E+00	2.80E-01
4.03E+00	2.81E-01
4.03E+00	2.82E-01
4.03E+00	2.83E-01
4.03E+00	2.85E-01
4.03E+00	2.86E-01
4.03E+00	2.88E-01
4.04E+00	2.89E-01
4.04E+00	2.90E-01
4.04E+00	2.91E-01
4.04E+00	2.92E-01
4.04E+00	2.94E-01
4.04E+00	2.95E-01
4.04E+00	2.97E-01
4.04E+00	2.98E-01
4.04E+00	2.99E-01
4.05E+00	3.00E-01
4.05E+00	3.02E-01
4.05E+00	3.03E-01
4.05E+00	3.05E-01
4.05E+00	3.06E-01
4.05E+00	3.07E-01
4.06E+00	3.09E-01
4.06E+00	3.10E-01
4.06E+00	3.12E-01
4.06E+00	3.13E-01
4.06E+00	3.15E-01
4.07E+00	3.16E-01
4.07E+00	3.18E-01
4.07E+00	3.19E-01
4.07E+00	3.21E-01
4.08E+00	3.22E-01
4.08E+00	3.24E-01
4.08E+00	3.26E-01
4.09E+00	3.28E-01
4.09E+00	3.29E-01
4.09E+00	3.31E-01
4.10E+00	3.33E-01
4.10E+00	3.35E-01
4.11E+00	3.36E-01
4.12E+00	3.38E-01
4.12E+00	3.41E-01
4.13E+00	3.43E-01
4.14E+00	3.45E-01
4.16E+00	3.47E-01
4.17E+00	3.50E-01
4.19E+00	3.52E-01
4.21E+00	3.55E-01
4.24E+00	3.57E-01
4.27E+00	3.60E-01
4.31E+00	3.62E-01
4.35E+00	3.64E-01
4.41E+00	3.66E-01
4.47E+00	3.68E-01
4.55E+00	3.70E-01
4.65E+00	3.71E-01
4.76E+00	3.73E-01
4.90E+00	3.74E-01
5.06E+00	3.75E-01
5.26E+00	3.77E-01
5.49E+00	3.78E-01
5.77E+00	3.79E-01
6.11E+00	3.80E-01
6.52E+00	3.81E-01
7.00E+00	3.82E-01
7.59E+00	3.83E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.84E-01
8.00E+00	3.85E-01
8.00E+00	3.85E-01
8.00E+00	3.85E-01
8.00E+00	3.85E-01
8.00E+00	3.86E-01
8.00E+00	3.86E-01
8.00E+00	3.87E-01
8.00E+00	3.87E-01
8.00E+00	3.88E-01
8.00E+00	3.88E-01
8.00E+00	3.89E-01
8.00E+00	3.90E-01
8.00E+00	3.91E-01
8.00E+00	3.93E-01
8.00E+00	3.93E-01
8.00E+00	3.94E-01
8.00E+00	3.95E-01
8.00E+00	3.96E-01
8.01E+00	3.97E-01
8.01E+00	3.98E-01
8.01E+00	3.99E-01
8.01E+00	4.00E-01
8.01E+00	4.01E-01
8.01E+00	4.02E-01
8.01E+00	4.03E-01
8.01E+00	4.04E-01
8.01E+00	4.05E-01
8.01E+00	4.06E-01
8.01E+00	4.07E-01
8.01E+00	4.08E-01
