HEADER
'SW'		'KRW'			'KRO'
UNITS   	            	
'none'		'none'      	'none'
0.15	0.00E+00	5.00E-01
0.1508	3.16E-14	4.98E-01
0.1517	7.16E-13	4.97E-01
0.1542	4.42E-11	4.91E-01
0.1585	1.00E-09	4.83E-01
0.167	2.26E-08	4.66E-01
0.1925	1.40E-06	4.18E-01
0.235	3.16E-05	3.46E-01
0.32	7.16E-04	2.29E-01
0.405	4.44E-03	1.43E-01
0.49	1.62E-02	8.37E-02
0.575	4.42E-02	4.42E-02
0.66	1.00E-01	2.02E-02
0.745	2.01E-01	7.39E-03
0.83	3.66E-01	1.79E-03
0.915	6.22E-01	1.58E-04
0.9575	7.94E-01	1.40E-05
0.983	9.13E-01	5.66E-07
0.9915	9.56E-01	5.00E-08
0.9958	9.78E-01	4.42E-09
0.9983	9.91E-01	1.79E-10
0.9991	9.96E-01	1.58E-11
1	1.00E+00	0.00E+00
