HEADER
'time'	'pressure drop'
UNITS
'second'	'bar'
54120.00	1.115135
54240.00	1.117304
54360.00	1.119959
54480.00	1.129937
54600.00	1.122389
54720.00	1.12748
54840.00	1.125409
54960.00	1.123238
55080.00	1.127445
55200.00	1.117622
55320.00	1.115429
55440.00	1.119875
55560.00	1.131219
55680.00	1.11701
55800.00	1.12637
55920.00	1.118602
56040.00	1.126745
56160.00	1.129442
56280.00	1.119511
56400.00	1.117739
56520.00	1.116792
56640.00	1.133469
56760.00	1.130326
56880.00	1.14096
57000.00	1.138511
57120.00	1.128979
57240.00	1.13287
57360.00	1.124057
57480.00	1.125472
57600.00	1.119021
57720.00	1.136008
57840.00	1.12517
57960.00	1.133341
58080.00	1.131445
58200.00	1.13176
58320.00	1.135355
58440.00	1.124631
58560.00	1.129709
58680.00	1.127437
58800.00	1.109805
58920.00	1.129045
59040.00	1.125238
59160.00	1.118272
59280.00	1.134435
59400.00	1.148592
59520.00	1.133591
59640.00	1.13471
59760.00	1.137472
59880.00	1.124816
60000.00	1.133583
60120.00	1.117576
60240.00	1.114923
60360.00	1.133303
60480.00	1.14752
60600.00	1.136405
60720.00	1.133191
60840.00	1.136489
60960.00	1.123984
61080.00	1.133608
61200.00	1.119432
61320.00	1.117288
61440.00	1.136976
61560.00	1.142617
61680.00	1.136813
61800.00	1.135923
61920.00	1.137292
62040.00	1.137874
62160.00	1.135314
62280.00	1.124419
62400.00	1.115712
62520.00	1.132645
62640.00	1.145218
62760.00	1.137403
62880.00	1.142035
63000.00	1.139988
63120.00	1.137039
63240.00	1.137673
63360.00	1.135872
63480.00	1.12483
63600.00	1.14266
63720.00	1.141262
63840.00	1.139651
63960.00	1.142236
64080.00	1.135616
64200.00	1.143079
64320.00	1.131181
64440.00	1.11399
64560.00	1.133162
64680.00	1.147117
64800.00	1.146015
64920.00	1.13822
65040.00	1.141643
65160.00	1.120906
65280.00	1.137311
65400.00	1.135039
65520.00	1.1107
65640.00	1.129649
65760.00	1.142146
65880.00	1.127075
66000.00	1.143009
66120.00	1.149898
66240.00	1.124324
66360.00	1.142954
66480.00	1.14186
66600.00	1.127766
66720.00	1.142853
66840.00	1.138865
66960.00	1.137205
67080.00	1.139523
