HEADER	
'time'	'pressure drop'
UNITS	
'second'	'bar'
15241	0.050195
15360	0.050066
15481	0.050679
15601	0.050031
15721	0.049492
15841	0.050956
15961	0.050469
16081	0.050699
16201	0.050293
16321	0.05081
16441	0.051392
16560	0.051164
16680	0.050926
16801	0.051499
16920	0.051593
17041	0.051237
17160	0.051577
17280	0.051921
17400	0.051194
17521	0.051432
17641	0.051725
17761	0.052896
17880	0.053081
18000	0.053781
18121	0.051713
18240	0.05276
18361	0.052557
18481	0.052618
18601	0.052661
18721	0.052425
18840	0.051714
18961	0.053139
19081	0.05245
19200	0.052953
19320	0.052071
19440	0.052265
19560	0.052909
19680	0.052519
19801	0.052322
19921	0.052891
20040	0.052625
20161	0.052682
20280	0.053002
20401	0.052428
20520	0.052627
20640	0.052556
20761	0.052382
20881	0.052055
21000	0.052621
21120	0.053546
21241	0.052901
21360	0.05201
21480	0.052771
21601	0.052851
21721	0.05253
21841	0.052274
21961	0.051354
22081	0.05226
22201	0.052125
22320	0.051915
22440	0.052442
22561	0.05218
22680	0.052408
22801	0.052263
22921	0.05185
23040	0.052533
23160	0.052378
23280	0.052495
23401	0.052407
23520	0.052368
23640	0.052113
23760	0.052786
23880	0.052334
24000	0.052305
24121	0.051912
24241	0.051731
24361	0.052788
24481	0.052202
24601	0.052577
24721	0.052263
24841	0.052376
24960	0.05275
25080	0.052793
25200	0.052271
25320	0.052889
25440	0.052436
25561	0.052662
25681	0.054537
25801	0.059385
25920	0.061918
26040	0.064307
26161	0.067021
26281	0.070008
26400	0.071122
26521	0.072061
26641	0.072262
26760	0.072068
26881	0.072331
27000	0.072057
27121	0.072105
27240	0.072463
27361	0.072767
27480	0.072545
27601	0.073108
27721	0.073085
27841	0.072464
27960	0.072362
28081	0.072917
28201	0.073047
28320	0.072437
28441	0.073251
28560	0.072581
28681	0.072289
28801	0.072375
28920	0.072522
29040	0.072849
29160	0.072525
29281	0.072321
29400	0.072136
29520	0.072265
29641	0.072035
29761	0.072526
29880	0.072399
30000	0.072208
30120	0.073108
30240	0.072619
30361	0.072262
30481	0.072921
30601	0.07278
30720	0.072772
30841	0.072836
30960	0.072997
31080	0.072401
31200	0.073127
31321	0.073276
31441	0.073298
31561	0.073842
31680	0.073801
31800	0.074014
31920	0.074118
32040	0.073787
32161	0.074756
32281	0.074307
32401	0.074848
32521	0.074711
32641	0.074498
32760	0.074672
32881	0.074371
33001	0.074492
33121	0.07439
33241	0.074648
33361	0.074465
33481	0.074536
33600	0.074877
33720	0.074298
33840	0.074876
33960	0.07432
34080	0.074415
34201	0.074513
34320	0.074831
34441	0.074709
34561	0.074565
34681	0.074378
34801	0.074326
34921	0.074598
35040	0.074523
35161	0.074802
35281	0.074607
35400	0.074172
35520	0.074827
35641	0.074574
35761	0.074438
35880	0.074676
36001	0.075118
36121	0.074446
36241	0.075139
36361	0.075173
36481	0.075135
36600	0.075704
36720	0.075609
36840	0.075877
36961	0.074259
37080	0.07496
37200	0.075342
37320	0.074926
37441	0.074561
37560	0.075262
37680	0.075287
37801	0.074675
37921	0.074769
38041	0.075081
38160	0.075904
38281	0.07624
38400	0.07689
38521	0.077268
38641	0.077009
38761	0.076304
38881	0.076409
39001	0.076524
39121	0.076665
39241	0.076652
39360	0.076587
39480	0.075917
39600	0.076065
39721	0.076157
39840	0.075388
39960	0.075482
40080	0.075942
40200	0.076787
40320	0.076262
40441	0.076581
40560	0.076647
40681	0.076547
40800	0.07659
40920	0.076319
41041	0.076999
41160	0.076772
41280	0.076317
41401	0.076667
41521	0.07636
41640	0.07652
41761	0.076568
41880	0.075997
42001	0.076261
42120	0.076342
42241	0.076995
42360	0.076589
42480	0.077196
42600	0.077107
42721	0.077372
42840	0.077328
42960	0.077407
43080	0.07741
43200	0.077988
43320	0.07762
43440	0.078333
43560	0.07831
43680	0.078952
43801	0.078689
43920	0.078054
44040	0.078147
44161	0.078261
44281	0.077672
44401	0.077563
44520	0.077989
44641	0.077664
44761	0.077854
44881	0.078625
45001	0.078253
45121	0.078228
45241	0.078075
45360	0.078456
45480	0.078243
45601	0.077787
45720	0.07831
45841	0.078005
45960	0.077759
46081	0.077698
46200	0.078136
46321	0.078184
46441	0.077862
46561	0.077867
