HEADER	
'time'	'pressure drop'
UNITS	
'second'	'bar'
0	0.042411
119.9999998	0.041514
239.9999995	0.041163
359.9999999	0.039642
479.9999997	0.042251
600.0000001	0.041192
719.9999998	0.041791
839.9999996	0.042109
960	0.041097
1080	0.041097
1200	0.040281
1320	0.041097
1440	0.040373
1560	0.041097
1680	0.041843
1800	0.042248
1920	0.042482
2040	0.041867
2159.999999	0.042177
2280	0.043579
2400	0.04249
2520	0.041927
2640	0.041772
2760	0.042398
2880	0.041097
3000	0.038673
3119.999999	0.042139
3240	0.04304
3360	0.039671
3480	0.042858
3600	0.041854
3720	0.040858
3840	0.043187
3960	0.041854
4080	0.043546
4201	0.043111
4320	0.042414
4440	0.041701
4560	0.043432
4680	0.043399
4800	0.043149
4920	0.043094
5040	0.04249
5160	0.042577
5280	0.04381
5400	0.043187
5520	0.042564
5640	0.043813
5760	0.043451
5880	0.041837
6000	0.04301
6120	0.042602
6240	0.043878
6360	0.043883
6480	0.043187
6600	0.042912
6720	0.041187
6840	0.043883
6960	0.043187
7080	0.040322
7200	0.043883
7320	0.043187
7440	0.043154
7561	0.091043
7680	0.090774
7800	0.09033
7920	0.091568
8040	0.093851
8160	0.091152
8280	0.09125
8400	0.092534
8519.999999	0.090469
8640	0.091895
8760	0.085443
8880	0.091903
9000	0.091965
9120	0.087998
9240	0.091383
9360	0.092782
9481	0.08925
9600	0.093378
9721	0.0935
9840	0.092727
9960	0.092703
10080	0.093663
10201	0.089794
10321	0.092145
10441	0.085168
10560	0.091544
10680	0.090572
10801	0.093601
10920	0.091903
11040	0.093693
11161	0.091149
11280	0.092227
11400	0.090023
11521	0.091321
11640	0.092833
11761	0.094262
11880	0.09353
12001	0.094025
12121	0.089849
12241	0.094022
12361	0.094844
12481	0.097209
12600	0.094787
12721	0.095051
12841	0.094678
12961	0.094036
13081	0.093976
13201	0.091263
13321	0.094428
13441	0.094681
13561	0.092983
13680	0.091438
13800	0.094006
13920	0.093791
14040	0.094583
14160	0.087936
14281	0.094036
14400	0.09168
14520	0.093255
14641	0.094324
14760	0.095709
14881	0.094673
15001	0.094844
15121	0.092499
15241	0.1403
15360	0.142178
15481	0.144355
15601	0.142485
15721	0.134997
15841	0.132793
15961	0.141737
16081	0.13956
16201	0.14279
16321	0.144104
16441	0.139177
16560	0.140869
16680	0.141723
16801	0.140874
16920	0.141647
17041	0.141402
17160	0.141098
17280	0.141996
17400	0.140918
17521	0.140151
17641	0.139389
17761	0.141381
17880	0.140817
18000	0.140706
18121	0.139373
18240	0.139313
18361	0.13907
18481	0.139593
18601	0.139313
18721	0.139098
18840	0.131076
18961	0.138069
19081	0.140972
19200	0.137563
19320	0.138962
19440	0.14104
19560	0.138532
19680	0.139843
19801	0.139318
19921	0.139253
20040	0.139748
20161	0.138189
20280	0.1391
20401	0.139133
20520	0.139092
20640	0.139876
20761	0.138736
20881	0.141647
21000	0.140738
21120	0.141963
21241	0.141416
21360	0.131406
21480	0.131596
21601	0.141576
21721	0.136831
21841	0.141435
21961	0.133261
22081	0.13706
22201	0.138333
22320	0.140156
22440	0.139925
22561	0.140159
22680	0.137177
22801	0.139313
22921	0.139313
23040	0.144115
23160	0.141236
23280	0.139313
23401	0.141332
23520	0.141617
23640	0.139949
23760	0.141402
23880	0.142347
24000	0.141155
24121	0.143797
24241	0.144425
24361	0.144319
24481	0.144657
24601	0.144545
24721	0.146036
24841	0.145968
24960	0.14427
25080	0.147778
25200	0.146512
25320	0.146289
25440	0.149601
25561	0.151415
25681	0.161793
25801	0.17832
25920	0.189397
26040	0.193666
26161	0.199862
26281	0.204849
26400	0.216092
26521	0.219888
26641	0.217309
26760	0.22277
26881	0.218329
27000	0.215728
27121	0.21723
27240	0.214985
27361	0.214204
27480	0.216062
27601	0.218471
27721	0.216843
27841	0.219717
27960	0.217782
28081	0.216473
28201	0.217513
28320	0.214721
28441	0.216748
28560	0.218446
28681	0.217311
28801	0.216895
28920	0.215537
29040	0.21452
29160	0.215458
29281	0.218803
29400	0.212686
29520	0.21474
29641	0.217279
29761	0.215469
29880	0.215973
30000	0.215807
30120	0.21822
30240	0.216375
30361	0.213736
30481	0.216939
30601	0.216329
30720	0.21732
30841	0.215317
