HEADER
'time'	'pressure drop'
UNITS
'second'	'bar'
38224	0.278329
38344	0.279208
38464	0.279023
38584	0.278342
38704	0.273156
38824	0.280263
38944	0.278149
39064	0.273371
39184	0.280144
39304	0.278745
39424	0.274405
39544	0.282772
39664	0.276386
39784	0.275355
39904	0.27875
40024	0.281763
40144	0.274356
40264	0.280827
40384	0.283071
40504	0.277831
40624	0.28536
40744	0.278682
40864	0.280095
40984	0.283104
41104	0.286317
41224	0.279716
41344	0.284641
41464	0.280788
41584	0.279942
41704	0.280448
41824	0.279624
41944	0.279863
42064	0.274979
42184	0.279964
42304	0.276506
42424	0.279602
42544	0.280505
42664	0.275513
42784	0.277575
42904	0.280944
43024	0.274454
43144	0.281433
43264	0.279564
43384	0.260594
43504	0.283409
43624	0.282054
43744	0.260599
43864	0.280029
43984	0.281822
44104	0.264204
44224	0.279561
44344	0.284347
44464	0.261004
44584	0.279376
44704	0.282799
44824	0.265518
44944	0.280946
45064	0.275989
45184	0.261263
45304	0.276201
45424	0.27714
45544	0.257358
45664	0.276005
45784	0.278326
45904	0.256493
46024	0.277001
46144	0.277412
46264	0.257165
46384	0.276761
46504	0.270963
46624	0.261086
46744	0.276767
46864	0.273069
46984	0.262368
47104	0.275322
47224	0.277281
47344	0.260017
47464	0.277142
47584	0.279091
47704	0.261989
47824	0.277714
47944	0.276443
48064	0.258956
48184	0.278944
48304	0.280342
48424	0.277556
48544	0.279877
48664	0.280394
48784	0.275213
48904	0.277567
49024	0.280073
49144	0.274481
49264	0.278574
49384	0.279733
49504	0.272275
49624	0.278353
49744	0.278897
49864	0.274128
49984	0.278133
50104	0.281692
50224	0.272392
50344	0.280046
50464	0.278805
50584	0.27385
50704	0.282486
50824	0.281695
50944	0.276517
51064	0.274612
51184	0.280122
51304	0.275281
51424	0.271741
51544	0.279923
51664	0.276206
51784	0.274201
51904	0.280446
52024	0.275483
52144	0.274606
52264	0.278263
52384	0.276255
52504	0.2728
52624	0.280149
52744	0.273994
52864	0.2781
52984	0.281303
53104	0.275406
53224	0.274294
53344	0.282481
53464	0.276642
53584	0.276076
53704	0.286377
53824	0.280359
53944	0.280533
54064	0.281814
54184	0.277839
54304	0.276432
54424	0.282195
