HEADER	
'time'	'pressure drop'
UNITS	
's'	'pa'
2250	34558.91063
4500	35764.927
9000	35870.36662
18000	35874.42063
36000	35874.48882
72000	35874.48933
108309	35874.48933
110559	39811.08832
112809	40019.31835
117309	40028.92496
126309	40029.11108
144309	40029.1126
173114	40029.1126
175364	44305.5809
177614	44453.65175
182114	44458.27649
191114	44458.33871
209114	44458.33909
209119	44458.33909
211369	51947.20758
213619	52072.11911
218119	52074.35212
227119	52074.37006
237919	52074.37012
240169	54611.10262
242419	54646.54295
246919	54647.11314
255919	54647.11726
266719	54647.11727
268969	57680.37236
271219	57700.49646
275719	57700.78178
284719	57700.78372
295519	57700.78372
297769	58465.80237
300019	58445.5644
304519	58445.1777
313519	58445.17466
331519	58445.17465
356465	58445.17465
358715	57992.10671
360965	57968.3535
365465	57967.86148
374465	57967.85692
392465	57967.8569
392466	57967.8569
394716	55399.85527
396966	55269.02947
401466	55264.73696
410466	55264.66956
428466	55264.66904
446469	55264.66904
448719	53702.64193
450969	53618.10907
455469	53614.29388
464469	53614.209
482469	53614.20806
511270	53614.20806
513520	52393.5734
515770	52314.1969
520270	52309.60153
529270	52309.46982
547270	52309.46793
583270	52309.46792
585520	51304.5165
587770	51222.9542
592270	51216.73557
601270	51216.49328
619269	51216.4886
621519	64738.61248
623769	64439.66525
628269	64413.29023
637269	64412.02064
646718	64411.98947
