HEADER
'SW'		'KRW'			'KRO'
UNITS   	            	
'none'		'none'      	'none'
1.037575216	0.959806308	0
0.82986163	0.33840396	0.000632629
0.820998504	0.269156403	0.001297661
0.792003683	0.244725653	0.002490846
0.771042127	0.21354529	0.006520467
0.745332384	0.1779205	0.010865375
0.71805624	0.111037632	0.01525708
0.719154351	0.074440869	0.020457034
0.71069355	0.04454624	0.036725147
0.67781364	0.032098355	0.055865843
0.622491141	0.021540994	0.096687828
0.395352092	0	0.510681733
0.396558439	0	0.562861465
