HEADER		
'SW'	'KRW'	'KRO'
UNITS		
'none'	'none'	'none'
1	0.992750927	0
0.957997593	0.627018009	0.011662606
0.925636911	0.546015473	0.026247129
0.907055208	0.436352035	0.044102045
0.876383844	0.333086994	0.101615582
0.854852484	0.281441105	0.128194339
0.815396253	0.200943719	0.183782018
0.779466592	0.137077023	0.25028714
0.753069376	0.118074076	0.322680053
0.697976838	0.062518664	0.51388943
0.665121636	0.032911374	0.570184664
0.630247645	0.014821136	0.661813448
0.587728082	0	0.784346059
0.547545678	0	0.913450353
