HEADER		
'SW'	'KRW'	'KRO'
UNITS		
'none'	'none'	'none'
1	1.009119565	0
0.954852109	0.579005642	0.01076957
0.923834107	0.44073066	0.021186056
0.906418687	0.355742813	0.035954881
0.873450558	0.255963202	0.078087257
0.851908145	0.217423254	0.099034682
0.808391185	0.154852374	0.141627128
0.771087487	0.106442729	0.194352384
0.7457832	0.081926689	0.223894264
0.690676692	0.038109749	0.313253607
0.6635139	0.021465576	0.371887906
0.637457904	0.009764943	0.436037472
0.600105909	0	0.517413186
0.560354946	0	0.657829972
