HEADER		
'SW'	'KRW'	'KRO'
UNITS   		
'none'	'none'      	'none'
0.259667902	0	0.98585
0.374524565	0.000416	0.97962
0.421336004	0.000574	0.973635
0.526833469	0.002637	0.946993
0.547545678	0.002867	0.907222
0.587728082	0.017641	0.752278
0.630247645	0.035244	0.573116
0.665121636	0.038138	0.537907
0.697976838	0.11295	0.382436
0.753069376	0.133036	0.270855
0.779466592	0.166459	0.206475
0.815396253	0.25821	0.149429
0.854852484	0.340517	0.105255
0.876383844	0.369718	0.089869
0.907055208	0.42145	0.062529
0.925636911	0.527303	0.029555
0.957997593	0.682146	0.011599
1	0.999759	0
