HEADER					
'SW'		'KRW'			'KRO'
UNITS   	            				
'none'		'none'      	'none'		
0.258811547	0	0.999986685			
0.339967595	2.61E-05	0.998293642			
0.372506102	2.61E-05	0.997460634			
0.46354164	0.001715192	0.953273873			
0.560354946	0.013355303	0.890625447			
0.600105909	0.016158244	0.759265277			
0.637457904	0.016158244	0.473079634			
0.6635139	0.04566196	0.437257406			
0.690676692	0.056519449	0.32196125			
0.7457832	0.120721838	0.217749903			
0.771087487	0.120721838	0.217749903			
0.808391185	0.193910497	0.137638735			
0.851908145	0.229640714	0.115848593			
0.873450558	0.311352434	0.076461676			
0.906418687	0.412498231	0.033747586			
0.923834107	0.502390507	0.021077069			
0.954852109	0.587528462	0.014720963			
1	0.999573771	0			
