HEADER					
'SW'		'KRW'			'KRO'
UNITS   	            				
'none'		'none'      	'none'		
0.258811547	0	0.86843			
0.339967595	1.12E-05	0.78439			
0.372506102	4.29E-05	0.71157			
0.46354164	6.38E-04	0.64178			
0.520476329	0.00319	0.56016			
0.558427279	0.0071	0.47618			
0.617090478	0.01461	0.37274			
0.657437354	0.02242	0.28702			
0.691728049	0.03388	0.20642			
0.734544375	0.05137	0.14742			
0.784488606	0.06971	0.12634			
0.813752306	0.11291	0.10357			
0.839389966	0.17311	0.074			
0.860831272	0.23227	0.04669			
0.909141396	0.31182	0.02572			
0.940130914	0.38993	0.01533			
0.967605424	0.477	0.0052			
1	0.6511	0			
