HEADER					
'SW'		'KRW'			'KRO'
UNITS   	            				
'none'		'none'      	'none'		
0.920548283	0.402019404	0.007490285			
0.883368034	0.349264392	0.016782169			
0.846359171	0.297917451	0.030220442			
0.780458659	0.211955117	0.064501532			
0.753441034	0.179534597	0.081953128			
0.705295092	0.127524891	0.116423953			
0.656414003	0.083933774	0.153254815			
0.628285804	0.063468675	0.173831336			
0.557891974	0.02662926	0.21880084			
0.518934887	0.013724508	0.23806621			
0.484970061	0.005626734	0.251709625			
0.4505542	0	0.262327759			
0.409496745	0	0.347645078			
