HEADER					
'SW'		'KRW'			'KRO'
UNITS   	            				
'none'		'none'      	'none'		
0.3	0	0.918844193			
0.409496745	0.001498655	0.687375016			
0.4505542	0.019794786	0.627329349			
0.484970061	0.019794786	0.546265084			
0.518934887	0.038267781	0.459126587			
0.557891974	0.038267781	0.40683547			
0.628285804	0.100033999	0.290430068			
0.656414003	0.134599832	0.244191272			
0.705295092	0.201111	0.176081161			
0.753441034	0.281853887	0.119860985			
0.780458659	0.328836581	0.094028758			
0.846359171	0.46130264	0.047761958			
0.883368034	0.562404053	0.028587408			
0.920548283	0.722084445	0.010853499			
1	0.905334497	0			
