HEADER
'time'		'pressure drop'
UNITS
'hour'		'bar'
0.0001		0.0749
0.0001      0.0759
0.0001      0.0772
0.0002      0.248
0.0002      0.315
0.0002      0.406
0.0002      0.494
0.0002      0.548
0.0002      0.635
0.0195      0.78
0.0247      0.8
0.0539      0.905
0.0542      0.906
0.0797      0.996
0.0817      1
0.1083      1.09
0.1272      1.14
0.1597      1.1
0.1669      1.09
0.2528      1.05
0.3472      1.02
0.5083      0.998
0.5861      0.991
0.6778      0.984
0.7889      0.977
0.9222      0.97
1.0806      0.964
1.2722      0.958
1.5028      0.953
1.7778      0.949
2.1083      0.946
2.5056      0.943
2.9722      0.941
3.5556      0.939
4.2500      0.938
5.0000      0.938













































