HEADER
'time'	'total volume rate'	'oil fraction'	'water fraction'
UNITS
'min'	'cm^3/hour'			'percent'		'percent'
0	120	0	100
40	120	2	98
1842.716667	120	5	95
3222.883333	120	10	90
4123.05	120	25	75
5023.216667	120	40	60
5923.383333	120	60	40
6823.55	120	75	25
7724.05	120	90	10
8624.216667	120	95	5
10101.08333	120	98	2
10786.55	120	100	0
11386.71667	300	100	0
11512.06667	180	100	0
11542.06667	120 100	0
11572.06667	60	100	0
11602.06667	120	100	0
11633.81667	0	100	0
11756.85	300	100	0
12246.86667	0	100	0
