HEADER
'time'		'average water saturation'
UNITS
'hour'    	'fraction'
2.778E-05	1
0.0004      0.999
0.0163      0.931
0.0289      0.873
0.0417      0.813
0.0542      0.755
0.0681      0.691
0.0836      0.619
0.0886      0.596
0.1006      0.541
0.1167      0.466
0.1411      0.414
0.2528      0.386
0.2778      0.382
0.4444      0.367
0.5861      0.36
0.7889      0.352
0.9222      0.349
1.0806      0.345
1.2722      0.342
1.5028      0.339
1.7778      0.337
2.1083      0.335
2.5056      0.333
2.9722      0.332
3.5556      0.331
4.2500      0.33
5.0000      0.33
