HEADER	
'time'	'pressure drop'
UNITS	
'min'	'bar'
0	0.151138
1.999999996	0.151894
4.000000003	0.148539
5.999999999	0.148795
7.999999995	0.148349
10	0.149704
12	0.145614
14	0.147002
16	0.148153
18	0.146229
20	0.148605
22	0.148368
23.99999999	0.148909
26	0.149043
28	0.148534
30	0.148218
32	0.149225
34	0.148169
36	0.146833
38	0.149611
40	0.149293
42	0.147748
44	0.146246
46	0.146278
48	0.148414
50	0.146199
52	0.147669
54	0.14667
56	0.149059
58	0.147209
60	0.147046
61	0.088915
61.25	0.08916
61.5	0.08916
61.75	0.089168
62	0.08845
62.25	0.087185
62.5	0.085696
62.75	0.086374
63	0.084981
63.25	0.08433
63.5	0.084981
63.75	0.084238
64	0.085941
64.24999999	0.084891
64.5	0.084412
64.75	0.086374
65	0.086578
65.25	0.081705
65.5	0.085938
65.75	0.084812
66	0.08636
66.25	0.084739
66.5	0.084344
66.75	0.085645
67	0.085465
67.25	0.086241
67.5	0.083446
67.75	0.084445
68	0.084284
68.25	0.084374
68.5	0.084194
68.75	0.08506
68.99999999	0.084752
69.25	0.085506
69.5	0.083906
69.75	0.083901
70	0.0843
70.25	0.084178
70.5	0.084254
70.74999999	0.085068
71	0.086175
71.25	0.086374
71.5	0.08636
71.75	0.084309
72	0.084981
72.25	0.086028
72.5	0.086434
72.75	0.086162
73	0.085724
73.25	0.086374
73.5	0.086374
73.75	0.08574
74	0.085166
74.25	0.086374
74.5	0.086638
74.75	0.086975
75	0.085639
75.25	0.08707
75.49999999	0.08707
75.75	0.088042
76	0.084447
76.25	0.086374
76.5	0.086398
76.75	0.086374
77	0.084295
77.25	0.08432
77.5	0.08633
77.75	0.08639
78	0.08707
78.25	0.083588
78.5	0.086374
78.75	0.087032
79	0.086589
79.25	0.084545
79.5	0.086374
79.75	0.085721
80	0.085688
80.24999999	0.082984
80.5	0.081683
80.75	0.083609
81	0.082777
81.25	0.082943
81.5	0.083732
81.75	0.084967
81.99999999	0.086374
82.25	0.086374
82.5	0.083356
82.75	0.084815
83	0.085313
83.25	0.086374
83.5	0.084252
83.75	0.08402
84	0.085677
84.25	0.08602
84.5	0.086069
84.75	0.085397
85	0.084284
85.25	0.085411
85.5	0.084733
85.75	0.084486
86	0.085623
86.25	0.086368
86.5	0.085949
86.74999999	0.083846
87	0.08497
87.25	0.085032
87.5	0.084981
87.75	0.083816
88	0.084284
88.25	0.084284
88.5	0.084328
88.75	0.08463
89	0.083443
89.25	0.085
89.5	0.084981
89.75	0.08432
90	0.082369
90.25	0.08482
90.5	0.085775
90.75	0.059186
91	0.05615
91.25	0.054865
91.49999999	0.054278
91.75	0.055725
92	0.055725
92.25	0.055714
92.5	0.055725
92.75	0.053635
93	0.053635
93.24999999	0.054332
93.5	0.055042
93.75	0.056392
94	0.055725
94.25	0.053524
94.5	0.05369
94.75	0.053712
95	0.053377
95.25	0.052101
95.5	0.053635
95.75	0.053635
96	0.052346
96.25	0.053635
96.5	0.052969
96.75	0.054555
97	0.055679
97.25	0.05588
97.5	0.054775
97.75	0.052724
97.99999999	0.054335
98.25	0.054966
98.5	0.055643
98.75	0.055739
99	0.055725
99.25	0.053483
99.5	0.053635
99.75	0.053635
100	0.054969
100.25	0.055725
100.5	0.056356
100.75	0.054019
101	0.052659
101.25	0.053069
101.5	0.053635
101.75	0.055126
102	0.055241
102.25	0.055725
102.5	0.053211
102.75	0.054307
103	0.054922
103.25	0.055725
103.5	0.055725
103.75	0.055801
104	0.053635
104.25	0.051616
104.5	0.053635
104.75	0.053635
105	0.053635
105.25	0.054332
105.5	0.054332
105.75	0.052242
106	0.052942
106.25	0.053023
106.5	0.055018
106.75	0.055818
107	0.056169
107.25	0.052939
107.5	0.050852
107.75	0.051491
108	0.053208
108.25	0.054416
108.5	0.055725
108.75	0.055725
109	0.052242
109.25	0.052939
109.5	0.053635
109.75	0.055725
110	0.055725
110.25	0.056422
110.5	0.051584
110.75	0.048765
111	0.051546
111.25	0.053635
111.5	0.053635
111.75	0.053635
112	0.05181
112.25	0.050803
112.5	0.052917
112.75	0.053608
113	0.055725
113.25	0.055725
113.5	0.056422
113.75	0.051546
114	0.051276
114.25	0.053635
114.5	0.055725
