HEADER
'time'	'pressure drop'	'average water saturation'
UNITS
'second'	'pa'	'fraction'
0	0	0.144230769
2.34375	11390.50678	0.15
4.6875	11390.50678	0.15
9.375	11390.50678	0.15
18.75	11390.50678	0.15
37.5	11390.50678	0.15
75	11390.50678	0.15
150	11390.50678	0.15
300	11390.50678	0.15
600	11390.50678	0.15
900	11390.50678	0.15
902.34375	11398.29634	0.150251772
904.6875	11412.70044	0.150503673
909.375	11439.21122	0.151007413
918.75	11495.98376	0.152014667
937.5	11612.46272	0.154029344
975	11885.79181	0.158058225
1050	12525.92747	0.166115151
1200	14034.78764	0.182222427
1500	17673.26294	0.214023381
2100	22658.56552	0.2548952
2700	27428.64298	0.289592363
3300	38407.79064	0.343207692
3900	52273.82908	0.407492202
4500	60520.65196	0.434919475
5100	62053.2703	0.439432277
5700	62252.33131	0.440013606
6300	62274.91586	0.440079282
6900	62277.32539	0.440086193
7200	62277.54396	0.44008683
7202.34375	62526.44058	0.440305622
7204.6875	62830.14718	0.440619187
7209.375	63393.23665	0.441448635
7218.75	64313.97702	0.443331757
7237.5	65882.19019	0.447294731
7275	68752.24092	0.455326547
7350	73987.67377	0.470457181
7500	79128.25278	0.48707364
7800	80856.41664	0.493661711
8400	80991.00277	0.494588858
9000	80998.33147	0.494642044
9600	80998.71294	0.494644715
10200	80998.73053	0.494644837
10800	80998.73128	0.494644842
11400	80998.73131	0.494644842
12000	80998.73131	0.494644842
12600	80998.73131	0.494644842
13200	80998.73131	0.494644842
13800	80998.73131	0.494644842
14400	80998.73131	0.494644842
14402.34375	81178.82498	0.494965795
14404.6875	81347.72464	0.495393142
14409.375	81580.55211	0.496353953
14418.75	81885.43593	0.498347163
14437.5	82342.665	0.502362903
14475	83128.25871	0.509997858
14550	84096.6445	0.52037102
14700	84368.69977	0.527206012
15000	84171.6123	0.529032635
15600	84147.40712	0.529238335
16200	84146.39697	0.52924842
16800	84146.35614	0.529248853
17400	84146.35472	0.52924887
18000	84146.35467	0.52924887
18600	84146.35467	0.52924887
19200	84146.35467	0.52924887
19800	84146.35467	0.52924887
20400	84146.35467	0.52924887
21000	84146.35467	0.52924887
21600	84146.35467	0.52924887
21602.34375	84188.83601	0.529606728
21604.6875	84185.76491	0.530063834
21609.375	84079.7278	0.531050565
21618.75	83759.99817	0.533057315
21637.5	83021.68442	0.537071404
21675	81625.69918	0.54451354
21750	79798.72777	0.554238039
21900	78263.1956	0.560869276
22200	77521.12368	0.562944749
22800	77421.11981	0.563230011
23400	77415.18297	0.563246778
24000	77414.88456	0.563247654
24600	77414.87085	0.563247695
25200	77414.87027	0.563247697
25800	77414.87025	0.563247697
26400	77414.87025	0.563247697
27000	77414.87025	0.563247697
27600	77414.87025	0.563247697
28200	77414.87025	0.563247697
28800	77414.87025	0.563247697
28802.34375	77328.66441	0.563630207
28804.6875	77185.72646	0.564103569
28809.375	76834.54621	0.565101883
28818.75	76049.42523	0.567114087
28837.5	74420.3737	0.571138868
28875	71270.70627	0.578907254
28950	66479.57811	0.591063847
29100	61389.84349	0.603505852
29400	58180.12034	0.611138348
30000	57252.37464	0.613591857
30600	57129.77723	0.613933631
31200	57115.19982	0.613975107
31800	57113.64064	0.613979642
32400	57113.48679	0.613980093
33000	57113.47273	0.613980135
33600	57113.47152	0.613980138
34200	57113.47142	0.613980139
34800	57113.47141	0.613980139
35400	57113.47141	0.613980139
36000	57113.47141	0.613980139
36002.34375	57085.23918	0.614080855
36004.6875	57047.49877	0.614201861
36009.375	56961.5835	0.614452388
36018.75	56771.17262	0.614955655
36037.5	56382.64488	0.615962938
36075	55594.19719	0.617975951
36150	54068.34123	0.621862079
36300	51664.64864	0.627956485
36600	49050.22876	0.634303072
37200	47578.62151	0.63807141
37800	47218.36472	0.639045583
38400	47138.80607	0.639264742
39000	47123.03629	0.639309562
39600	47120.12098	0.639317771
40200	47119.62912	0.639319156
40800	47119.55146	0.639319375
41400	47119.53983	0.639319408
42000	47119.53816	0.639319413
42600	47119.53793	0.639319414
43200	47119.5379	0.639319414
43202.34375	47094.84228	0.639401668
43204.6875	47064.31154	0.639499184
43209.375	46999.76925	0.639700038
43218.75	46873.36115	0.640102967
43237.5	46609.13085	0.640908988
43275	46079.56737	0.642521168
43350	45026.63836	0.6457388
43500	43047.73467	0.651867152
43800	40095.06502	0.661317231
44400	36865.10772	0.671913156
45000	35195.83849	0.677929529
45600	34344.23805	0.681272526
46200	33911.36594	0.683054953
46800	33696.02891	0.683958853
47400	33593.5052	0.684391113
48000	33547.32351	0.684590059
48600	33527.03969	0.684676814
49200	33518.54421	0.684712926
49800	33515.12423	0.684727389
50400	33513.79193	0.684733
50402.34375	33509.99505	0.684754284
50404.6875	33505.02706	0.684778902
50409.375	33493.63265	0.684829229
50418.75	33470.99935	0.684930078
50437.5	33423.25289	0.685131781
50475	33327.40018	0.68553516
50550	33137.05882	0.686341819
50700	32762.84309	0.687954319
51000	32040.28633	0.69113394
51600	30765.53581	0.696858731
52200	29722.87548	0.701784368
52800	28883.9861	0.705932807
53400	28211.38088	0.709384391
54000	27672.66025	0.712231809
54600	27241.2104	0.714558989
55200	26896.42567	0.716438785
55800	26622.45538	0.71794747
56400	26405.6884	0.719153765
57000	26233.84577	0.720122326
57600	26096.24675	0.720910545
