HEADER
'SW'	'PCOW'
UNITS
'none'	'bar'
0.2	5
0.2122	0.4844
0.2245	0.3946
0.2367	0.3414
0.249	0.3025
0.2612	0.2719
0.2735	0.2462
0.2857	0.224
0.298	0.2043
0.3102	0.1865
0.3224	0.1701
0.3347	0.155
0.3469	0.1408
0.3592	0.1274
0.3714	0.1146
0.3837	0.1022
0.3959	0.0905
0.4082	0.0791
0.4204	0.0679
0.4327	0.0571
0.4449	0.0464
0.4571	0.036
0.4694	0.0256
0.4816	0.0153
0.4939	0.0052
0.5061	-0.0052
0.5184	-0.0153
0.5306	-0.0256
0.5429	-0.036
0.5551	-0.0464
0.5673	-0.0571
0.5796	-0.0679
0.5918	-0.0791
0.6041	-0.0905
0.6163	-0.1022
0.6286	-0.1146
0.6408	-0.1274
0.6531	-0.1408
0.6653	-0.155
0.6776	-0.1701
0.6898	-0.1865
0.702	-0.2043
0.7143	-0.224
0.7265	-0.2462
0.7388	-0.2719
0.751	-0.3025
0.7633	-0.3414
0.7755	-0.3946
0.7878	-0.4844
0.8	-5
