HEADER
'SW'	'PCOW'
UNITS
'none'	'bar'
0.2000	11.5129
0.2122	1.9379
0.2245	1.5784
0.2367	1.3655
0.2490	1.2101
0.2612	1.0874
0.2735	0.9851
0.2857	0.8958
0.2980	0.8172
0.3102	0.7459
0.3224	0.6804
0.3347	0.6200
0.3469	0.5629
0.3592	0.5094
0.3714	0.4583
0.3837	0.4091
0.3959	0.3620
0.4082	0.3161
0.4204	0.2718
0.4327	0.2285
0.4449	0.1857
0.4571	0.1439
0.4694	0.1024
0.4816	0.0613
0.4939	0.0205
0.5061	-0.0205
0.5184	-0.0613
0.5306	-0.1024
0.5429	-0.1439
0.5551	-0.1857
0.5673	-0.2285
0.5796	-0.2718
0.5918	-0.3161
0.6041	-0.3620
0.6163	-0.4091
0.6286	-0.4583
0.6408	-0.5094
0.6531	-0.5629
0.6653	-0.6200
0.6776	-0.6804
0.6898	-0.7459
0.7020	-0.8172
0.7143	-0.8958
0.7265	-0.9851
0.7388	-1.0874
0.7510	-1.2101
0.7633	-1.3655
0.7755	-1.5784
0.7878	-1.9379
0.8000	-11.5129
