HEADER
'time'	'pressure drop'
UNITS
'second'	'pa'
0	0
2.34375	42640.25724
4.6875	42735.4131
9.375	42893.98908
18.75	43126.14936
37.5	43481.95359
75	44037.34993
150	44800.26134
300	45480.22287
600	45525.39159
1200	44475.19003
1800	43511.07429
2400	42947.2251
3000	42687.68558
3600	42586.74789
3602.34375	42587.00103
3604.6875	42586.97877
3609.375	42587.65349
3618.75	42591.48477
3637.5	42606.66097
3675	42655.57298
3750	42790.1223
3900	43110.14097
4200	43761.94794
4800	44632.24132
5400	45065.23529
6000	45234.54525
6600	45289.54631
7200	45305.10549
7800	45308.98645
8400	45309.8717
9000	45310.05826
9600	45310.09491
10200	45310.10168
10800	45310.10287
11400	45310.10307
12000	45310.1031
12600	45310.1031
13200	45310.1031
13800	45310.1031
14400	45310.1031
14402.34375	45311.80856
14404.6875	45315.02102
14409.375	45327.23527
14418.75	45370.18085
14437.5	45506.15241
14475	45901.05234
14550	46998.65751
14700	49932.81714
15000	56570.81049
15600	65109.90106
16200	68792.37084
16800	69995.35134
17400	70344.26531
18000	70439.80573
18002.34375	70448.56294
18004.6875	70462.49839
18009.375	70508.23252
18018.75	70662.66815
18037.5	71199.22591
18075	73201.85168
18150	80333.73581
18300	101183.649
18600	142522.8869
19200	198419.6067
19800	237441.9627
20400	255610.7351
21000	260688.1263
21600	261721.2859
21602.34375	261784.8542
21604.6875	261903.4465
21609.375	262338.1168
21618.75	263864.8353
21637.5	268032.3366
21675	276723.9485
21750	293287.9856
21900	305221.8694
22200	293383.6271
22800	292313.6639
23400	292265.5661
24000	292260.3407
24600	292259.8427
25200	292259.8002
25202.34375	292258.9411
25204.6875	292255.6883
25209.375	292240.1883
25218.75	292209.0765
25237.5	291939.5972
25275	290404.3142
25350	284779.2919
25500	271874.8209
25800	257284.2303
26400	253944.018
27000	253716.5907
27600	253702.3996
28200	253701.5696
28800	253701.5229
28802.34375	253660.6004
28804.6875	253581.3523
28809.375	253290.2775
28818.75	252202.3197
28837.5	248515.6494
28875	238645.4512
28950	218520.3933
29100	185871.1734
29400	147292.5563
30000	111520.7659
30600	93427.46322
31200	82727.26203
31800	75615.18506
32400	70599.44786
33000	66805.20363
33600	63858.97227
34200	61515.90926
34800	59585.37915
35400	57945.49953
36000	56546.80663
36600	55350.94116
37200	54319.12266
37800	53418.74879
38400	52621.5883
39000	51903.65306
39600	51246.56048
40200	50641.97969
40800	50089.68201
41400	49585.72034
42000	49127.04858
42600	48709.66818
43200	48329.18594
43800	47981.49324
44400	47662.48002
45000	47368.27306
45600	47095.28829
46200	46840.04104
46800	46599.48452
46802.34375	93179.60032
46804.6875	93164.23756
46809.375	93135.64312
46818.75	93085.20027
46837.5	93004.10232
46875	92874.91607
46950	92681.61381
47100	92391.67669
47400	91916.12292
48000	91069.71779
48600	90285.76873
49200	89562.16407
49800	88899.44631
50400	88297.1202
51000	87752.98694
51600	87263.52157
52200	86824.37491
52800	86430.70969
53400	86077.60733
54000	85760.18272
54600	85473.74376
55200	85213.88013
55800	84976.53163
56400	84757.97235
57000	84554.91159
57600	84363.40781
58200	84181.44895
58800	84007.42148
59400	83839.09041
60000	83676.23986
60600	83517.01607
61200	83360.5194
61800	83205.98125
62400	83052.82561
63000	82900.6229
63600	82749.027
64200	82597.88612
64800	82447.01125
64802.34375	123669.6482
64804.6875	123666.7585
64809.375	123662.4601
64818.75	123653.9811
64837.5	123637.4595
64875	123605.9175
64950	123547.5239
65100	123441.8024
65400	123251.4349
66000	122898.4603
66600	122556.6777
67200	122219.0324
67800	121887.2653
68400	121559.7296
69000	121236.9652
69600	120919.7117
70200	120608.7785
70800	120304.9775
71400	120009.0849
72000	119721.8163
72600	119443.8101
73200	119175.6165
73800	118917.6913
74400	118671.3688
75000	118434.8583
75600	118209.4079
76200	117995.1066
76800	117791.9642
77400	117599.9191
78000	117418.8453
78600	117248.5608
79200	117088.8347
79800	116939.3948
80400	116799.9338
81000	116669.9749
81600	116546.6368
82200	116431.6793
82800	116324.1369
