HEADER	
'time'	'pressure drop'
UNITS	
's'	'pa'
0	0
2.34375	177136.1692
4.6875	181464.5862
9.375	182429.1906
18.75	182657.91
37.5	182719.8008
75	182725.2559
150	182708.6132
300	182688.3655
600	182684.0495
1200	182670.7305
1800	182661.563
2400	182654.1333
3000	182647.337
3600	182640.1437
3602.34375	182655.7571
3604.6875	182674.3495
3609.375	182714.7035
3618.75	182799.2147
3637.5	182980.0176
3675	183361.7468
3750	184162.2785
3900	185818.5433
4200	189228.6702
4800	196189.6399
5400	203296.4973
6000	210479.6567
6600	217703.3723
7200	224945.7474
7800	232349.206
8400	240060.9154
9000	248386.4674
9600	258633.0231
10200	263330.9594
10800	263896.3041
11400	264097.7281
12000	264175.704
12600	264207.0334
13200	264219.8789
13800	264225.2193
14400	264227.4612
14402.34375	264333.4957
14404.6875	264530.5153
14409.375	265015.5481
14418.75	266108.4068
14437.5	268468.1936
14475	273378.9084
14550	283330.3362
14700	302987.1437
15000	330045.8289
15600	341458.6959
16200	342947.4683
16800	343112.0429
17400	343127.9153
18000	343129.3153
18002.34375	343023.6884
18004.6875	343261.222
18009.375	344134.5293
18018.75	346153.9978
18037.5	350299.9333
18075	358523.6991
18150	370835.6692
18300	373944.1012
18600	372115.8082
19200	371787.9559
19800	371771.535
20400	371770.8235
21000	371770.7962
21600	371770.7952
21602.34375	370391.4868
21604.6875	369349.0746
21609.375	367651.1578
21618.75	364524.7375
21637.5	358412.7646
21675	346489.4793
21750	327073.1393
21900	309183.4652
22200	301994.3623
22800	300808.2302
23400	300731.4935
24000	300727.2086
24600	300726.9953
25200	300726.9859
25202.34375	299864.5416
25204.6875	299176.7207
25209.375	297974.3572
25218.75	295740.8803
25237.5	291349.441
25275	282567.1239
25350	267118.2
25500	244697.5768
25800	215899.0416
26400	199871.7431
27000	196109.141
27600	195348.2396
28200	195214.6165
28800	195194.211
28802.34375	195097.7922
28804.6875	194914.8433
28809.375	194377.2517
28818.75	193167.3609
28837.5	190732.4159
28875	185939.3467
28950	176557.7082
29100	159598.7886
29400	136159.5832
30000	112573.4748
30600	99711.55663
31200	91731.04462
31800	86319.92562
32400	82406.67003
33000	79443.02837
33600	77122.0431
34200	75254.26493
34800	73717.31559
35400	72428.68266
36000	71331.67512
36600	70386.46674
37200	69564.00832
37800	68842.4082
38400	68204.56461
39000	67636.86596
39600	67128.64142
40200	66671.11969
40800	66257.14614
41400	65880.80968
42000	65537.22141
42600	65222.23861
43200	64932.47992
43800	64665.10387
44400	64417.68064
45000	64188.17818
45600	63974.79363
46200	63775.99629
46800	63590.42554
46802.34375	126390.7913
46804.6875	126136.6173
46809.375	125793.0368
46818.75	125341.6212
46837.5	124773.2616
46875	124075.1293
46950	123226.5835
47100	122193.5026
47400	120910.575
48000	119276.4835
48600	118048.777
49200	117044.8254
49800	116185.8728
50400	115431.4038
51000	114757.5357
51600	114148.7919
52200	113594.4118
52800	113086.6087
53400	112619.3656
54000	112187.8946
54600	111788.2676
55200	111417.1876
55800	111071.9296
56400	110750.024
57000	110449.3063
57600	110167.8994
58200	109904.1259
58800	109656.5192
59400	109423.7716
60000	109204.7407
60600	108998.4257
61200	108803.8488
61800	108620.1678
62400	108446.6217
63000	108282.5235
63600	108127.1972
64200	107980.0741
64800	107840.5792
64802.34375	161249.7615
64804.6875	161052.0186
64809.375	160802.4176
64818.75	160495.4826
64837.5	160125.1165
64875	159684.8333
64950	159163.8429
65100	158541.2218
65400	157782.091
66000	156827.3693
66600	156113.2631
67200	155529.6566
67800	155029.3337
68400	154587.6668
69000	154190.3023
69600	153828.1537
70200	153495.0666
70800	153186.5565
71400	152899.2912
72000	152630.6098
72600	152378.4061
73200	152141.0391
73800	151917.1085
74400	151705.4414
75000	151505.0363
75600	151314.9994
76200	151134.578
76800	150963.0654
77400	150799.8691
78000	150644.4378
78600	150496.2802
79200	150354.9186
79800	150219.9
80400	150090.8735
81000	149967.4705
81600	149849.3442
82200	149736.2168
82800	149627.8142
