HEADER
'time'	'average water saturation'
UNITS
'second'    'fraction'
0	0.181246154
2.34375	0.185239079
4.6875	0.185604667
9.375	0.186184787
18.75	0.187081388
37.5	0.188519538
75	0.190848288
150	0.194215794
300	0.197578712
600	0.198295891
1200	0.193790848
1800	0.189431773
2400	0.186788057
3000	0.185535993
3600	0.185041732
3602.34375	0.185040749
3604.6875	0.1850407
3609.375	0.185044065
3618.75	0.185062698
3637.5	0.185135685
3675	0.185368602
3750	0.185993997
3900	0.187478808
4200	0.190494798
4800	0.194479867
5400	0.196421015
6000	0.197171562
6600	0.197415584
7200	0.197484013
7800	0.197501266
8400	0.197505233
9000	0.197506075
9600	0.197506241
10200	0.197506272
10800	0.197506277
11400	0.197506278
12000	0.197506278
12600	0.197506278
13200	0.197506278
13800	0.197506278
14400	0.197506278
14402.34375	0.197513587
14404.6875	0.197527768
14409.375	0.197580771
14418.75	0.197765121
14437.5	0.198316976
14475	0.199877176
14550	0.204079053
14700	0.214942639
15000	0.238479801
15600	0.265947556
16200	0.276643539
16800	0.280023489
17400	0.280999206
18000	0.281264721
18002.34375	0.281281023
18004.6875	0.281311057
18009.375	0.281416574
18018.75	0.281785159
18037.5	0.283093621
18075	0.287907364
18150	0.304246638
18300	0.346655365
18600	0.414582732
19200	0.484446178
19800	0.520383146
20400	0.534340425
21000	0.5381208
21600	0.53893781
21602.34375	0.538978521
21604.6875	0.539054151
21609.375	0.539327778
21618.75	0.540283465
21637.5	0.543413443
21675	0.552581013
21750	0.575223074
21900	0.611475835
22200	0.62799167
22800	0.63231717
23400	0.632848626
24000	0.632904129
24600	0.632909222
25200	0.632909642
25202.34375	0.632942494
25204.6875	0.633006576
25209.375	0.633248942
25218.75	0.634092459
25237.5	0.636671447
25275	0.643444461
25350	0.658115265
25500	0.677380341
25800	0.686040422
26400	0.687405304
27000	0.687499499
27600	0.687505411
28200	0.687505759
28800	0.687505778
28802.34375	0.687522499
28804.6875	0.687554856
28809.375	0.687673898
28818.75	0.688084373
28837.5	0.689352274
28875	0.69270232
28950	0.699691586
29100	0.711181513
29400	0.726533086
30000	0.743992824
30600	0.755290341
31200	0.763283978
31800	0.769317184
32400	0.774057611
33000	0.777920327
33600	0.781141964
34200	0.783866947
34800	0.786211098
35400	0.788270803
36000	0.790097059
36600	0.791718919
37200	0.793164206
37800	0.794460013
38400	0.795632372
39000	0.796706059
39600	0.797702518
40200	0.798633518
40800	0.79950044
41400	0.800304814
42000	0.801049671
42600	0.801738829
43200	0.802376579
43800	0.802967525
44400	0.803516431
45000	0.804028124
45600	0.804507394
46200	0.80495893
46800	0.805387244
46802.34375	0.805400984
46804.6875	0.805414308
46809.375	0.805439462
46818.75	0.805484818
46837.5	0.805561858
46875	0.805683859
46950	0.805868137
47100	0.806144716
47400	0.806586813
48000	0.807358121
48600	0.808075993
49200	0.808747249
49800	0.809371314
50400	0.809947481
51000	0.810476226
51600	0.810959179
52200	0.811398849
52800	0.811798345
53400	0.812161145
54000	0.812490911
54600	0.812791358
55200	0.813066137
55800	0.813318755
56400	0.813552515
57000	0.813770461
57600	0.813976398
58200	0.814172454
58800	0.814360177
59400	0.814541103
60000	0.81471673
60600	0.814888269
61200	0.815056731
61800	0.815222935
62400	0.81538752
63000	0.815550978
63600	0.815713684
64200	0.815875882
64800	0.816037753
64802.34375	0.816039616
64804.6875	0.816041466
64809.375	0.816045136
64818.75	0.816052357
64837.5	0.816066361
64875	0.816092843
64950	0.816141184
65100	0.816225944
65400	0.816372039
66000	0.816631667
66600	0.816878989
67200	0.817120844
67800	0.817359443
68400	0.817595266
69000	0.817828155
69600	0.818057704
70200	0.818283411
70800	0.818504748
71400	0.818721193
72000	0.81893225
72600	0.819137458
73200	0.819336407
73800	0.819528735
74400	0.819714172
75000	0.819892437
75600	0.820063337
76200	0.820226733
76800	0.820382536
77400	0.820530707
78000	0.820671251
78600	0.820804214
79200	0.820929679
79800	0.821047763
80400	0.821158611
81000	0.821262549
81600	0.82136215
82200	0.821456759
82800	0.821545975
