HEADER
'SW'	'PCOW'
UNITS
'none'	'bar'
0.12	2.11E+31
0.13	4.06E+01
0.14	1.01E+01
0.15	4.44E+00
0.16	2.46E+00
0.17	1.54E+00
0.18	1.04E+00
0.19	7.45E-01
0.2	5.50E-01
0.21	4.16E-01
0.22	3.21E-01
0.23	2.50E-01
0.24	1.96E-01
0.25	1.54E-01
0.26	1.20E-01
0.27	9.34E-02
0.28	7.13E-02
0.29	5.29E-02
0.3	3.75E-02
0.31	2.44E-02
0.32	1.31E-02
0.33	3.36E-03
0.34	-5.13E-03
0.35	-1.26E-02
0.36	-1.92E-02
0.37	-2.51E-02
0.38	-3.04E-02
0.39	-3.52E-02
0.4	-3.95E-02
0.41	-4.35E-02
0.42	-4.72E-02
0.43	-5.06E-02
0.44	-5.38E-02
0.45	-5.68E-02
0.46	-5.96E-02
0.47	-6.23E-02
0.48	-6.49E-02
0.49	-6.74E-02
0.5	-6.98E-02
0.51	-7.23E-02
0.52	-7.47E-02
0.53	-7.71E-02
0.54	-7.95E-02
0.55	-8.20E-02
0.56	-8.46E-02
0.57	-8.73E-02
0.58	-9.01E-02
0.59	-9.31E-02
0.6	-9.63E-02
0.61	-9.98E-02
0.62	-1.04E-01
0.63	-1.08E-01
0.64	-1.13E-01
0.65	-1.18E-01
0.66	-1.24E-01
0.67	-1.31E-01
0.68	-1.39E-01
0.69	-1.48E-01
0.7	-1.60E-01
0.71	-1.74E-01
0.72	-1.91E-01
0.73	-2.12E-01
0.74	-2.39E-01
0.75	-2.75E-01
0.76	-3.23E-01
0.77	-3.90E-01
0.78	-4.87E-01
0.79	-6.38E-01
0.8	-8.87E-01
0.81	-1.34E+00
0.82	-2.33E+00
0.83	-5.16E+00
0.84	-2.04E+01
0.85	-6.61E+27
