HEADER
'SW'		'KRW'			'KRO'
UNITS   	            	
'none'		'none'      	'none'
0.199127505	0.001042642	0.535527532
0.554103274	0.056162156	0.030850928
0.696627416	0.06399812	0.007248931
0.721942505	0.067445878	0.004338152
0.734083056	0.070160456	0.003219409
0.744524673	0.072493026	0.002399096
0.752229981	0.074222244	0.001877971
0.76160966	0.076378581	0.001351637
0.769811411	0.078293589	0.000987857
0.773982501	0.079216491	0.000827152
0.784116811	0.081615605	0.000543274
0.789297398	0.082836554	0.00043124
0.79851915	0.084947486	0.000266945
0.805657966	0.086639105	0.000174578
0.812916075	0.088426257	0.000107359
0.822343705	0.090794849	5.14E-05
0.832322703	0.093363087	1.56E-05
0.83524495	0.094112282	8.84E-06
