-----------------------------------------------------------------------------------------------------------------------------------------------------------------
        Time       SwAvg       pDiff      qw_inj      qo_inj      Qw_inj      Qo_inj     qw_prod     qo_prod     Qw_prod     Qo_prod Qw_prod_net Qo_prod_net
          hr    fraction         bar     cm^3/hr     cm^3/hr        cm^3        cm^3     cm^3/hr     cm^3/hr        cm^3        cm^3        cm^3        cm^3
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
      0.0000      0.1951      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
      0.0009      0.2028      0.7387    200.0000      0.0000      0.1875      0.0000         NaN     74.7519         NaN      0.0701         NaN      0.0701
      0.0019      0.2069      0.7695    200.0000      0.0000      0.3750      0.0000         NaN    183.8441         NaN      0.1724         NaN      0.1724
      0.0037      0.2188      0.8235    200.0000      0.0000      0.7500      0.0000         NaN    251.7123         NaN      0.4720         NaN      0.4720
      0.0075      0.2473      0.9024    200.0000      0.0000      1.5000      0.0000         NaN    317.2268         NaN      1.1896         NaN      1.1896
      0.0150      0.3069      1.0380    200.0000      0.0000      3.0000      0.0000         NaN    358.1175         NaN      2.6859         NaN      2.6859
      0.0300      0.4262      1.3041    200.0000      0.0000      6.0000      0.0000         NaN    379.0560         NaN      5.6858         NaN      5.6858
      0.0600      0.6454      1.7165    200.0000      0.0000     12.0000      0.0000         NaN    373.1540         NaN     11.1946         NaN     11.1946
      0.0900      0.6663      1.5219    200.0000      0.0000     18.0000      0.0000         NaN    390.6193         NaN     11.7186         NaN     11.7186
      0.1200      0.6787      1.4149    200.0000      0.0000     24.0000      0.0000         NaN    401.0356         NaN     12.0311         NaN     12.0311
      0.1500      0.6873      1.3453    200.0000      0.0000     30.0000      0.0000         NaN    408.2129         NaN     12.2464         NaN     12.2464
      0.1800      0.6941      1.2922    200.0000      0.0000     36.0000      0.0000         NaN    413.9464         NaN     12.4184         NaN     12.4184
      0.2100      0.6997      1.2502    200.0000      0.0000     42.0000      0.0000         NaN    418.6654         NaN     12.5600         NaN     12.5600
      0.2400      0.7045      1.2158    200.0000      0.0000     48.0000      0.0000         NaN    422.6511         NaN     12.6795         NaN     12.6795
      0.2700      0.7086      1.1872    200.0000      0.0000     54.0000      0.0000         NaN    426.0681         NaN     12.7820         NaN     12.7820
      0.3000      0.7122      1.1628    200.0000      0.0000     60.0000      0.0000         NaN    429.0590         NaN     12.8718         NaN     12.8718
      0.3300      0.7153      1.1418    200.0000      0.0000     66.0000      0.0000         NaN    431.6919         NaN     12.9508         NaN     12.9508
      0.3600      0.7181      1.1235    200.0000      0.0000     72.0000      0.0000         NaN    434.0353         NaN     13.0211         NaN     13.0211
      0.3900      0.7206      1.1071    200.0000      0.0000     78.0000      0.0000         NaN    436.1548         NaN     13.0846         NaN     13.0846
      0.4200      0.7229      1.0926    200.0000      0.0000     84.0000      0.0000         NaN    438.0760         NaN     13.1423         NaN     13.1423
      0.4500      0.7250      1.0797    200.0000      0.0000     90.0000      0.0000         NaN    439.8205         NaN     13.1946         NaN     13.1946
      0.4800      0.7269      1.0680    200.0000      0.0000     96.0000      0.0000         NaN    441.4156         NaN     13.2425         NaN     13.2425
      0.5100      0.7287      1.0573    200.0000      0.0000    102.0000      0.0000         NaN    442.8909         NaN     13.2867         NaN     13.2867
      0.5400      0.7303      1.0474    200.0000      0.0000    108.0000      0.0000         NaN    444.2678         NaN     13.3280         NaN     13.3280
      0.5700      0.7318      1.0383    200.0000      0.0000    114.0000      0.0000         NaN    445.5485         NaN     13.3665         NaN     13.3665
      0.6000      0.7333      1.0300    200.0000      0.0000    120.0000      0.0000         NaN    446.7383         NaN     13.4021         NaN     13.4021
      0.6300      0.7346      1.0223    200.0000      0.0000    126.0000      0.0000         NaN    447.8457         NaN     13.4354         NaN     13.4354
      0.6600      0.7358      1.0152    200.0000      0.0000    132.0000      0.0000         NaN    448.8807         NaN     13.4664         NaN     13.4664
      0.6900      0.7370      1.0086    200.0000      0.0000    138.0000      0.0000         NaN    449.8547         NaN     13.4956         NaN     13.4956
      0.7200      0.7381      1.0024    200.0000      0.0000    144.0000      0.0000         NaN    450.7794         NaN     13.5234         NaN     13.5234
      0.7500      0.7391      0.9964    200.0000      0.0000    150.0000      0.0000         NaN    451.6634         NaN     13.5499         NaN     13.5499
      0.7800      0.7401      0.9908    200.0000      0.0000    156.0000      0.0000         NaN    452.5053         NaN     13.5752         NaN     13.5752
      0.8100      0.7411      0.9855    200.0000      0.0000    162.0000      0.0000         NaN    453.3048         NaN     13.5991         NaN     13.5991
      0.8400      0.7420      0.9805    200.0000      0.0000    168.0000      0.0000         NaN    454.0624         NaN     13.6219         NaN     13.6219
      0.8700      0.7429      0.9758    200.0000      0.0000    174.0000      0.0000         NaN    454.7801         NaN     13.6434         NaN     13.6434
      0.9000      0.7437      0.9714    200.0000      0.0000    180.0000      0.0000         NaN    455.4606         NaN     13.6638         NaN     13.6638
      0.9300      0.7444      0.9673    200.0000      0.0000    186.0000      0.0000         NaN    456.1069         NaN     13.6832         NaN     13.6832
      0.9600      0.7452      0.9633    200.0000      0.0000    192.0000      0.0000         NaN    456.7229         NaN     13.7017         NaN     13.7017
      0.9900      0.7459      0.9596    200.0000      0.0000    198.0000      0.0000         NaN    457.3125         NaN     13.7194         NaN     13.7194
      1.0000      0.7461      0.9583    200.0000      0.0000    200.0000      0.0000         NaN   1372.5186         NaN     13.7252         NaN     13.7252
