# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min phase pressure = 6000000.0, max phase pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 9.00000000000e+01,   6.00000000000e+06, 9.39478060950e-03, 3.96133503624e-04
 9.00000000000e+01,   7.00000000000e+06, 8.15633727956e-03, 4.61844478988e-04
 9.00000000000e+01,   8.00000000000e+06, 7.22697345332e-03, 5.27315631534e-04
 9.00000000000e+01,   9.00000000000e+06, 6.50365444281e-03, 5.92552284319e-04
 9.00000000000e+01,   1.00000000000e+07, 5.92455925968e-03, 6.57559569861e-04
 9.00000000000e+01,   1.10000000000e+07, 5.45034718207e-03, 7.22342465905e-04
 9.00000000000e+01,   1.20000000000e+07, 5.05479102868e-03, 7.86905825271e-04
 9.00000000000e+01,   1.30000000000e+07, 4.71973352966e-03, 8.51254400628e-04
 9.00000000000e+01,   1.40000000000e+07, 4.43220524685e-03, 9.15392864953e-04
 9.00000000000e+01,   1.50000000000e+07, 4.18269532088e-03, 9.79325828332e-04
 9.00000000000e+01,   1.60000000000e+07, 3.96407068417e-03, 1.04305785166e-03
 9.00000000000e+01,   1.70000000000e+07, 3.77087672480e-03, 1.10659345773e-03
 9.00000000000e+01,   1.80000000000e+07, 3.59887105981e-03, 1.16993714010e-03
 9.00000000000e+01,   1.90000000000e+07, 3.44470453568e-03, 1.23309337016e-03
 9.00000000000e+01,   2.00000000000e+07, 3.30569792692e-03, 1.29606660269e-03
 9.00000000000e+01,   2.10000000000e+07, 3.17968243361e-03, 1.35886128006e-03
 9.00000000000e+01,   2.20000000000e+07, 3.06488367839e-03, 1.42148183551e-03
 9.00000000000e+01,   2.30000000000e+07, 2.95983596402e-03, 1.48393269560e-03
 9.00000000000e+01,   2.40000000000e+07, 2.86331796594e-03, 1.54621828183e-03
 9.00000000000e+01,   2.50000000000e+07, 2.77430385781e-03, 1.60834301191e-03
 9.00000000000e+01,   2.60000000000e+07, 2.69192571533e-03, 1.67031130052e-03
 9.05000000000e+01,   6.00000000000e+06, 9.55548117061e-03, 3.97014757653e-04
 9.05000000000e+01,   7.00000000000e+06, 8.29548063971e-03, 4.62883879827e-04
 9.05000000000e+01,   8.00000000000e+06, 7.34993897341e-03, 5.28513088879e-04
 9.05000000000e+01,   9.00000000000e+06, 6.61402835030e-03, 5.93907706874e-04
 9.05000000000e+01,   1.00000000000e+07, 6.02485189821e-03, 6.59072865625e-04
 9.05000000000e+01,   1.10000000000e+07, 5.54238423914e-03, 7.24013542359e-04
 9.05000000000e+01,   1.20000000000e+07, 5.13994175234e-03, 7.88734589474e-04
 9.05000000000e+01,   1.30000000000e+07, 4.79905117003e-03, 8.53240759267e-04
 9.05000000000e+01,   1.40000000000e+07, 4.50651734027e-03, 9.17536724348e-04
 9.05000000000e+01,   1.50000000000e+07, 4.25266387961e-03, 9.81627094419e-04
 9.05000000000e+01,   1.60000000000e+07, 4.03023357709e-03, 1.04551642995e-03
 9.05000000000e+01,   1.70000000000e+07, 3.83367688745e-03, 1.10920925326e-03
 9.05000000000e+01,   1.80000000000e+07, 3.65867759068e-03, 1.17271005740e-03
 9.05000000000e+01,   1.90000000000e+07, 3.50182824103e-03, 1.23602331319e-03
 9.05000000000e+01,   2.00000000000e+07, 3.36040297935e-03, 1.29915347483e-03
 9.05000000000e+01,   2.10000000000e+07, 3.23219525507e-03, 1.36210498404e-03
 9.05000000000e+01,   2.20000000000e+07, 3.11539980409e-03, 1.42488227347e-03
 9.05000000000e+01,   2.30000000000e+07, 3.00852541455e-03, 1.48748976897e-03
 9.05000000000e+01,   2.40000000000e+07, 2.91032950002e-03, 1.54993189143e-03
 9.05000000000e+01,   2.50000000000e+07, 2.81976837456e-03, 1.61221305791e-03
 9.05000000000e+01,   2.60000000000e+07, 2.73595900231e-03, 1.67433768249e-03
 9.10000000000e+01,   6.00000000000e+06, 9.71833750931e-03, 3.97908995202e-04
 9.10000000000e+01,   7.00000000000e+06, 8.43648464235e-03, 4.63938608550e-04
 9.10000000000e+01,   8.00000000000e+06, 7.47454365909e-03, 5.29728210752e-04
 9.10000000000e+01,   9.00000000000e+06, 6.72586905303e-03, 5.95283123069e-04
 9.10000000000e+01,   1.00000000000e+07, 6.12647333715e-03, 6.60608476782e-04
 9.10000000000e+01,   1.10000000000e+07, 5.63563710292e-03, 7.25709248767e-04
 9.10000000000e+01,   1.20000000000e+07, 5.22621404056e-03, 7.90590291169e-04
 9.10000000000e+01,   1.30000000000e+07, 4.87941055768e-03, 8.55256356076e-04
 9.10000000000e+01,   1.40000000000e+07, 4.58180269801e-03, 9.19712115889e-04
 9.10000000000e+01,   1.50000000000e+07, 4.32354628768e-03, 9.83962180080e-04
 9.10000000000e+01,   1.60000000000e+07, 4.09725827247e-03, 1.04801110886e-03
 9.10000000000e+01,   1.70000000000e+07, 3.89729287394e-03, 1.11186342421e-03
 9.10000000000e+01,   1.80000000000e+07, 3.71925902394e-03, 1.17552361886e-03
 9.10000000000e+01,   1.90000000000e+07, 3.55969018629e-03, 1.23899616321e-03
 9.10000000000e+01,   2.00000000000e+07, 3.41581322975e-03, 1.30228551098e-03
 9.10000000000e+01,   2.10000000000e+07, 3.28538333592e-03, 1.36539610349e-03
 9.10000000000e+01,   2.20000000000e+07, 3.16656393121e-03, 1.42833237284e-03
 9.10000000000e+01,   2.30000000000e+07, 3.05783793960e-03, 1.49109874442e-03
 9.10000000000e+01,   2.40000000000e+07, 2.95794122162e-03, 1.55369963858e-03
 9.10000000000e+01,   2.50000000000e+07, 2.86581198714e-03, 1.61613947196e-03
 9.10000000000e+01,   2.60000000000e+07, 2.78055188178e-03, 1.67842265812e-03
 9.15000000000e+01,   6.00000000000e+06, 9.88336973443e-03, 3.98816194145e-04
 9.15000000000e+01,   7.00000000000e+06, 8.57936656950e-03, 4.65008642969e-04
 9.15000000000e+01,   8.00000000000e+06, 7.60080267149e-03, 5.30960974961e-04
 9.15000000000e+01,   9.00000000000e+06, 6.83919006193e-03, 5.96678510751e-04
 9.15000000000e+01,   1.00000000000e+07, 6.22943576660e-03, 6.62166381267e-04
 9.15000000000e+01,   1.10000000000e+07, 5.73011688234e-03, 7.27429563197e-04
 9.15000000000e+01,   1.20000000000e+07, 5.31361810081e-03, 7.92472908602e-04
 9.15000000000e+01,   1.30000000000e+07, 4.96082113687e-03, 8.57301169513e-04
 9.15000000000e+01,   1.40000000000e+07, 4.65807010979e-03, 9.21919018292e-04
 9.15000000000e+01,   1.50000000000e+07, 4.39535076712e-03, 9.86331064334e-04
 9.15000000000e+01,   1.60000000000e+07, 4.16515249531e-03, 1.05054186773e-03
 9.15000000000e+01,   1.70000000000e+07, 3.96173197036e-03, 1.11455595033e-03
 9.15000000000e+01,   1.80000000000e+07, 3.78062225535e-03, 1.17837780462e-03
 9.15000000000e+01,   1.90000000000e+07, 3.61829691774e-03, 1.24201190078e-03
 9.15000000000e+01,   2.00000000000e+07, 3.47193490944e-03, 1.30546269223e-03
 9.15000000000e+01,   2.10000000000e+07, 3.33925262249e-03, 1.36873461996e-03
 9.15000000000e+01,   2.20000000000e+07, 3.21838174663e-03, 1.43183211575e-03
