# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min pressure = 6000000.0, max pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 9.00000000000e+01, 6.00000000000e+06, 3.88549901405e+00, 1.02342559036e-05, 4.90171678973e+06
 9.00000000000e+01, 7.00000000000e+06, 4.51033380991e+00, 1.02431940888e-05, 4.90774612077e+06
 9.00000000000e+01, 8.00000000000e+06, 5.12887147464e+00, 1.02530518852e-05, 4.91382678933e+06
 9.00000000000e+01, 9.00000000000e+06, 5.74118532299e+00, 1.02638003268e-05, 4.91995890991e+06
 9.00000000000e+01, 1.00000000000e+07, 6.34734824408e+00, 1.02754112421e-05, 4.92614235079e+06
 9.00000000000e+01, 1.10000000000e+07, 6.94743289874e+00, 1.02878572394e-05, 4.93237677171e+06
 9.00000000000e+01, 1.20000000000e+07, 7.54151185470e+00, 1.03011116935e-05, 4.93866165694e+06
 9.00000000000e+01, 1.30000000000e+07, 8.12965767162e+00, 1.03151487324e-05, 4.94499634447e+06
 9.00000000000e+01, 1.40000000000e+07, 8.71194294619e+00, 1.03299432245e-05, 4.95138005144e+06
 9.00000000000e+01, 1.50000000000e+07, 9.28844032579e+00, 1.03454707657e-05, 4.95781189649e+06
 9.00000000000e+01, 1.60000000000e+07, 9.85922249790e+00, 1.03617076660e-05, 4.96429091924e+06
 9.00000000000e+01, 1.70000000000e+07, 1.04243621611e+01, 1.03786309363e-05, 4.97081609715e+06
 9.00000000000e+01, 1.80000000000e+07, 1.09839319824e+01, 1.03962182741e-05, 4.97738636026e+06
 9.00000000000e+01, 1.90000000000e+07, 1.15380045455e+01, 1.04144480499e-05, 4.98400060383e+06
 9.00000000000e+01, 2.00000000000e+07, 1.20866522924e+01, 1.04332992923e-05, 4.99065769926e+06
 9.00000000000e+01, 2.10000000000e+07, 1.26299474615e+01, 1.04527516733e-05, 4.99735650345e+06
 9.00000000000e+01, 2.20000000000e+07, 1.31679620241e+01, 1.04727854929e-05, 5.00409586676e+06
