-- SG    KRG    KROG   PCOG
SGOF
0.00000000 0.00000000 1.00000000 0.00000500
0.05000000 0.00000000 0.77247620 0.00000533
0.05969388 0.00000011 0.73330630 0.00000540
0.06938776 0.00000121 0.69564527 0.00000547
0.07908163 0.00000502 0.65945386 0.00000555
0.08877551 0.00001374 0.62469332 0.00000562
0.09846939 0.00003000 0.59132543 0.00000570
0.10816327 0.00005679 0.55931250 0.00000578
0.11785714 0.00009740 0.52861733 0.00000586
0.12755102 0.00015543 0.49920325 0.00000595
0.13724490 0.00023472 0.47103412 0.00000604
0.14693878 0.00033940 0.44407431 0.00000612
0.15663265 0.00047379 0.41828868 0.00000622
0.16632653 0.00064246 0.39364265 0.00000631
0.17602041 0.00085018 0.37010214 0.00000641
0.18571429 0.00110194 0.34763357 0.00000651
0.19540816 0.00140290 0.32620391 0.00000662
0.20510204 0.00175844 0.30578063 0.00000672
0.21479592 0.00217410 0.28633170 0.00000684
0.22448980 0.00265560 0.26782565 0.00000695
0.23418367 0.00320883 0.25023148 0.00000707
0.24387755 0.00383985 0.23351875 0.00000719
0.25357143 0.00455487 0.21765751 0.00000732
0.26326531 0.00536029 0.20261833 0.00000745
0.27295918 0.00626262 0.18837231 0.00000759
0.28265306 0.00726856 0.17489105 0.00000773
0.29234694 0.00838492 0.16214669 0.00000788
0.30204082 0.00961868 0.15011187 0.00000803
0.31173469 0.01097696 0.13875975 0.00000819
0.32142857 0.01246700 0.12806402 0.00000836
0.33112245 0.01409619 0.11799886 0.00000853
0.34081633 0.01587205 0.10853900 0.00000871
0.35051020 0.01780224 0.09965966 0.00000890
0.36020408 0.01989453 0.09133660 0.00000910
0.36989796 0.02215682 0.08354608 0.00000930
0.37959184 0.02459716 0.07626488 0.00000951
0.38928571 0.02722368 0.06947032 0.00000974
0.39897959 0.03004467 0.06314020 0.00000997
0.40867347 0.03306852 0.05725286 0.00001022
0.41836735 0.03630374 0.05178717 0.00001048
0.42806122 0.03975895 0.04672248 0.00001075
0.43775510 0.04344289 0.04203869 0.00001104
0.44744898 0.04736442 0.03771620 0.00001135
0.45714286 0.05153250 0.03373594 0.00001167
0.46683673 0.05595621 0.03007935 0.00001201
0.47653061 0.06064474 0.02672839 0.00001237
0.48622449 0.06560736 0.02366553 0.00001275
0.49591837 0.07085347 0.02087377 0.00001315
0.50561224 0.07639259 0.01833661 0.00001359
0.51530612 0.08223431 0.01603809 0.00001405
0.52500000 0.08838835 0.01396275 0.00001455
0.53469388 0.09486451 0.01209565 0.00001508
0.54438776 0.10167270 0.01042237 0.00001565
0.55408163 0.10882294 0.00892902 0.00001627
0.56377551 0.11632533 0.00760221 0.00001693
0.57346939 0.12419008 0.00642906 0.00001766
0.58316327 0.13242749 0.00539724 0.00001845
0.59285714 0.14104797 0.00449490 0.00001931
0.60255102 0.15006200 0.00371073 0.00002026
0.61224490 0.15948018 0.00303394 0.00002130
0.62193878 0.16931318 0.00245424 0.00002246
0.63163265 0.17957179 0.00196188 0.00002376
0.64132653 0.19026686 0.00154760 0.00002521
0.65102041 0.20140936 0.00120267 0.00002685
0.66071429 0.21301033 0.00091890 0.00002872
0.67040816 0.22508090 0.00068857 0.00003087
0.68010204 0.23763231 0.00050453 0.00003336
0.68979592 0.25067586 0.00036011 0.00003630
0.69948980 0.26422295 0.00024916 0.00003980
0.70918367 0.27828508 0.00016607 0.00004404
0.71887755 0.29287382 0.00010573 0.00004931
0.72857143 0.30800082 0.00006355 0.00005600
0.73826531 0.32367783 0.00003546 0.00006479
0.74795918 0.33991668 0.00001791 0.00007686
0.75765306 0.35672927 0.00000785 0.00009446
0.76734694 0.37412761 0.00000278 0.00012250
0.77704082 0.39212376 0.00000068 0.00017422
0.78673469 0.41072989 0.00000008 0.00030154
0.79642857 0.42995824 0.00000000 0.00112000
0.80612245 0.44982112 0.00000000 0.95000000
0.81581633 0.47033095 0.00000000 0.95000000
0.82551020 0.49150019 0.00000000 0.95000000
0.83520408 0.51334141 0.00000000 0.95000000
0.84489796 0.53586725 0.00000000 0.95000000
0.85459184 0.55909043 0.00000000 0.95000000
0.86428571 0.58302374 0.00000000 0.95000000
0.87397959 0.60768004 0.00000000 0.95000000
0.88367347 0.63307230 0.00000000 0.95000000
0.89336735 0.65921354 0.00000000 0.95000000
0.90306122 0.68611685 0.00000000 0.95000000
0.91275510 0.71379542 0.00000000 0.95000000
0.92244898 0.74226250 0.00000000 0.95000000
0.93214286 0.77153140 0.00000000 0.95000000
0.94183673 0.80161555 0.00000000 0.95000000
0.95153061 0.83252840 0.00000000 0.95000000
0.96122449 0.86428350 0.00000000 0.95000000
0.97091837 0.89689449 0.00000000 0.95000000
0.98061224 0.93037504 0.00000000 0.95000000
0.99030612 0.96473893 0.00000000 0.95000000
1.00000000 1.00000000 0.00000000 0.95000000
/
0.00000000 0.00000000 1.00000000 0.00010000
0.05000000 0.00000000 0.77247620 0.00010667
0.05969388 0.00000011 0.73330630 0.00010806
0.06938776 0.00000121 0.69564527 0.00010950
0.07908163 0.00000502 0.65945386 0.00011097
0.08877551 0.00001374 0.62469332 0.00011248
0.09846939 0.00003000 0.59132543 0.00011404
0.10816327 0.00005679 0.55931250 0.00011563
0.11785714 0.00009740 0.52861733 0.00011728
0.12755102 0.00015543 0.49920325 0.00011897
0.13724490 0.00023472 0.47103412 0.00012071
0.14693878 0.00033940 0.44407431 0.00012250
0.15663265 0.00047379 0.41828868 0.00012435
0.16632653 0.00064246 0.39364265 0.00012625
0.17602041 0.00085018 0.37010214 0.00012821
0.18571429 0.00110194 0.34763357 0.00013023
0.19540816 0.00140290 0.32620391 0.00013232
0.20510204 0.00175844 0.30578063 0.00013448
0.21479592 0.00217410 0.28633170 0.00013670
0.22448980 0.00265560 0.26782565 0.00013901
0.23418367 0.00320883 0.25023148 0.00014139
0.24387755 0.00383985 0.23351875 0.00014385
0.25357143 0.00455487 0.21765751 0.00014641
0.26326531 0.00536029 0.20261833 0.00014905
0.27295918 0.00626262 0.18837231 0.00015179
0.28265306 0.00726856 0.17489105 0.00015464
0.29234694 0.00838492 0.16214669 0.00015759
0.30204082 0.00961868 0.15011187 0.00016066
0.31173469 0.01097696 0.13875975 0.00016385
0.32142857 0.01246700 0.12806402 0.00016716
0.33112245 0.01409619 0.11799886 0.00017062
0.34081633 0.01587205 0.10853900 0.00017422
0.35051020 0.01780224 0.09965966 0.00017798
0.36020408 0.01989453 0.09133660 0.00018190
0.36989796 0.02215682 0.08354608 0.00018600
0.37959184 0.02459716 0.07626488 0.00019029
0.38928571 0.02722368 0.06947032 0.00019478
0.39897959 0.03004467 0.06314020 0.00019949
0.40867347 0.03306852 0.05725286 0.00020443
0.41836735 0.03630374 0.05178717 0.00020963
0.42806122 0.03975895 0.04672248 0.00021509
0.43775510 0.04344289 0.04203869 0.00022085
0.44744898 0.04736442 0.03771620 0.00022692
0.45714286 0.05153250 0.03373594 0.00023333
0.46683673 0.05595621 0.03007935 0.00024012
0.47653061 0.06064474 0.02672839 0.00024732
0.48622449 0.06560736 0.02366553 0.00025496
0.49591837 0.07085347 0.02087377 0.00026309
0.50561224 0.07639259 0.01833661 0.00027175
0.51530612 0.08223431 0.01603809 0.00028100
0.52500000 0.08838835 0.01396275 0.00029091
0.53469388 0.09486451 0.01209565 0.00030154
0.54438776 0.10167270 0.01042237 0.00031297
0.55408163 0.10882294 0.00892902 0.00032531
0.56377551 0.11632533 0.00760221 0.00033866
0.57346939 0.12419008 0.00642906 0.00035315
0.58316327 0.13242749 0.00539724 0.00036894
0.59285714 0.14104797 0.00449490 0.00038621
0.60255102 0.15006200 0.00371073 0.00040517
0.61224490 0.15948018 0.00303394 0.00042609
0.62193878 0.16931318 0.00245424 0.00044928
0.63163265 0.17957179 0.00196188 0.00047515
0.64132653 0.19026686 0.00154760 0.00050418
0.65102041 0.20140936 0.00120267 0.00053699
0.66071429 0.21301033 0.00091890 0.00057436
0.67040816 0.22508090 0.00068857 0.00061732
0.68010204 0.23763231 0.00050453 0.00066723
0.68979592 0.25067586 0.00036011 0.00072593
0.69948980 0.26422295 0.00024916 0.00079594
0.70918367 0.27828508 0.00016607 0.00088090
0.71887755 0.29287382 0.00010573 0.00098616
0.72857143 0.30800082 0.00006355 0.00112000
0.73826531 0.32367783 0.00003546 0.00129587
0.74795918 0.33991668 0.00001791 0.00153725
0.75765306 0.35672927 0.00000785 0.00188915
0.76734694 0.37412761 0.00000278 0.00245000
0.77704082 0.39212376 0.00000068 0.00348443
0.78673469 0.41072989 0.00000008 0.00603071
0.79642857 0.42995824 0.00000000 0.02239674
0.80612245 0.44982112 0.00000000 0.95000000
0.81581633 0.47033095 0.00000000 0.95000000
0.82551020 0.49150019 0.00000000 0.95000000
0.83520408 0.51334141 0.00000000 0.95000000
0.84489796 0.53586725 0.00000000 0.95000000
0.85459184 0.55909043 0.00000000 0.95000000
0.86428571 0.58302374 0.00000000 0.95000000
0.87397959 0.60768004 0.00000000 0.95000000
0.88367347 0.63307230 0.00000000 0.95000000
0.89336735 0.65921354 0.00000000 0.95000000
0.90306122 0.68611685 0.00000000 0.95000000
0.91275510 0.71379542 0.00000000 0.95000000
0.92244898 0.74226250 0.00000000 0.95000000
0.93214286 0.77153140 0.00000000 0.95000000
0.94183673 0.80161555 0.00000000 0.95000000
0.95153061 0.83252840 0.00000000 0.95000000
0.96122449 0.86428350 0.00000000 0.95000000
0.97091837 0.89689449 0.00000000 0.95000000
0.98061224 0.93037504 0.00000000 0.95000000
0.99030612 0.96473893 0.00000000 0.95000000
1.00000000 1.00000000 0.00000000 0.95000000
/
0.00000000 0.00000000 1.00000000 0.00050000
0.05000000 0.00000000 0.77247620 0.00053333
0.05969388 0.00000011 0.73330630 0.00054032
0.06938776 0.00000121 0.69564527 0.00054749
0.07908163 0.00000502 0.65945386 0.00055485
0.08877551 0.00001374 0.62469332 0.00056241
0.09846939 0.00003000 0.59132543 0.00057018
0.10816327 0.00005679 0.55931250 0.00057817
0.11785714 0.00009740 0.52861733 0.00058639
0.12755102 0.00015543 0.49920325 0.00059484
0.13724490 0.00023472 0.47103412 0.00060354
0.14693878 0.00033940 0.44407431 0.00061250
0.15663265 0.00047379 0.41828868 0.00062173
0.16632653 0.00064246 0.39364265 0.00063124
0.17602041 0.00085018 0.37010214 0.00064105
0.18571429 0.00110194 0.34763357 0.00065116
0.19540816 0.00140290 0.32620391 0.00066160
0.20510204 0.00175844 0.30578063 0.00067238
0.21479592 0.00217410 0.28633170 0.00068352
0.22448980 0.00265560 0.26782565 0.00069504
0.23418367 0.00320883 0.25023148 0.00070694
0.24387755 0.00383985 0.23351875 0.00071927
0.25357143 0.00455487 0.21765751 0.00073203
0.26326531 0.00536029 0.20261833 0.00074525
0.27295918 0.00626262 0.18837231 0.00075895
0.28265306 0.00726856 0.17489105 0.00077318
0.29234694 0.00838492 0.16214669 0.00078794
0.30204082 0.00961868 0.15011187 0.00080328
0.31173469 0.01097696 0.13875975 0.00081923
0.32142857 0.01246700 0.12806402 0.00083582
0.33112245 0.01409619 0.11799886 0.00085310
0.34081633 0.01587205 0.10853900 0.00087111
0.35051020 0.01780224 0.09965966 0.00088990
0.36020408 0.01989453 0.09133660 0.00090951
