# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min phase pressure = 101325.0, max phase pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 4.00000000000e+01,   1.01325000000e+05, 6.96094119058e-02, 1.28496730701e-05
 4.00000000000e+01,   3.32834210526e+05, 2.12951700830e-02, 4.43576403109e-05
 4.00000000000e+01,   5.64343421053e+05, 1.26205875080e-02, 7.58047056870e-05
 4.00000000000e+01,   7.95852631579e+05, 8.99277864359e-03, 1.07191233393e-04
 4.00000000000e+01,   1.02736184211e+06, 6.99997171289e-03, 1.38517578853e-04
 4.00000000000e+01,   1.25887105263e+06, 5.74012486399e-03, 1.69784089109e-04
 4.00000000000e+01,   1.49038026316e+06, 4.87167332538e-03, 2.00991103197e-04
 4.00000000000e+01,   1.72188947368e+06, 4.23674678358e-03, 2.32138952503e-04
 4.00000000000e+01,   1.95339868421e+06, 3.75231562157e-03, 2.63227961111e-04
 4.00000000000e+01,   2.18490789474e+06, 3.37054093991e-03, 2.94258446121e-04
 4.00000000000e+01,   2.41641710526e+06, 3.06191700506e-03, 3.25230717983e-04
 4.00000000000e+01,   2.64792631579e+06, 2.80725687118e-03, 3.56145080774e-04
 4.00000000000e+01,   2.87943552632e+06, 2.59354418097e-03, 3.87001832514e-04
 4.00000000000e+01,   3.11094473684e+06, 2.41163716234e-03, 4.17801265415e-04
 4.00000000000e+01,   3.34245394737e+06, 2.25492679663e-03, 4.48543666175e-04
 4.00000000000e+01,   3.57396315789e+06, 2.11851650293e-03, 4.79229316206e-04
 4.00000000000e+01,   3.80547236842e+06, 1.99870124996e-03, 5.09858491892e-04
 4.00000000000e+01,   4.03698157895e+06, 1.89262589653e-03, 5.40431464819e-04
 4.00000000000e+01,   4.26849078947e+06, 1.79805471514e-03, 5.70948501992e-04
 4.00000000000e+01,   4.50000000000e+06, 1.71321205870e-03, 6.01409866058e-04
 4.10526315789e+01,   1.01325000000e+05, 7.34046559584e-02, 1.27599465220e-05
 4.10526315789e+01,   3.32834210526e+05, 2.24552746580e-02, 4.41760854896e-05
 4.10526315789e+01,   5.64343421053e+05, 1.33075638587e-02, 7.55317755850e-05
 4.10526315789e+01,   7.95852631579e+05, 9.48188599975e-03, 1.06827376718e-04
 4.10526315789e+01,   1.02736184211e+06, 7.38038574421e-03, 1.38063240173e-04
 4.10526315789e+01,   1.25887105263e+06, 6.05182241632e-03, 1.69239708996e-04
 4.10526315789e+01,   1.49038026316e+06, 5.13600174874e-03, 2.00357118355e-04
 4.10526315789e+01,   1.72188947368e+06, 4.46644292550e-03, 2.31415795895e-04
 4.10526315789e+01,   1.95339868421e+06, 3.95558775996e-03, 2.62416062077e-04
 4.10526315789e+01,   2.18490789474e+06, 3.55298814172e-03, 2.93358230494e-04
 4.10526315789e+01,   2.41641710526e+06, 3.22752904696e-03, 3.24242608186e-04
 4.10526315789e+01,   2.64792631579e+06, 2.95897704283e-03, 3.55069495934e-04
 4.10526315789e+01,   2.87943552632e+06, 2.73360583903e-03, 3.85839188540e-04
 4.10526315789e+01,   3.11094473684e+06, 2.54177505648e-03, 4.16551975110e-04
 4.10526315789e+01,   3.34245394737e+06, 2.37651521013e-03, 4.47208139294e-04
 4.10526315789e+01,   3.57396315789e+06, 2.23266265171e-03, 4.77807959561e-04
 4.10526315789e+01,   3.80547236842e+06, 2.10631027166e-03, 5.08351709412e-04
 4.10526315789e+01,   4.03698157895e+06, 1.99444720489e-03, 5.38839657631e-04
 4.10526315789e+01,   4.26849078947e+06, 1.89471578379e-03, 5.69272068481e-04
 4.10526315789e+01,   4.50000000000e+06, 1.80524351471e-03, 5.99649201937e-04
 4.21052631579e+01,   1.01325000000e+05, 7.73734406257e-02, 1.26706503511e-05
 4.21052631579e+01,   3.32834210526e+05, 2.36683782725e-02, 4.40011538488e-05
 4.21052631579e+01,   5.64343421053e+05, 1.40258964564e-02, 7.52716457215e-05
 4.21052631579e+01,   7.95852631579e+05, 9.99329823608e-03, 1.06482481725e-04
 4.21052631579e+01,   1.02736184211e+06, 7.77813253062e-03, 1.37634009135e-04
 4.21052631579e+01,   1.25887105263e+06, 6.37770929528e-03, 1.68726567120e-04
 4.21052631579e+01,   1.49038026316e+06, 5.41235258153e-03, 1.99760487102e-04
 4.21052631579e+01,   1.72188947368e+06, 4.70657719303e-03, 2.30736093103e-04
 4.21052631579e+01,   1.95339868421e+06, 4.16808921928e-03, 2.61653702068e-04
 4.21052631579e+01,   2.18490789474e+06, 3.74371198348e-03, 2.92513624193e-04
 4.21052631579e+01,   2.41641710526e+06, 3.40064755632e-03, 3.23316163216e-04
 4.21052631579e+01,   2.64792631579e+06, 3.11756814762e-03, 3.54061616718e-04
 4.21052631579e+01,   2.87943552632e+06, 2.88000505891e-03, 3.84750276395e-04
 4.21052631579e+01,   3.11094473684e+06, 2.67779649602e-03, 4.15382428324e-04
 4.21052631579e+01,   3.34245394737e+06, 2.50359601828e-03, 4.45958353225e-04
 4.21052631579e+01,   3.57396315789e+06, 2.35196069342e-03, 4.76478326698e-04
 4.21052631579e+01,   3.80547236842e+06, 2.21877208975e-03, 5.06942619463e-04
 4.21052631579e+01,   4.03698157895e+06, 2.10085649486e-03, 5.37351497575e-04
 4.21052631579e+01,   4.26849078947e+06, 1.99572872303e-03, 5.67705222657e-04
 4.21052631579e+01,   4.50000000000e+06, 1.90141500392e-03, 5.98004052084e-04
 4.31578947368e+01,   1.01325000000e+05, 8.15219017283e-02, 1.25816437070e-05
 4.31578947368e+01,   3.32834210526e+05, 2.49363527273e-02, 4.38325952555e-05
 4.31578947368e+01,   5.64343421053e+05, 1.47766915123e-02, 7.50239570976e-05
 4.31578947368e+01,   7.95852631579e+05, 1.05278013813e-02, 1.06156080964e-04
 4.31578947368e+01,   1.02736184211e+06, 8.19382221682e-03, 1.37229310244e-04
 4.31578947368e+01,   1.25887105263e+06, 6.71828444956e-03, 1.68243980349e-04
 4.31578947368e+01,   1.49038026316e+06, 5.70114811934e-03, 1.99200419070e-04
 4.31578947368e+01,   1.72188947368e+06, 4.95751583882e-03, 2.30098946916e-04
 4.31578947368e+01,   1.95339868421e+06, 4.39014349129e-03, 2.60939877430e-04
 4.31578947368e+01,   2.18490789474e+06, 3.94300225617e-03, 2.91723517510e-04
 4.31578947368e+01,   2.41641710526e+06, 3.58153507937e-03, 3.22450167700e-04
 4.31578947368e+01,   2.64792631579e+06, 3.28327024969e-03, 3.53120122476e-04
 4.31578947368e+01,   2.87943552632e+06, 3.03296303667e-03, 3.83733670521e-04
 4.31578947368e+01,   3.11094473684e+06, 2.81990661594e-03, 4.14291094990e-04
 4.31578947368e+01,   3.34245394737e+06, 2.63636051886e-03, 4.44792673749e-04
 4.31578947368e+01,   3.57396315789e+06, 2.47658988030e-03, 4.75238679630e-04
 4.31578947368e+01,   3.80547236842e+06, 2.33625537561e-03, 5.05629380647e-04
 4.31578947368e+01,   4.03698157895e+06, 2.21201306966e-03, 5.35965040229e-04
 4.31578947368e+01,   4.26849078947e+06, 2.10124448330e-03, 5.66245917422e-04
 4.31578947368e+01,   4.50000000000e+06, 2.00186998264e-03, 5.96472267093e-04
 4.42105263158e+01,   1.01325000000e+05, 8.58563097884e-02, 1.24927843637e-05
 4.42105263158e+01,   3.32834210526e+05, 2.62611108392e-02, 4.36701623759e-05
 4.42105263158e+01,   5.64343421053e+05, 1.55610794326e-02, 7.47883576749e-05
 4.42105263158e+01,   7.95852631579e+05, 1.10861986245e-02, 1.05847718090e-04
 4.42105263158e+01,   1.02736184211e+06, 8.62807824335e-03, 1.36848583242e-04
 4.42105263158e+01,   1.25887105263e+06, 7.07405768062e-03, 1.67791284903e-04
 4.42105263158e+01,   1.49038026316e+06, 6.00281982650e-03, 1.98676147346e-04
 4.42105263158e+01,   1.72188947368e+06, 5.21963305279e-03, 2.29503487672e-04
 4.42105263158e+01,   1.95339868421e+06, 4.62208106562e-03, 2.60273616127e-04
 4.42105263158e+01,   2.18490789474e+06, 4.15115500820e-03, 2.90986836418e-04
 4.42105263158e+01,   2.41641710526e+06, 3.77045982129e-03, 3.21643445986e-04
 4.42105263158e+01,   2.64792631579e+06, 3.45632857827e-03, 3.52243736308e-04
 4.42105263158e+01,   2.87943552632e+06, 3.19270571885e-03, 3.82787993144e-04
 4.42105263158e+01,   3.11094473684e+06, 2.96831494894e-03, 4.13276496810e-04
 4.42105263158e+01,   3.34245394737e+06, 2.77500410340e-03, 4.43709522417e-04
 4.42105263158e+01,   3.57396315789e+06, 2.60673329374e-03, 4.74087340110e-04
 4.42105263158e+01,   3.80547236842e+06, 2.45893239733e-03, 5.04410215287e-04
 4.42105263158e+01,   4.03698157895e+06, 2.32807962342e-03, 5.34678408825e-04
 4.42105263158e+01,   4.26849078947e+06, 2.21141722247e-03, 5.64892177280e-04
 4.42105263158e+01,   4.50000000000e+06, 2.10675495003e-03, 5.95051773089e-04
 4.52631578947e+01,   1.01325000000e+05, 9.03830699873e-02, 1.24039285606e-05
 4.52631578947e+01,   3.32834210526e+05, 2.76446064252e-02, 4.35136103602e-05
 4.52631578947e+01,   5.64343421053e+05, 1.63802148078e-02, 7.45645019019e-05
 4.52631578947e+01,   7.95852631579e+05, 1.16693103058e-02, 1.05556947233e-04
 4.52631578947e+01,   1.02736184211e+06, 9.08153733889e-03, 1.36491282323e-04
 4.52631578947e+01,   1.25887105263e+06, 7.44554963573e-03, 1.67367835416e-04
 4.52631578947e+01,   1.49038026316e+06, 6.31780832952e-03, 1.98186927374e-04
 4.52631578947e+01,   1.72188947368e+06, 5.49331095627e-03, 2.28948871995e-04
 4.52631578947e+01,   1.95339868421e+06, 4.86423942396e-03, 2.59653976337e-04
 4.52631578947e+01,   2.18490789474e+06, 4.36847253997e-03, 2.90302541004e-04
 4.52631578947e+01,   2.41641710526e+06, 3.96769564074e-03, 3.20894860440e-04
 4.52631578947e+01,   2.64792631579e+06, 3.63699352232e-03, 3.51431223206e-04
 4.52631578947e+01,   2.87943552632e+06, 3.35946379741e-03, 3.81911912237e-04
 4.52631578947e+01,   3.11094473684e+06, 3.12323542039e-03, 4.12337205099e-04
 4.52631578947e+01,   3.34245394737e+06, 2.91972625219e-03, 4.42707374231e-04
 4.52631578947e+01,   3.57396315789e+06, 2.74257783935e-03, 4.73022687173e-04
 4.52631578947e+01,   3.80547236842e+06, 2.58697901490e-03, 5.03283406791e-04
 4.52631578947e+01,   4.03698157895e+06, 2.44922223651e-03, 5.33489791490e-04
 4.52631578947e+01,   4.26849078947e+06, 2.32640430123e-03, 5.63642095416e-04
 4.52631578947e+01,   4.50000000000e+06, 2.21621944350e-03, 5.93740568651e-04
 4.63157894737e+01,   1.01325000000e+05, 9.51087220411e-02, 1.23149308440e-05
 4.63157894737e+01,   3.32834210526e+05, 2.90888342620e-02, 4.33626965314e-05
 4.63157894737e+01,   5.64343421053e+05, 1.72352763869e-02, 7.43520502520e-05
 4.63157894737e+01,   7.95852631579e+05, 1.22779738979e-02, 1.05283332388e-04
 4.63157894737e+01,   1.02736184211e+06, 9.55484950466e-03, 1.36156875369e-04
 4.63157894737e+01,   1.25887105263e+06, 7.83329179449e-03, 1.66973004020e-04
 4.63157894737e+01,   1.49038026316e+06, 6.64656340509e-03, 1.97732035897e-04
 4.63157894737e+01,   1.72188947368e+06, 5.77893959080e-03, 2.28434281601e-04
 4.63157894737e+01,   1.95339868421e+06, 5.11696303014e-03, 2.59080045090e-04
 4.63157894737e+01,   2.18490789474e+06, 4.59526339437e-03, 2.89669623970e-04
 4.63157894737e+01,   2.41641710526e+06, 4.17352204116e-03, 3.20203309780e-04
 4.63157894737e+01,   2.64792631579e+06, 3.82552062221e-03, 3.50681388254e-04
 4.63157894737e+01,   2.87943552632e+06, 3.53347270170e-03, 3.81104139590e-04
 4.63157894737e+01,   3.11094473684e+06, 3.28488634066e-03, 4.11471838691e-04
 4.63157894737e+01,   3.34245394737e+06, 3.07073052696e-03, 4.41784755404e-04
 4.63157894737e+01,   3.57396315789e+06, 2.88431423991e-03, 4.72043154749e-04
 4.63157894737e+01,   3.80547236842e+06, 2.72057467331e-03, 5.02247297141e-04
 4.63157894737e+01,   4.03698157895e+06, 2.57561036868e-03, 5.32397438585e-04
 4.63157894737e+01,   4.26849078947e+06, 2.44636627647e-03, 5.62493830893e-04
 4.63157894737e+01,   4.50000000000e+06, 2.33041603229e-03, 5.92536721870e-04
 4.73684210526e+01,   1.01325000000e+05, 1.00039939998e-01, 1.22256439102e-05
