# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min pressure = 101325.0, max pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 4.00000000000e+01, 1.01325000000e+05, 9.92216352873e+02, 6.52728726577e-04, 1.67616285975e+05
 4.00000000000e+01, 3.32834210526e+05, 9.92317944159e+02, 6.52757796085e-04, 1.67821433050e+05
 4.00000000000e+01, 5.64343421053e+05, 9.92419484352e+02, 6.52786932249e-04, 1.68026554349e+05
 4.00000000000e+01, 7.95852631579e+05, 9.92520973505e+02, 6.52816135111e-04, 1.68231649880e+05
 4.00000000000e+01, 1.02736184211e+06, 9.92622411676e+02, 6.52845404712e-04, 1.68436719652e+05
 4.00000000000e+01, 1.25887105263e+06, 9.92723798918e+02, 6.52874741095e-04, 1.68641763673e+05
 4.00000000000e+01, 1.49038026316e+06, 9.92825135288e+02, 6.52904144300e-04, 1.68846781953e+05
 4.00000000000e+01, 1.72188947368e+06, 9.92926420840e+02, 6.52933614369e-04, 1.69051774501e+05
 4.00000000000e+01, 1.95339868421e+06, 9.93027655629e+02, 6.52963151342e-04, 1.69256741324e+05
 4.00000000000e+01, 2.18490789474e+06, 9.93128839711e+02, 6.52992755259e-04, 1.69461682433e+05
 4.00000000000e+01, 2.41641710526e+06, 9.93229973139e+02, 6.53022426162e-04, 1.69666597837e+05
 4.00000000000e+01, 2.64792631579e+06, 9.93331055969e+02, 6.53052164089e-04, 1.69871487543e+05
 4.00000000000e+01, 2.87943552632e+06, 9.93432088255e+02, 6.53081969082e-04, 1.70076351561e+05
 4.00000000000e+01, 3.11094473684e+06, 9.93533070052e+02, 6.53111841178e-04, 1.70281189901e+05
 4.00000000000e+01, 3.34245394737e+06, 9.93634001412e+02, 6.53141780418e-04, 1.70486002571e+05
 4.00000000000e+01, 3.57396315789e+06, 9.93734882392e+02, 6.53171786841e-04, 1.70690789581e+05
 4.00000000000e+01, 3.80547236842e+06, 9.93835713044e+02, 6.53201860485e-04, 1.70895550939e+05
 4.00000000000e+01, 4.03698157895e+06, 9.93936493423e+02, 6.53232001389e-04, 1.71100286655e+05
 4.00000000000e+01, 4.26849078947e+06, 9.94037223581e+02, 6.53262209591e-04, 1.71304996738e+05
 4.00000000000e+01, 4.50000000000e+06, 9.94137903574e+02, 6.53292485128e-04, 1.71509681198e+05
 4.10526315789e+01, 1.01325000000e+05, 9.91809634973e+02, 6.40017873997e-04, 1.72015725503e+05
 4.10526315789e+01, 3.32834210526e+05, 9.91911122194e+02, 6.40049368656e-04, 1.72220274996e+05
 4.10526315789e+01, 5.64343421053e+05, 9.92012558220e+02, 6.40080925332e-04, 1.72424799587e+05
 4.10526315789e+01, 7.95852631579e+05, 9.92113943105e+02, 6.40112544069e-04, 1.72629299282e+05
 4.10526315789e+01, 1.02736184211e+06, 9.92215276908e+02, 6.40144224909e-04, 1.72833774091e+05
 4.10526315789e+01, 1.25887105263e+06, 9.92316559683e+02, 6.40175967897e-04, 1.73038224019e+05
 4.10526315789e+01, 1.49038026316e+06, 9.92417791487e+02, 6.40207773074e-04, 1.73242649075e+05
 4.10526315789e+01, 1.72188947368e+06, 9.92518972376e+02, 6.40239640484e-04, 1.73447049266e+05
 4.10526315789e+01, 1.95339868421e+06, 9.92620102405e+02, 6.40271570169e-04, 1.73651424600e+05
 4.10526315789e+01, 2.18490789474e+06, 9.92721181629e+02, 6.40303562171e-04, 1.73855775085e+05
 4.10526315789e+01, 2.41641710526e+06, 9.92822210105e+02, 6.40335616531e-04, 1.74060100727e+05
 4.10526315789e+01, 2.64792631579e+06, 9.92923187888e+02, 6.40367733292e-04, 1.74264401536e+05
 4.10526315789e+01, 2.87943552632e+06, 9.93024115032e+02, 6.40399912495e-04, 1.74468677519e+05
 4.10526315789e+01, 3.11094473684e+06, 9.93124991593e+02, 6.40432154180e-04, 1.74672928683e+05
 4.10526315789e+01, 3.34245394737e+06, 9.93225817625e+02, 6.40464458389e-04, 1.74877155036e+05
 4.10526315789e+01, 3.57396315789e+06, 9.93326593184e+02, 6.40496825163e-04, 1.75081356587e+05
 4.10526315789e+01, 3.80547236842e+06, 9.93427318324e+02, 6.40529254541e-04, 1.75285533343e+05
 4.10526315789e+01, 4.03698157895e+06, 9.93527993100e+02, 6.40561746564e-04, 1.75489685312e+05
 4.10526315789e+01, 4.26849078947e+06, 9.93628617566e+02, 6.40594301271e-04, 1.75693812502e+05
