# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min pressure = 101325.0, max pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 4.00000000000e+01, 1.01325000000e+05, 7.84051178580e-02, 9.20773222401e-06, 4.14676741221e+06
 4.00000000000e+01, 3.32834210526e+05, 2.57207627273e-01, 9.20883886336e-06, 4.14785231496e+06
 4.00000000000e+01, 5.64343421053e+05, 4.35539727454e-01, 9.21002080916e-06, 4.14894062427e+06
 4.00000000000e+01, 7.95852631579e+05, 6.13402742090e-01, 9.21127745358e-06, 4.15003240945e+06
 4.00000000000e+01, 1.02736184211e+06, 7.90797965829e-01, 9.21260819285e-06, 4.15112773597e+06
 4.00000000000e+01, 1.25887105263e+06, 9.67726666559e-01, 9.21401242721e-06, 4.15222666555e+06
 4.00000000000e+01, 1.49038026316e+06, 1.14419008758e+00, 9.21548956081e-06, 4.15332925635e+06
 4.00000000000e+01, 1.72188947368e+06, 1.32018944963e+00, 9.21703900166e-06, 4.15443556303e+06
 4.00000000000e+01, 1.95339868421e+06, 1.49572595286e+00, 9.21866016162e-06, 4.15554563690e+06
 4.00000000000e+01, 2.18490789474e+06, 1.67080077860e+00, 9.22035245627e-06, 4.15665952607e+06
 4.00000000000e+01, 2.41641710526e+06, 1.84541509116e+00, 9.22211530496e-06, 4.15777727549e+06
 4.00000000000e+01, 2.64792631579e+06, 2.01957003938e+00, 9.22394813067e-06, 4.15889892713e+06
 4.00000000000e+01, 2.87943552632e+06, 2.19326675825e+00, 9.22585036007e-06, 4.16002452005e+06
 4.00000000000e+01, 3.11094473684e+06, 2.36650637026e+00, 9.22782142341e-06, 4.16115409051e+06
 4.00000000000e+01, 3.34245394737e+06, 2.53928998687e+00, 9.22986075455e-06, 4.16228767208e+06
 4.00000000000e+01, 3.57396315789e+06, 2.71161870970e+00, 9.23196779085e-06, 4.16342529573e+06
 4.00000000000e+01, 3.80547236842e+06, 2.88349363178e+00, 9.23414197326e-06, 4.16456698991e+06
 4.00000000000e+01, 4.03698157895e+06, 3.05491583868e+00, 9.23638274618e-06, 4.16571278068e+06
 4.00000000000e+01, 4.26849078947e+06, 3.22588640955e+00, 9.23868955753e-06, 4.16686269176e+06
 4.00000000000e+01, 4.50000000000e+06, 3.39640641815e+00, 9.24106185868e-06, 4.16801674463e+06
 4.10526315789e+01, 1.01325000000e+05, 7.81425438542e-02, 9.22913492491e-06, 4.16187825266e+06
 4.10526315789e+01, 3.32834210526e+05, 2.56346978160e-01, 9.23022785828e-06, 4.16296918863e+06
 4.10526315789e+01, 5.64343421053e+05, 4.34083586641e-01, 9.23139572488e-06, 4.16406349891e+06
 4.10526315789e+01, 7.95852631579e+05, 6.11353690400e-01, 9.23263792138e-06, 4.16516125203e+06
 4.10526315789e+01, 1.02736184211e+06, 7.88158581878e-01, 9.23395384851e-06, 4.16626251272e+06
 4.10526315789e+01, 1.25887105263e+06, 9.64499527091e-01, 9.23534291094e-06, 4.16736734207e+06
 4.10526315789e+01, 1.49038026316e+06, 1.14037776776e+00, 9.23680451725e-06, 4.16847579758e+06
 4.10526315789e+01, 1.72188947368e+06, 1.31579452329e+00, 9.23833807988e-06, 4.16958793336e+06
 4.10526315789e+01, 1.95339868421e+06, 1.49075099272e+00, 9.23994301505e-06, 4.17070380018e+06
 4.10526315789e+01, 2.18490789474e+06, 1.66524835646e+00, 9.24161874271e-06, 4.17182344565e+06
 4.10526315789e+01, 2.41641710526e+06, 1.83928777802e+00, 9.24336468654e-06, 4.17294691428e+06
 4.10526315789e+01, 2.64792631579e+06, 2.01287040560e+00, 9.24518027385e-06, 4.17407424764e+06
 4.10526315789e+01, 2.87943552632e+06, 2.18599737358e+00, 9.24706493559e-06, 4.17520548441e+06
 4.10526315789e+01, 3.11094473684e+06, 2.35866980399e+00, 9.24901810628e-06, 4.17634066052e+06
 4.10526315789e+01, 3.34245394737e+06, 2.53088880776e+00, 9.25103922402e-06, 4.17747980923e+06
 4.10526315789e+01, 3.57396315789e+06, 2.70265548610e+00, 9.25312773043e-06, 4.17862296125e+06
 4.10526315789e+01, 3.80547236842e+06, 2.87397093155e+00, 9.25528307063e-06, 4.17977014478e+06
 4.10526315789e+01, 4.03698157895e+06, 3.04483622922e+00, 9.25750469322e-06, 4.18092138569e+06
 4.10526315789e+01, 4.26849078947e+06, 3.21525245771e+00, 9.25979205027e-06, 4.18207670751e+06
 4.10526315789e+01, 4.50000000000e+06, 3.38522069020e+00, 9.26214459728e-06, 4.18323613157e+06
 4.21052631579e+01, 1.01325000000e+05, 7.78817231982e-02, 9.25051574592e-06, 4.17699214122e+06
 4.21052631579e+01, 3.32834210526e+05, 2.55492075180e-01, 9.25159509118e-06, 4.17808906375e+06
 4.21052631579e+01, 5.64343421053e+05, 4.32637166167e-01, 9.25274899995e-06, 4.17918932862e+06
 4.21052631579e+01, 7.95852631579e+05, 6.09318314562e-01, 9.25397687339e-06, 4.18029300364e+06
 4.21052631579e+01, 1.02736184211e+06, 7.85536810479e-01, 9.25527811664e-06, 4.18140015282e+06
 4.21052631579e+01, 1.25887105263e+06, 9.61293917938e-01, 9.25665213877e-06, 4.18251083658e+06
 4.21052631579e+01, 1.49038026316e+06, 1.13659087694e+00, 9.25809835277e-06, 4.18362511183e+06
 4.21052631579e+01, 1.72188947368e+06, 1.31142890546e+00, 9.25961617541e-06, 4.18474303208e+06
 4.21052631579e+01, 1.95339868421e+06, 1.48580920125e+00, 9.26120502726e-06, 4.18586464760e+06
 4.21052631579e+01, 2.18490789474e+06, 1.65973294368e+00, 9.26286433258e-06, 4.18699000552e+06
 4.21052631579e+01, 2.41641710526e+06, 1.83320129532e+00, 9.26459351933e-06, 4.18811914990e+06
 4.21052631579e+01, 2.64792631579e+06, 2.00621540357e+00, 9.26639201910e-06, 4.18925212191e+06
 4.21052631579e+01, 2.87943552632e+06, 2.17877640211e+00, 9.26825926709e-06, 4.19038895986e+06
 4.21052631579e+01, 3.11094473684e+06, 2.35088541229e+00, 9.27019470204e-06, 4.19152969934e+06
 4.21052631579e+01, 3.34245394737e+06, 2.52254354447e+00, 9.27219776624e-06, 4.19267437334e+06
 4.21052631579e+01, 3.57396315789e+06, 2.69375189923e+00, 9.27426790550e-06, 4.19382301227e+06
 4.21052631579e+01, 3.80547236842e+06, 2.86451156855e+00, 9.27640456909e-06, 4.19497564413e+06
 4.21052631579e+01, 4.03698157895e+06, 3.03482363687e+00, 9.27860720975e-06, 4.19613229456e+06
 4.21052631579e+01, 4.26849078947e+06, 3.20468918219e+00, 9.28087528365e-06, 4.19729298692e+06
 4.21052631579e+01, 4.50000000000e+06, 3.37410927694e+00, 9.28320825040e-06, 4.19845774240e+06
 4.31578947368e+01, 1.01325000000e+05, 7.76226383805e-02, 9.27187479819e-06, 4.19210902544e+06
 4.31578947368e+01, 3.32834210526e+05, 2.54642860919e-01, 9.27294067185e-06, 4.19321188830e+06
 4.31578947368e+01, 5.64343421053e+05, 4.31200368850e-01, 9.27408074279e-06, 4.19431806190e+06
 4.31578947368e+01, 7.95852631579e+05, 6.07296477771e-01, 9.27529441657e-06, 4.19542761326e+06
 4.31578947368e+01, 1.02736184211e+06, 7.82932475354e-01, 9.27658110271e-06, 4.19654060571e+06
 4.31578947368e+01, 1.25887105263e+06, 9.58109623501e-01, 9.27794021466e-06, 4.19765709901e+06
 4.31578947368e+01, 1.49038026316e+06, 1.13282916038e+00, 9.27937116971e-06, 4.19877714947e+06
 4.31578947368e+01, 1.72188947368e+06, 1.30709230237e+00, 9.28087338898e-06, 4.19990081005e+06
 4.31578947368e+01, 1.95339868421e+06, 1.48090024586e+00, 9.28244629730e-06, 4.20102813049e+06
 4.31578947368e+01, 2.18490789474e+06, 1.65425416900e+00, 9.28408932322e-06, 4.20215915745e+06
 4.31578947368e+01, 2.41641710526e+06, 1.82715523332e+00, 9.28580189894e-06, 4.20329393456e+06
 4.31578947368e+01, 2.64792631579e+06, 1.99960458527e+00, 9.28758346025e-06, 4.20443250259e+06
 4.31578947368e+01, 2.87943552632e+06, 2.17160335767e+00, 9.28943344656e-06, 4.20557489948e+06
 4.31578947368e+01, 3.11094473684e+06, 2.34315267111e+00, 9.29135130080e-06, 4.20672116051e+06
 4.31578947368e+01, 3.34245394737e+06, 2.51425363519e+00, 9.29333646941e-06, 4.20787131835e+06
 4.31578947368e+01, 3.57396315789e+06, 2.68490734977e+00, 9.29538840232e-06, 4.20902540318e+06
 4.31578947368e+01, 3.80547236842e+06, 2.85511490609e+00, 9.29750655292e-06, 4.21018344274e+06
 4.31578947368e+01, 4.03698157895e+06, 3.02487738787e+00, 9.29969037803e-06, 4.21134546249e+06
 4.31578947368e+01, 4.26849078947e+06, 3.19419587230e+00, 9.30193933791e-06, 4.21251148561e+06
 4.31578947368e+01, 4.50000000000e+06, 3.36307143098e+00, 9.30425289618e-06, 4.21368153314e+06
 4.42105263158e+01, 1.01325000000e+05, 7.73652721242e-02, 9.29321219189e-06, 4.20722885358e+06
 4.42105263158e+01, 3.32834210526e+05, 2.53799278721e-01, 9.29426470914e-06, 4.20833761108e+06
 4.42105263158e+01, 5.64343421053e+05, 4.29773098799e-01, 9.29539106085e-06, 4.20944964799e+06
 4.42105263158e+01, 7.95852631579e+05, 6.05288045043e-01, 9.29659065695e-06, 4.21056503061e+06
 4.42105263158e+01, 1.02736184211e+06, 7.80345402574e-01, 9.29786291129e-06, 4.21168382158e+06
 4.42105263158e+01, 1.25887105263e+06, 9.54946431061e-01, 9.29920724164e-06, 4.21280608002e+06
 4.42105263158e+01, 1.49038026316e+06, 1.12909236672e+00, 9.30062306958e-06, 4.21393186163e+06
 4.42105263158e+01, 1.72188947368e+06, 1.30278442421e+00, 9.30210982049e-06, 4.21506121883e+06
 4.42105263158e+01, 1.95339868421e+06, 1.47602379841e+00, 9.30366692346e-06, 4.21619420087e+06
 4.42105263158e+01, 2.18490789474e+06, 1.64881166616e+00, 9.30529381123e-06, 4.21733085391e+06
 4.42105263158e+01, 2.41641710526e+06, 1.82114918778e+00, 9.30698992022e-06, 4.21847122118e+06
 4.42105263158e+01, 2.64792631579e+06, 1.99303750867e+00, 9.30875469040e-06, 4.21961534302e+06
 4.42105263158e+01, 2.87943552632e+06, 2.16447776066e+00, 9.31058756531e-06, 4.22076325705e+06
 4.42105263158e+01, 3.11094473684e+06, 2.33547106342e+00, 9.31248799203e-06, 4.22191499822e+06
 4.42105263158e+01, 3.34245394737e+06, 2.50601852568e+00, 9.31445542111e-06, 4.22307059890e+06
 4.42105263158e+01, 3.57396315789e+06, 2.67612124645e+00, 9.31648930656e-06, 4.22423008901e+06
 4.42105263158e+01, 3.80547236842e+06, 2.84578031612e+00, 9.31858910584e-06, 4.22539349608e+06
 4.42105263158e+01, 4.03698157895e+06, 3.01499681754e+00, 9.32075427981e-06, 4.22656084535e+06
 4.42105263158e+01, 4.26849078947e+06, 3.18377182698e+00, 9.32298429275e-06, 4.22773215984e+06
 4.42105263158e+01, 4.50000000000e+06, 3.35210641509e+00, 9.32527861228e-06, 4.22890746044e+06
 4.52631578947e+01, 1.01325000000e+05, 7.71096073808e-02, 9.31452803625e-06, 4.22235157469e+06
 4.52631578947e+01, 3.32834210526e+05, 2.52961272684e-01, 9.31556731094e-06, 4.22346618158e+06
 4.52631578947e+01, 5.64343421053e+05, 4.28355261396e-01, 9.31668006067e-06, 4.22458403687e+06
