-- SG    KRG    KROG   PCOG
SGOF
0.00000000 0.00000000 1.00000000 0.00000400
0.05000000 0.00000000 0.81868618 0.00000412
0.05969388 0.00000011 0.78647073 0.00000414
0.06938776 0.00000121 0.75517111 0.00000416
0.07908163 0.00000502 0.72477152 0.00000419
0.08877551 0.00001374 0.69525625 0.00000421
0.09846939 0.00003000 0.66660968 0.00000424
0.10816327 0.00005679 0.63881628 0.00000426
0.11785714 0.00009740 0.61186063 0.00000429
0.12755102 0.00015543 0.58572739 0.00000432
0.13724490 0.00023472 0.56040131 0.00000434
0.14693878 0.00033940 0.53586725 0.00000437
0.15663265 0.00047379 0.51211017 0.00000440
0.16632653 0.00064246 0.48911510 0.00000443
0.17602041 0.00085018 0.46686719 0.00000446
0.18571429 0.00110194 0.44535168 0.00000449
0.19540816 0.00140290 0.42455391 0.00000452
0.20510204 0.00175844 0.40445932 0.00000455
0.21479592 0.00217410 0.38505344 0.00000458
0.22448980 0.00265560 0.36632193 0.00000462
0.23418367 0.00320883 0.34825051 0.00000465
0.24387755 0.00383985 0.33082503 0.00000468
0.25357143 0.00455487 0.31403143 0.00000472
0.26326531 0.00536029 0.29785577 0.00000476
0.27295918 0.00626262 0.28228419 0.00000479
0.28265306 0.00726856 0.26730296 0.00000483
0.29234694 0.00838492 0.25289843 0.00000487
0.30204082 0.00961868 0.23905708 0.00000491
0.31173469 0.01097696 0.22576548 0.00000495
0.32142857 0.01246700 0.21301033 0.00000499
0.33112245 0.01409619 0.20077841 0.00000503
0.34081633 0.01587205 0.18905663 0.00000507
0.35051020 0.01780224 0.17783201 0.00000512
0.36020408 0.01989453 0.16709167 0.00000516
0.36989796 0.02215682 0.15682286 0.00000521
0.37959184 0.02459716 0.14701294 0.00000526
0.38928571 0.02722368 0.13764937 0.00000531
0.39897959 0.03004467 0.12871975 0.00000536
0.40867347 0.03306852 0.12021176 0.00000541
0.41836735 0.03630374 0.11211325 0.00000547
0.42806122 0.03975895 0.10441215 0.00000552
0.43775510 0.04344289 0.09709652 0.00000558
0.44744898 0.04736442 0.09015455 0.00000564
0.45714286 0.05153250 0.08357454 0.00000570
0.46683673 0.05595621 0.07734494 0.00000577
0.47653061 0.06064474 0.07145429 0.00000583
0.48622449 0.06560736 0.06589128 0.00000590
0.49591837 0.07085347 0.06064474 0.00000597
0.50561224 0.07639259 0.05570359 0.00000604
0.51530612 0.08223431 0.05105693 0.00000612
0.52500000 0.08838835 0.04669395 0.00000620
0.53469388 0.09486451 0.04260402 0.00000628
0.54438776 0.10167270 0.03877660 0.00000636
0.55408163 0.10882294 0.03520132 0.00000645
0.56377551 0.11632533 0.03186793 0.00000654
0.57346939 0.12419008 0.02876636 0.00000664
0.58316327 0.13242749 0.02588663 0.00000674
0.59285714 0.14104797 0.02321896 0.00000685
0.60255102 0.15006200 0.02075367 0.00000696
0.61224490 0.15948018 0.01848127 0.00000707
0.62193878 0.16931318 0.01639241 0.00000720
0.63163265 0.17957179 0.01447788 0.00000733
0.64132653 0.19026686 0.01272866 0.00000746
0.65102041 0.20140936 0.01113587 0.00000761
0.66071429 0.21301033 0.00969081 0.00000776
0.67040816 0.22508090 0.00838492 0.00000792
0.68010204 0.23763231 0.00720984 0.00000809
0.68979592 0.25067586 0.00615737 0.00000828
0.69948980 0.26422295 0.00521950 0.00000847
0.70918367 0.27828508 0.00438839 0.00000869
0.71887755 0.29287382 0.00365640 0.00000892
0.72857143 0.30800082 0.00301608 0.00000917
0.73826531 0.32367783 0.00246015 0.00000944
0.74795918 0.33991668 0.00198158 0.00000973
0.75765306 0.35672927 0.00157351 0.00001006
0.76734694 0.37412761 0.00122931 0.00001042
0.77704082 0.39212376 0.00094257 0.00001082
0.78673469 0.41072989 0.00070712 0.00001128
0.79642857 0.42995824 0.00051700 0.00001179
0.80612245 0.44982112 0.00036654 0.00001239
0.81581633 0.47033095 0.00025029 0.00001308
0.82551020 0.49150019 0.00016311 0.00001390
0.83520408 0.51334141 0.00010013 0.00001491
0.84489796 0.53586725 0.00005679 0.00001617
0.85459184 0.55909043 0.00002885 0.00001781
0.86428571 0.58302374 0.00001245 0.00002008
0.87397959 0.60768004 0.00000411 0.00002352
0.88367347 0.63307230 0.00000080 0.00002970
0.89336735 0.65921354 0.00000003 0.00004659
0.90306122 0.68611685 0.00000000 0.95000000
0.91275510 0.71379542 0.00000000 0.95000000
0.92244898 0.74226250 0.00000000 0.95000000
0.93214286 0.77153140 0.00000000 0.95000000
0.94183673 0.80161555 0.00000000 0.95000000
0.95153061 0.83252840 0.00000000 0.95000000
0.96122449 0.86428350 0.00000000 0.95000000
0.97091837 0.89689449 0.00000000 0.95000000
0.98061224 0.93037504 0.00000000 0.95000000
0.99030612 0.96473893 0.00000000 0.95000000
1.00000000 1.00000000 0.00000000 0.95000000
/
0.00000000 0.00000000 1.00000000 0.00005000
0.10000000 0.00000000 0.66216492 0.00005303
0.10918367 0.00000011 0.63593966 0.00005334
0.11836735 0.00000121 0.61046483 0.00005365
0.12755102 0.00000502 0.58572739 0.00005397
0.13673469 0.00001374 0.56171438 0.00005429
0.14591837 0.00003000 0.53841294 0.00005462
0.15510204 0.00005679 0.51581024 0.00005496
0.16428571 0.00009740 0.49389358 0.00005530
0.17346939 0.00015543 0.47265029 0.00005565
0.18265306 0.00023472 0.45206782 0.00005600
0.19183673 0.00033940 0.43213366 0.00005637
0.20102041 0.00047379 0.41283542 0.00005674
0.21020408 0.00064246 0.39416076 0.00005711
0.21938776 0.00085018 0.37609743 0.00005750
0.22857143 0.00110194 0.35863327 0.00005789
0.23775510 0.00140290 0.34175619 0.00005829
0.24693878 0.00175844 0.32545419 0.00005870
0.25612245 0.00217410 0.30971534 0.00005911
0.26530612 0.00265560 0.29452780 0.00005954
0.27448980 0.00320883 0.27987984 0.00005998
0.28367347 0.00383985 0.26575977 0.00006042
0.29285714 0.00455487 0.25215601 0.00006088
0.30204082 0.00536029 0.23905708 0.00006134
