# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min pressure = 6000000.0, max pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 9.00000000000e+01, 6.00000000000e+06, 9.67988966218e+02, 3.15772632305e-04, 3.81631174304e+05
 9.00000000000e+01, 7.00000000000e+06, 9.68438984607e+02, 3.16042672185e-04, 3.82406070984e+05
 9.00000000000e+01, 8.00000000000e+06, 9.68887803361e+02, 3.16312504594e-04, 3.83181113842e+05
 9.00000000000e+01, 9.00000000000e+06, 9.69335430763e+02, 3.16582134095e-04, 3.83956299232e+05
 9.00000000000e+01, 1.00000000000e+07, 9.69781874999e+02, 3.16851565191e-04, 3.84731623566e+05
 9.00000000000e+01, 1.10000000000e+07, 9.70227144154e+02, 3.17120802319e-04, 3.85507083311e+05
 9.00000000000e+01, 1.20000000000e+07, 9.70671246220e+02, 3.17389849859e-04, 3.86282674992e+05
 9.00000000000e+01, 1.30000000000e+07, 9.71114189093e+02, 3.17658712128e-04, 3.87058395186e+05
 9.00000000000e+01, 1.40000000000e+07, 9.71555980577e+02, 3.17927393387e-04, 3.87834240525e+05
 9.00000000000e+01, 1.50000000000e+07, 9.71996628386e+02, 3.18195897836e-04, 3.88610207691e+05
 9.00000000000e+01, 1.60000000000e+07, 9.72436140143e+02, 3.18464229621e-04, 3.89386293421e+05
 9.00000000000e+01, 1.70000000000e+07, 9.72874523385e+02, 3.18732392831e-04, 3.90162494500e+05
 9.00000000000e+01, 1.80000000000e+07, 9.73311785562e+02, 3.19000391500e-04, 3.90938807764e+05
 9.00000000000e+01, 1.90000000000e+07, 9.73747934038e+02, 3.19268229609e-04, 3.91715230098e+05
 9.00000000000e+01, 2.00000000000e+07, 9.74182976095e+02, 3.19535911086e-04, 3.92491758433e+05
 9.00000000000e+01, 2.10000000000e+07, 9.74616918933e+02, 3.19803439806e-04, 3.93268389749e+05
 9.00000000000e+01, 2.20000000000e+07, 9.75049769671e+02, 3.20070819594e-04, 3.94045121073e+05
 9.00000000000e+01, 2.30000000000e+07, 9.75481535349e+02, 3.20338054223e-04, 3.94821949476e+05
 9.00000000000e+01, 2.40000000000e+07, 9.75912222929e+02, 3.20605147419e-04, 3.95598872074e+05
 9.00000000000e+01, 2.50000000000e+07, 9.76341839295e+02, 3.20872102858e-04, 3.96375886027e+05
 9.00000000000e+01, 2.60000000000e+07, 9.76770391259e+02, 3.21138924167e-04, 3.97152988539e+05
 9.05000000000e+01, 6.00000000000e+06, 9.67655219782e+02, 3.13986253123e-04, 3.83727419053e+05
 9.05000000000e+01, 7.00000000000e+06, 9.68105742301e+02, 3.14256293185e-04, 3.84501239625e+05
 9.05000000000e+01, 8.00000000000e+06, 9.68555060372e+02, 3.14526121738e-04, 3.85275212545e+05
 9.05000000000e+01, 9.00000000000e+06, 9.69003182340e+02, 3.14795743356e-04, 3.86049334110e+05
 9.05000000000e+01, 1.00000000000e+07, 9.69450116452e+02, 3.15065162550e-04, 3.86823600679e+05
 9.05000000000e+01, 1.10000000000e+07, 9.69895870857e+02, 3.15334383768e-04, 3.87598008666e+05
 9.05000000000e+01, 1.20000000000e+07, 9.70340453605e+02, 3.15603411398e-04, 3.88372554542e+05
 9.05000000000e+01, 1.30000000000e+07, 9.70783872652e+02, 3.15872249767e-04, 3.89147234832e+05
 9.05000000000e+01, 1.40000000000e+07, 9.71226135861e+02, 3.16140903143e-04, 3.89922046116e+05
 9.05000000000e+01, 1.50000000000e+07, 9.71667251002e+02, 3.16409375738e-04, 3.90696985029e+05
 9.05000000000e+01, 1.60000000000e+07, 9.72107225755e+02, 3.16677671704e-04, 3.91472048254e+05
 9.05000000000e+01, 1.70000000000e+07, 9.72546067711e+02, 3.16945795139e-04, 3.92247232529e+05
 9.05000000000e+01, 1.80000000000e+07, 9.72983784376e+02, 3.17213750086e-04, 3.93022534640e+05
 9.05000000000e+01, 1.90000000000e+07, 9.73420383167e+02, 3.17481540533e-04, 3.93797951425e+05
 9.05000000000e+01, 2.00000000000e+07, 9.73855871420e+02, 3.17749170417e-04, 3.94573479768e+05
 9.05000000000e+01, 2.10000000000e+07, 9.74290256386e+02, 3.18016643621e-04, 3.95349116602e+05
 9.05000000000e+01, 2.20000000000e+07, 9.74723545235e+02, 3.18283963977e-04, 3.96124858908e+05
 9.05000000000e+01, 2.30000000000e+07, 9.75155745057e+02, 3.18551135266e-04, 3.96900703711e+05
 9.05000000000e+01, 2.40000000000e+07, 9.75586862865e+02, 3.18818161222e-04, 3.97676648082e+05
 9.05000000000e+01, 2.50000000000e+07, 9.76016905591e+02, 3.19085045527e-04, 3.98452689139e+05
 9.05000000000e+01, 2.60000000000e+07, 9.76445880094e+02, 3.19351791818e-04, 3.99228824040e+05
 9.10000000000e+01, 6.00000000000e+06, 9.67320314046e+02, 3.12217658120e-04, 3.85823893101e+05
 9.10000000000e+01, 7.00000000000e+06, 9.67771346592e+02, 3.12487690890e-04, 3.86596636171e+05
 9.10000000000e+01, 8.00000000000e+06, 9.68221169828e+02, 3.12757508177e-04, 3.87369537776e+05
 9.10000000000e+01, 9.00000000000e+06, 9.68669792168e+02, 3.13027114564e-04, 3.88142594160e+05
 9.10000000000e+01, 1.00000000000e+07, 9.69117221918e+02, 3.13296514572e-04, 3.88915801624e+05
 9.10000000000e+01, 1.10000000000e+07, 9.69563467290e+02, 3.13565712658e-04, 3.89689156530e+05
 9.10000000000e+01, 1.20000000000e+07, 9.70008536395e+02, 3.13834713220e-04, 3.90462655295e+05
 9.10000000000e+01, 1.30000000000e+07, 9.70452437249e+02, 3.14103520593e-04, 3.91236294393e+05
 9.10000000000e+01, 1.40000000000e+07, 9.70895177772e+02, 3.14372139056e-04, 3.92010070351e+05
 9.10000000000e+01, 1.50000000000e+07, 9.71336765794e+02, 3.14640572827e-04, 3.92783979752e+05
 9.10000000000e+01, 1.60000000000e+07, 9.71777209050e+02, 3.14908826069e-04, 3.93558019231e+05
 9.10000000000e+01, 1.70000000000e+07, 9.72216515190e+02, 3.15176902888e-04, 3.94332185475e+05
 9.10000000000e+01, 1.80000000000e+07, 9.72654691771e+02, 3.15444807335e-04, 3.95106475222e+05
 9.10000000000e+01, 1.90000000000e+07, 9.73091746268e+02, 3.15712543408e-04, 3.95880885260e+05
 9.10000000000e+01, 2.00000000000e+07, 9.73527686067e+02, 3.15980115049e-04, 3.96655412427e+05
 9.10000000000e+01, 2.10000000000e+07, 9.73962518473e+02, 3.16247526150e-04, 3.97430053609e+05
 9.10000000000e+01, 2.20000000000e+07, 9.74396250708e+02, 3.16514780552e-04, 3.98204805739e+05
 9.10000000000e+01, 2.30000000000e+07, 9.74828889913e+02, 3.16781882044e-04, 3.98979665799e+05
 9.10000000000e+01, 2.40000000000e+07, 9.75260443149e+02, 3.17048834366e-04, 3.99754630813e+05
 9.10000000000e+01, 2.50000000000e+07, 9.75690917399e+02, 3.17315641209e-04, 4.00529697854e+05
 9.10000000000e+01, 2.60000000000e+07, 9.76120319571e+02, 3.17582306216e-04, 4.01304864037e+05
 9.15000000000e+01, 6.00000000000e+06, 9.66984251736e+02, 3.10466612430e-04, 3.87920598749e+05
 9.15000000000e+01, 7.00000000000e+06, 9.67435800198e+02, 3.10736630668e-04, 3.88692262884e+05
 9.15000000000e+01, 8.00000000000e+06, 9.67886134446e+02, 3.11006429508e-04, 3.89464091761e+05
 9.15000000000e+01, 9.00000000000e+06, 9.68335262956e+02, 3.11276013544e-04, 3.90236081568e+05
 9.15000000000e+01, 1.00000000000e+07, 9.68783194101e+02, 3.11545387307e-04, 3.91008228551e+05
 9.15000000000e+01, 1.10000000000e+07, 9.69229936152e+02, 3.11814555264e-04, 3.91780529017e+05
 9.15000000000e+01, 1.20000000000e+07, 9.69675497283e+02, 3.12083521822e-04, 3.92552979330e+05
 9.15000000000e+01, 1.30000000000e+07, 9.70119885569e+02, 3.12352291325e-04, 3.93325575910e+05
 9.15000000000e+01, 1.40000000000e+07, 9.70563108991e+02, 3.12620868061e-04, 3.94098315234e+05
 9.15000000000e+01, 1.50000000000e+07, 9.71005175436e+02, 3.12889256258e-04, 3.94871193832e+05
 9.15000000000e+01, 1.60000000000e+07, 9.71446092699e+02, 3.13157460087e-04, 3.95644208288e+05
 9.15000000000e+01, 1.70000000000e+07, 9.71885868482e+02, 3.13425483662e-04, 3.96417355241e+05
 9.15000000000e+01, 1.80000000000e+07, 9.72324510402e+02, 3.13693331044e-04, 3.97190631378e+05
 9.15000000000e+01, 1.90000000000e+07, 9.72762025986e+02, 3.13961006237e-04, 3.97964033439e+05
 9.15000000000e+01, 2.00000000000e+07, 9.73198422675e+02, 3.14228513194e-04, 3.98737558214e+05
 9.15000000000e+01, 2.10000000000e+07, 9.73633707827e+02, 3.14495855815e-04, 3.99511202541e+05
 9.15000000000e+01, 2.20000000000e+07, 9.74067888715e+02, 3.14763037946e-04, 4.00284963307e+05
 9.15000000000e+01, 2.30000000000e+07, 9.74500972532e+02, 3.15030063387e-04, 4.01058837448e+05
 9.15000000000e+01, 2.40000000000e+07, 9.74932966389e+02, 3.15296935883e-04, 4.01832821942e+05
