# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min phase pressure = 6000000.0, max phase pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 1.00000000000e+00,   6.00000000000e+06, 1.38779517360e-04, 1.02990035850e-03
 1.00000000000e+00,   7.00000000000e+06, 1.22064305566e-04, 1.19599743343e-03
 1.00000000000e+00,   8.00000000000e+06, 1.09537379955e-04, 1.36059399416e-03
 1.00000000000e+00,   9.00000000000e+06, 9.98015586481e-05, 1.52371990467e-03
 1.00000000000e+00,   1.00000000000e+07, 9.20185318304e-05, 1.68540381429e-03
 1.00000000000e+00,   1.10000000000e+07, 8.56548338660e-05, 1.84567342020e-03
 1.00000000000e+00,   1.20000000000e+07, 8.03548285870e-05, 2.00455567025e-03
 1.00000000000e+00,   1.30000000000e+07, 7.58723161344e-05, 2.16207691753e-03
 1.00000000000e+00,   1.40000000000e+07, 7.20314506512e-05, 2.31826303642e-03
 1.00000000000e+00,   1.50000000000e+07, 6.87032904929e-05, 2.47313950817e-03
 1.00000000000e+00,   1.60000000000e+07, 6.57911417855e-05, 2.62673148231e-03
 1.00000000000e+00,   1.70000000000e+07, 6.32210745838e-05, 2.77906381959e-03
 1.00000000000e+00,   1.80000000000e+07, 6.09356000982e-05, 2.93016112088e-03
 1.00000000000e+00,   1.90000000000e+07, 5.88893444245e-05, 3.08004774517e-03
 1.00000000000e+00,   2.00000000000e+07, 5.70460200174e-05, 3.22874782013e-03
 8.00000000000e+00,   6.00000000000e+06, 2.18592718084e-04, 9.60888741199e-04
 8.00000000000e+00,   7.00000000000e+06, 1.91964726769e-04, 1.11603467280e-03
 8.00000000000e+00,   8.00000000000e+06, 1.72002977620e-04, 1.26982374624e-03
 8.00000000000e+00,   9.00000000000e+06, 1.56483923229e-04, 1.42228239636e-03
 8.00000000000e+00,   1.00000000000e+07, 1.44073435258e-04, 1.57343599657e-03
 8.00000000000e+00,   1.10000000000e+07, 1.33922529553e-04, 1.72330908383e-03
 8.00000000000e+00,   1.20000000000e+07, 1.25465227667e-04, 1.87192553386e-03
 8.00000000000e+00,   1.30000000000e+07, 1.18309712232e-04, 2.01930869598e-03
 8.00000000000e+00,   1.40000000000e+07, 1.12176129352e-04, 2.16548149543e-03
 8.00000000000e+00,   1.50000000000e+07, 1.06859269498e-04, 2.31046650977e-03
 8.00000000000e+00,   1.60000000000e+07, 1.02205242633e-04, 2.45428602471e-03
 8.00000000000e+00,   1.70000000000e+07, 9.80963852919e-05, 2.59696207377e-03
 8.00000000000e+00,   1.80000000000e+07, 9.44411983600e-05, 2.73851646559e-03
 8.00000000000e+00,   1.90000000000e+07, 9.11674621645e-05, 2.87897080197e-03
 8.00000000000e+00,   2.00000000000e+07, 8.82174168665e-05, 3.01834648858e-03
 1.50000000000e+01,   6.00000000000e+06, 3.36538099469e-04, 9.06365884820e-04
 1.50000000000e+01,   7.00000000000e+06, 2.95118809928e-04, 1.05287306810e-03
 1.50000000000e+01,   8.00000000000e+06, 2.64061433210e-04, 1.19813877082e-03
 1.50000000000e+01,   9.00000000000e+06, 2.39910067011e-04, 1.34218669172e-03
 1.50000000000e+01,   1.00000000000e+07, 2.20591170761e-04, 1.48503959072e-03
 1.50000000000e+01,   1.10000000000e+07, 2.04785227954e-04, 1.62671948392e-03
 1.50000000000e+01,   1.20000000000e+07, 1.91612575950e-04, 1.76724779673e-03
 1.50000000000e+01,   1.30000000000e+07, 1.80464236303e-04, 1.90664548271e-03
 1.50000000000e+01,   1.40000000000e+07, 1.70905245489e-04, 2.04493311472e-03
 1.50000000000e+01,   1.50000000000e+07, 1.62616652633e-04, 2.18213095368e-03
 1.50000000000e+01,   1.60000000000e+07, 1.55359267509e-04, 2.31825899955e-03
 1.50000000000e+01,   1.70000000000e+07, 1.48950202904e-04, 2.45333702832e-03
 1.50000000000e+01,   1.80000000000e+07, 1.43247235825e-04, 2.58738461793e-03
 1.50000000000e+01,   1.90000000000e+07, 1.38138106978e-04, 2.72042116585e-03
 1.50000000000e+01,   2.00000000000e+07, 1.33533030167e-04, 2.85246590018e-03
 2.20000000000e+01,   6.00000000000e+06, 5.06879429900e-04, 8.63848336864e-04
 2.20000000000e+01,   7.00000000000e+06, 4.43908207481e-04, 1.00363854000e-03
 2.20000000000e+01,   8.00000000000e+06, 3.96681717192e-04, 1.14228007545e-03
 2.20000000000e+01,   9.00000000000e+06, 3.59949232192e-04, 1.27979444631e-03
 2.20000000000e+01,   1.00000000000e+07, 3.30560317447e-04, 1.41620231566e-03
 2.20000000000e+01,   1.10000000000e+07, 3.06510162777e-04, 1.55152367753e-03
 2.20000000000e+01,   1.20000000000e+07, 2.86462247596e-04, 1.68577799214e-03
 2.20000000000e+01,   1.30000000000e+07, 2.69491312810e-04, 1.81898429178e-03
 2.20000000000e+01,   1.40000000000e+07, 2.54936486465e-04, 1.95116126263e-03
 2.20000000000e+01,   1.50000000000e+07, 2.42313158209e-04, 2.08232730735e-03
 2.20000000000e+01,   1.60000000000e+07, 2.31257900095e-04, 2.21250059187e-03
 2.20000000000e+01,   1.70000000000e+07, 2.21492826493e-04, 2.34169908002e-03
 2.20000000000e+01,   1.80000000000e+07, 2.12801833553e-04, 2.46994055826e-03
 2.20000000000e+01,   1.90000000000e+07, 2.05014341617e-04, 2.59724265276e-03
 2.20000000000e+01,   2.00000000000e+07, 1.97993914602e-04, 2.72362284077e-03
 2.90000000000e+01,   6.00000000000e+06, 7.47541383116e-04, 8.31426892797e-04
 2.90000000000e+01,   7.00000000000e+06, 6.53873419192e-04, 9.66122199831e-04
 2.90000000000e+01,   8.00000000000e+06, 5.83614808224e-04, 1.09974342668e-03
 2.90000000000e+01,   9.00000000000e+06, 5.28959314597e-04, 1.23231030735e-03
 2.90000000000e+01,   1.00000000000e+07, 4.85223197319e-04, 1.36384181597e-03
 2.90000000000e+01,   1.10000000000e+07, 4.49425908544e-04, 1.49435631834e-03
 2.90000000000e+01,   1.20000000000e+07, 4.19580440568e-04, 1.62387169261e-03
 2.90000000000e+01,   1.30000000000e+07, 3.94311203162e-04, 1.75240542447e-03
 2.90000000000e+01,   1.40000000000e+07, 3.72635666297e-04, 1.87997468141e-03
 2.90000000000e+01,   1.50000000000e+07, 3.53833344604e-04, 2.00659636995e-03
 2.90000000000e+01,   1.60000000000e+07, 3.37363911711e-04, 2.13228717915e-03
 2.90000000000e+01,   1.70000000000e+07, 3.22814214634e-04, 2.25706361301e-03
 2.90000000000e+01,   1.80000000000e+07, 3.09862949433e-04, 2.38094201414e-03
 2.90000000000e+01,   1.90000000000e+07, 2.98256491432e-04, 2.50393858045e-03
 2.90000000000e+01,   2.00000000000e+07, 2.87791975964e-04, 2.62606937677e-03
 3.60000000000e+01,   6.00000000000e+06, 1.08048361299e-03, 8.07626164078e-04
 3.60000000000e+01,   7.00000000000e+06, 9.44031208984e-04, 9.38618008231e-04
 3.60000000000e+01,   8.00000000000e+06, 8.41668611957e-04, 1.06859545888e-03
 3.60000000000e+01,   9.00000000000e+06, 7.62028725453e-04, 1.19757682156e-03
