# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 1.00000000000e+00, 6.00000000000e+06, 1.00286065019e+03, 1.71926195122e-03, 1.02325548128e+04
 1.00000000000e+00, 7.00000000000e+06, 1.00335827270e+03, 1.71733521719e-03, 1.12367919074e+04
 1.00000000000e+00, 8.00000000000e+06, 1.00385474993e+03, 1.71542764974e-03, 1.22395726854e+04
 1.00000000000e+00, 9.00000000000e+06, 1.00435008550e+03, 1.71353917083e-03, 1.32409060519e+04
 1.00000000000e+00, 1.00000000000e+07, 1.00484428298e+03, 1.71166970249e-03, 1.42408008580e+04
 1.00000000000e+00, 1.10000000000e+07, 1.00533734590e+03, 1.70981916680e-03, 1.52392659009e+04
 1.00000000000e+00, 1.20000000000e+07, 1.00582927779e+03, 1.70798748589e-03, 1.62363099251e+04
 1.00000000000e+00, 1.30000000000e+07, 1.00632008212e+03, 1.70617458195e-03, 1.72319416209e+04
 1.00000000000e+00, 1.40000000000e+07, 1.00680976237e+03, 1.70438037723e-03, 1.82261696274e+04
 1.00000000000e+00, 1.50000000000e+07, 1.00729832194e+03, 1.70260479406e-03, 1.92190025302e+04
 1.00000000000e+00, 1.60000000000e+07, 1.00778576426e+03, 1.70084775485e-03, 2.02104488636e+04
 1.00000000000e+00, 1.70000000000e+07, 1.00827209270e+03, 1.69910918209e-03, 2.12005171095e+04
 1.00000000000e+00, 1.80000000000e+07, 1.00875731060e+03, 1.69738899833e-03, 2.21892156991e+04
 1.00000000000e+00, 1.90000000000e+07, 1.00924142132e+03, 1.69568712626e-03, 2.31765530124e+04
 1.00000000000e+00, 2.00000000000e+07, 1.00972442814e+03, 1.69400348861e-03, 2.41625373780e+04
 8.00000000000e+00, 6.00000000000e+06, 1.00268217658e+03, 1.37848545442e-03, 3.95035136039e+04
 8.00000000000e+00, 7.00000000000e+06, 1.00315853188e+03, 1.37746598845e-03, 4.04789953685e+04
 8.00000000000e+00, 8.00000000000e+06, 1.00363384944e+03, 1.37645750281e-03, 4.14532986816e+04
 8.00000000000e+00, 9.00000000000e+06, 1.00410813258e+03, 1.37545996572e-03, 4.24264295726e+04
 8.00000000000e+00, 1.00000000000e+07, 1.00458138458e+03, 1.37447334526e-03, 4.33983940423e+04
 8.00000000000e+00, 1.10000000000e+07, 1.00505360868e+03, 1.37349760942e-03, 4.43691980650e+04
 8.00000000000e+00, 1.20000000000e+07, 1.00552480811e+03, 1.37253272610e-03, 4.53388475863e+04
 8.00000000000e+00, 1.30000000000e+07, 1.00599498606e+03, 1.37157866308e-03, 4.63073485254e+04
 8.00000000000e+00, 1.40000000000e+07, 1.00646414570e+03, 1.37063538805e-03, 4.72747067747e+04
 8.00000000000e+00, 1.50000000000e+07, 1.00693229018e+03, 1.36970286864e-03, 4.82409281991e+04
 8.00000000000e+00, 1.60000000000e+07, 1.00739942261e+03, 1.36878107235e-03, 4.92060186383e+04
 8.00000000000e+00, 1.70000000000e+07, 1.00786554608e+03, 1.36786996662e-03, 5.01699839047e+04
 8.00000000000e+00, 1.80000000000e+07, 1.00833066366e+03, 1.36696951879e-03, 5.11328297849e+04
 8.00000000000e+00, 1.90000000000e+07, 1.00879477839e+03, 1.36607969616e-03, 5.20945620395e+04
 8.00000000000e+00, 2.00000000000e+07, 1.00925789329e+03, 1.36520046590e-03, 5.30551864037e+04
 1.50000000000e+01, 6.00000000000e+06, 1.00183951906e+03, 1.13443669943e-03, 6.87070006848e+04
 1.50000000000e+01, 7.00000000000e+06, 1.00230011188e+03, 1.13392879473e-03, 6.96581075659e+04
 1.50000000000e+01, 8.00000000000e+06, 1.00275973012e+03, 1.13342748760e-03, 7.06082475071e+04
 1.50000000000e+01, 9.00000000000e+06, 1.00321837707e+03, 1.13293276549e-03, 7.15574246916e+04
 1.50000000000e+01, 1.00000000000e+07, 1.00367605601e+03, 1.13244461571e-03, 7.25056432898e+04
 1.50000000000e+01, 1.10000000000e+07, 1.00413277020e+03, 1.13196302544e-03, 7.34529074591e+04
 1.50000000000e+01, 1.20000000000e+07, 1.00458852283e+03, 1.13148798173e-03, 7.43992213446e+04
 1.50000000000e+01, 1.30000000000e+07, 1.00504331712e+03, 1.13101947154e-03, 7.53445890788e+04
 1.50000000000e+01, 1.40000000000e+07, 1.00549715620e+03, 1.13055748167e-03, 7.62890147822e+04
 1.50000000000e+01, 1.50000000000e+07, 1.00595004324e+03, 1.13010199884e-03, 7.72325025626e+04
 1.50000000000e+01, 1.60000000000e+07, 1.00640198133e+03, 1.12965300963e-03, 7.81750565154e+04
 1.50000000000e+01, 1.70000000000e+07, 1.00685297356e+03, 1.12921050052e-03, 7.91166807241e+04
 1.50000000000e+01, 1.80000000000e+07, 1.00730302299e+03, 1.12877445789e-03, 8.00573792604e+04
 1.50000000000e+01, 1.90000000000e+07, 1.00775213268e+03, 1.12834486800e-03, 8.09971561833e+04
 1.50000000000e+01, 2.00000000000e+07, 1.00820030563e+03, 1.12792171701e-03, 8.19360155404e+04
 2.20000000000e+01, 6.00000000000e+06, 1.00044132187e+03, 9.53091327605e-04, 9.78746817237e+04
 2.20000000000e+01, 7.00000000000e+06, 1.00089032633e+03, 9.52884267147e-04, 9.88044150347e+04
 2.20000000000e+01, 8.00000000000e+06, 1.00133839146e+03, 9.52681299850e-04, 9.97333502821e+04
 2.20000000000e+01, 9.00000000000e+06, 1.00178552070e+03, 9.52482421758e-04, 1.00661490367e+05
 2.20000000000e+01, 1.00000000000e+07, 1.00223171748e+03, 9.52287628799e-04, 1.01588838187e+05
 2.20000000000e+01, 1.10000000000e+07, 1.00267698519e+03, 9.52096916785e-04, 1.02515396636e+05
 2.20000000000e+01, 1.20000000000e+07, 1.00312132720e+03, 9.51910281418e-04, 1.03441168606e+05
 2.20000000000e+01, 1.30000000000e+07, 1.00356474683e+03, 9.51727718286e-04, 1.04366156983e+05
 2.20000000000e+01, 1.40000000000e+07, 1.00400724740e+03, 9.51549222872e-04, 1.05290364652e+05
 2.20000000000e+01, 1.50000000000e+07, 1.00444883219e+03, 9.51374790549e-04, 1.06213794492e+05
 2.20000000000e+01, 1.60000000000e+07, 1.00488950444e+03, 9.51204416587e-04, 1.07136449380e+05
 2.20000000000e+01, 1.70000000000e+07, 1.00532926738e+03, 9.51038096151e-04, 1.08058332189e+05
 2.20000000000e+01, 1.80000000000e+07, 1.00576812423e+03, 9.50875824305e-04, 1.08979445788e+05
 2.20000000000e+01, 1.90000000000e+07, 1.00620607814e+03, 9.50717596016e-04, 1.09899793044e+05
 2.20000000000e+01, 2.00000000000e+07, 1.00664313228e+03, 9.50563406150e-04, 1.10819376819e+05
 2.90000000000e+01, 6.00000000000e+06, 9.98565715211e+02, 8.14296021065e-04, 1.27026691364e+05
 2.90000000000e+01, 7.00000000000e+06, 9.99006424363e+02, 8.14271515749e-04, 1.27937169254e+05
 2.90000000000e+01, 8.00000000000e+06, 9.99446210469e+02, 8.14249597716e-04, 1.28846989168e+05
 2.90000000000e+01, 9.00000000000e+06, 9.99885077222e+02, 8.14230267081e-04, 1.29756153047e+05
 2.90000000000e+01, 1.00000000000e+07, 1.00032302828e+03, 8.14213523861e-04, 1.30664662836e+05
 2.90000000000e+01, 1.10000000000e+07, 1.00076006727e+03, 8.14199367973e-04, 1.31572520483e+05
