# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 1.00000000000e+00, 6.00000000000e+06, 5.11403236509e+00, 8.46864594955e-06, 3.61229911783e+06
 1.00000000000e+00, 7.00000000000e+06, 5.92964761116e+00, 8.48564869209e-06, 3.61652390256e+06
 1.00000000000e+00, 8.00000000000e+06, 6.73498562920e+00, 8.50396637791e-06, 3.62086199142e+06
 1.00000000000e+00, 9.00000000000e+06, 7.53013491433e+00, 8.52354435370e-06, 3.62531262687e+06
 1.00000000000e+00, 1.00000000000e+07, 8.31518952493e+00, 8.54432957147e-06, 3.62987446768e+06
 1.00000000000e+00, 1.10000000000e+07, 9.09024930542e+00, 8.56627061038e-06, 3.63454570686e+06
 1.00000000000e+00, 1.20000000000e+07, 9.85541983806e+00, 8.58931769233e-06, 3.63932417217e+06
 1.00000000000e+00, 1.30000000000e+07, 1.06108121972e+01, 8.61342269027e-06, 3.64420741149e+06
 1.00000000000e+00, 1.40000000000e+07, 1.13565425652e+01, 8.63853912889e-06, 3.64919276473e+06
 1.00000000000e+00, 1.50000000000e+07, 1.20927317575e+01, 8.66462217766e-06, 3.65427742419e+06
 1.00000000000e+00, 1.60000000000e+07, 1.28195046925e+01, 8.69162863689e-06, 3.65945848479e+06
 1.00000000000e+00, 1.70000000000e+07, 1.35369898357e+01, 8.71951691724e-06, 3.66473298564e+06
 1.00000000000e+00, 1.80000000000e+07, 1.42453186397e+01, 8.74824701363e-06, 3.67009794399e+06
 1.00000000000e+00, 1.90000000000e+07, 1.49446249943e+01, 8.77778047425e-06, 3.67555038288e+06
 1.00000000000e+00, 2.00000000000e+07, 1.56350447004e+01, 8.80808036556e-06, 3.68108735320e+06
 8.00000000000e+00, 6.00000000000e+06, 4.98941278747e+00, 8.61228955703e-06, 3.71308338471e+06
 8.00000000000e+00, 7.00000000000e+06, 5.78574798436e+00, 8.62840771638e-06, 3.71749444572e+06
 8.00000000000e+00, 8.00000000000e+06, 6.57223953175e+00, 8.64579769647e-06, 3.72201161538e+06
 8.00000000000e+00, 9.00000000000e+06, 7.34897677089e+00, 8.66440795387e-06, 3.72663426372e+06
 8.00000000000e+00, 1.00000000000e+07, 8.11605349095e+00, 8.68418845381e-06, 3.73136121937e+06
 8.00000000000e+00, 1.10000000000e+07, 8.87356817407e+00, 8.70509068403e-06, 3.73619087627e+06
 8.00000000000e+00, 1.20000000000e+07, 9.62162400173e+00, 8.72706766398e-06, 3.74112128489e+06
 8.00000000000e+00, 1.30000000000e+07, 1.03603286853e+01, 8.75007394841e-06, 3.74615022995e+06
 8.00000000000e+00, 1.40000000000e+07, 1.10897941713e+01, 8.77406562487e-06, 3.75127529616e+06
 8.00000000000e+00, 1.50000000000e+07, 1.18101362623e+01, 8.79900030511e-06, 3.75649392372e+06
 8.00000000000e+00, 1.60000000000e+07, 1.25214741850e+01, 8.82483711073e-06, 3.76180345460e+06
 8.00000000000e+00, 1.70000000000e+07, 1.32239301301e+01, 8.85153665344e-06, 3.76720117118e+06
 8.00000000000e+00, 1.80000000000e+07, 1.39176287837e+01, 8.87906101060e-06, 3.77268432794e+06
 8.00000000000e+00, 1.90000000000e+07, 1.46026968642e+01, 8.90737369670e-06, 3.77825017749e+06
 8.00000000000e+00, 2.00000000000e+07, 1.52792626743e+01, 8.93643963141e-06, 3.78389599156e+06
 1.50000000000e+01, 6.00000000000e+06, 4.87083152436e+00, 8.75504804874e-06, 3.81402820854e+06
 1.50000000000e+01, 7.00000000000e+06, 5.64880859751e+00, 8.77033799074e-06, 3.81861606496e+06
 1.50000000000e+01, 8.00000000000e+06, 6.41734866138e+00, 8.78685936036e-06, 3.82330336796e+06
 1.50000000000e+01, 9.00000000000e+06, 7.17654123786e+00, 8.80456345989e-06, 3.82808960026e+06
