HEADER
'SW'	'PCOW'
UNITS
'none'	'bar'
0.3		2.0680
0.3143	1.6034
0.3286	1.3244
0.3429	1.1161
0.3571	0.9638
0.3714	0.8494
0.3857	0.7637
0.4000	0.6890
0.4143	0.6290
0.4286	0.5805
0.4429	0.5364
0.4571	0.4987
0.4714	0.4662
0.4857	0.4395
0.5000	0.4140
0.5143	0.3906
0.5286	0.3716
0.5429	0.3532
0.5571	0.3368
0.5714	0.3216
0.5857	0.3083
0.6000	0.2960
0.6143	0.2838
0.6286	0.2733
0.6429	0.2631
0.6571	0.2539
0.6714	0.2457
0.6857	0.2372
0.7000	0.2300
0.7143	0.2229
0.7268	0.2162
0.7429	0.2101
0.7571	0.2039
0.7714	0.1988
0.7857	0.1931
0.8000	0.1880
0.8143	0.1829
0.8286	0.1791
0.8429	0.1750
0.8571	0.1709
0.8714	0.1659
0.8857	0.1631
0.9000	0.1590
0.9143	0.1559
0.9286	0.1521
0.9429	0.1490
0.9571	0.1470
0.9714	0.1439
0.9857	0.1411
1.0000	0.1380



















































