HEADER	
'time'	'total volume'
UNITS	
's'	'cm^3'
0.1	0
0.1724626	0
0.2291799	0
0.2972406	0
0.3789134	0
0.4769208	0
0.5945297	0
0.7356603	0
0.9050171	0
1.108245	0
1.352119	0
1.644768	0
1.995946	0
2.41736	0
2.923057	0
3.529893	0
4.258096	0
5.131941	0
6.180554	0
7.438889	0
8.948892	0
10.7609	0
12.9353	0
15.54459	0
18.67573	0
22.4331	0
26.94195	0
32.35256	0
38.8453	0
46.63658	0
55.98613	0
67.20558	0
80.66893	0
96.82494	0
116.2122	0
139.4768	0
167.3944	0
200.8955	0
241.0969	0
289.3385	0
347.2284	0
416.6963	0
500.0578	0
600.0917	0
720.1323	0
864.181	0
1037.039	0
1244.47	0
1493.386	0
1792.085	0
2150.525	0
2580.652	0
3096.805	0
3716.188	0
4459.448	0
5351.36	0
6421.654	0
7706.008	0
9247.232	0
10916.89	0
12920.48	0
15324.79	0
18000	0
18000.1	0
18000.22	0.000310566
18000.24	0.000357988
18000.26	0.000414226
18000.29	0.000480766
18000.32	0.000559289
18000.36	0.00065167
18000.4	0.000759985
18000.46	0.000886509
18000.53	0.001033636
18000.6	0.001203766
18000.7	0.001399078
18000.81	0.001621045
18000.95	0.001870585
18001.12	0.00215021
18001.32	0.002466124
18001.55	0.002827294
18001.84	0.003239688
18002.18	0.003705425
18002.59	0.004230005
18003.08	0.004822373
18003.67	0.005492939
18004.38	0.006251118
18005.24	0.007101149
18006.26	0.008042692
18007.48	0.009089335
18008.95	0.01026511
18010.72	0.01157846
18012.84	0.013039
18015.38	0.01466596
18018.43	0.01648167
18022.09	0.01849603
18026.48	0.02070606
18031.76	0.023142
18038.08	0.02584228
18045.67	0.0288053
18054.78	0.03203612
18065.71	0.03555349
18078.83	0.03935795
18094.57	0.04344253
18113.46	0.04787106
18136.12	0.05270811
18163.32	0.05794644
18195.96	0.06355811
18233.75	0.0693258
18279.1	0.07547578
18333.51	0.08210175
18397.23	0.0890408
18473.7	0.0963777
18565.46	0.1040987
18670.72	0.1119692
18797.03	0.1203086
18948.61	0.1290197
19123.53	0.1378021
19333.44	0.1470214
19585.34	0.1565693
19887.61	0.1663667
20250.34	0.1764055
20685.61	0.1865593
21207.94	0.1967082
21834.73	0.2068061
22586.88	0.216701
23489.46	0.2262184
24572.55	0.2352832
25872.27	0.2437768
27431.93	0.2515377
29303.52	0.2584575
31549.43	0.2644921
34244.52	0.2696054
36000	0.2722487
36000.1	0.2722488
36000.22	0.2786864
36000.23	0.279021
36000.23	0.279421
36000.24	0.2798992
36000.25	0.2804705
36000.27	0.2811527
36000.28	0.2819667
36000.3	0.282938
36000.32	0.2840973
36000.35	0.2854806
36000.38	0.2870065
36000.41	0.2885181
36000.44	0.2900346
36000.47	0.2916289
36000.51	0.2933573
36000.54	0.2952311
36000.59	0.2973069
36000.63	0.2996572
36000.69	0.302274
36000.75	0.3052084
36000.82	0.3086028
36000.89	0.311812
36000.95	0.3149146
36001.02	0.3179614
36001.08	0.3209749
36001.15	0.3240507
36001.21	0.3272405
36001.29	0.3305626
36001.36	0.3340878
36001.45	0.3378513
36001.53	0.341836
36001.63	0.3461927
36001.74	0.3510284
36001.86	0.3563058
36001.99	0.362101
36002.12	0.3678243
36002.25	0.3732737
36002.37	0.3785583
36002.49	0.3837345
36002.61	0.3889525
36002.74	0.394286
36002.87	0.3997628
36003	0.4054746
36003.15	0.4114526
36003.3	0.4176995
36003.46	0.4244445
36003.64	0.4317792
36003.84	0.4396002
36004.04	0.4475362
36004.22	0.4550178
36004.41	0.4622264
36004.59	0.4692366
36004.76	0.4762049
36004.95	0.4833356
36005.14	0.4906504
36005.34	0.4982325
36005.55	0.5061956
36005.77	0.5145244
36006	0.523402
36006.26	0.5329412
36006.51	0.5422182
36006.75	0.5510014
36006.99	0.5594834
36007.21	0.5677534
36007.44	0.5759057
36007.68	0.5842569
36007.92	0.5929008
36008.17	0.6018789
36008.44	0.6113316
36008.73	0.6212819
36009.03	0.631783
36009.34	0.6421276
36009.63	0.6520048
36009.91	0.6615169
36010.18	0.670829
36010.46	0.6799679
36010.73	0.6891466
36011.02	0.6986912
36011.33	0.7086159
36011.64	0.7190094
36011.99	0.7300525
36012.35	0.7417067
36012.69	0.7526576
36013.03	0.76323
36013.35	0.7734397
36013.67	0.7835143
36013.99	0.7934743
36014.31	0.8034093
36014.65	0.8137689
36015	0.8246467
36015.38	0.8360321
36015.78	0.8481384
36016.17	0.8599458
36016.55	0.8711847
36016.92	0.8822293
36017.29	0.8929379
36017.65	0.9035794
36018.02	0.9142109
36018.38	0.9248259
36018.77	0.9359131
36019.18	0.9476854
36019.62	0.9600858
36020.08	0.9730574
36020.5	0.9848216
36020.9	0.9961902
36021.32	1.007607
36021.72	1.018773
36022.13	1.029928
36022.54	1.041191
36022.96	1.052489
36023.4	1.064288
36023.87	1.07689
36024.37	1.090305
36024.84	1.102776
36025.28	1.114382
36025.71	1.125571
36026.15	1.137075
36026.6	1.14856
36027.05	1.160077
36027.5	1.171833
36027.97	1.183721
36028.46	1.196047
36028.98	1.209236
36029.5	1.222314
36029.99	1.234391
36030.46	1.245995
36030.9	1.256993
36031.36	1.268126
36031.83	1.279685
36032.31	1.291312
36032.8	1.303213
36033.31	1.315486
36033.84	1.328009
36034.4	1.341304
36034.96	1.354635
36035.48	1.366795
36035.98	1.378395
36036.46	1.389697
36036.93	1.400567
36037.42	1.411825
36037.93	1.423605
36038.45	1.435533
36038.99	1.447855
36039.56	1.460684
36040.15	1.473901
36040.76	1.487608
36041.33	1.500186
36041.86	1.511906
36042.37	1.52323
36042.88	1.534433
36043.38	1.545282
36043.89	1.556547
36044.45	1.568555
36045.02	1.580832
36045.61	1.593495
36046.23	1.606764
36046.88	1.620568
36047.5	1.633654
36048.07	1.645797
36048.62	1.657331
36049.16	1.668415
36049.69	1.679522
36050.22	1.690438
36050.75	1.70141
36051.33	1.713298
36051.94	1.725817
36052.58	1.738718
36053.24	1.752164
36053.94	1.766249
36054.59	1.779243
36055.19	1.791194
36055.77	1.802653
36056.33	1.813701
36056.88	1.824558
36057.44	1.835581
36057.99	1.84644
36058.57	1.857624
36059.2	1.869892
36059.87	1.882848
36060.57	1.896338
36061.31	1.910435
