HEADER		
'time'		'total volume'
UNITS		
's'	'cm^3'	
0.1	0.005555555	
0.1036973	0.005760961	
0.1076675	0.00598153	
0.1119603	0.006220016	
0.1166382	0.0064799	
0.1217769	0.006765385	
0.1274598	0.007081101	
0.1337967	0.007433151	
0.1409136	0.007828535	
0.1489586	0.008275477	
0.1581279	0.008784885	
0.1674594	0.009303297	
0.1765083	0.009806017	
0.1853636	0.01029798	
0.1940868	0.0107826	
0.2027265	0.01126259	
0.2113251	0.01174028	
0.2199214	0.01221785	
0.2285535	0.01269741	
0.2372575	0.01318097	
0.2460747	0.01367081	
0.2550477	0.01416932	
0.2642255	0.01467919	
0.2736678	0.01520377	
0.2834369	0.01574649	
0.2936097	0.01631165	
0.3042775	0.0169043	
0.3155457	0.01753032	
0.3275297	0.01819609	
0.3403827	0.01891015	
0.3542731	0.01968184	
0.3694042	0.02052245	
0.3860345	0.02144636	
0.4044446	0.02246914	
0.424998	0.023611	
0.4468171	0.02482317	
0.4674925	0.02597181	
0.4873371	0.02707428	
0.5065611	0.02814228	
0.5253175	0.0291843	
0.5437204	0.03020669	
0.5618604	0.03121447	
0.5798139	0.03221188	
0.5976489	0.03320271	
0.6154293	0.03419051	
0.6332162	0.03517868	
0.6510777	0.03617098	
0.669083	0.03717127	
0.6873111	0.03818395	
0.7058515	0.03921397	
0.7247974	0.04026652	
0.7442706	0.04134837	
0.764398	0.04246655	
0.7853311	0.0436295	
0.8072542	0.04484745	
0.8303881	0.04613267	
0.8549705	0.04749836	
0.8813085	0.04896158	
0.9097667	0.05054259	
0.940754	0.05226411	
0.9748146	0.05415636	
1.012555	0.05625304	
1.05471	0.05859497	
1.099325	0.06107359	
1.141516	0.06341753	
1.181961	0.06566447	
1.221094	0.06783858	
1.259236	0.06995755	
1.296627	0.07203485	
1.333459	0.07408105	
1.369888	0.07610489	
1.406057	0.0781143	
1.442102	0.08011674	
1.478146	0.08211923	
1.514329	0.08412937	
1.55079	0.08615499	
1.587689	0.08820492	
1.625207	0.09028927	
1.663535	0.09241862	
1.702922	0.09460676	
1.743628	0.09686819	
1.785961	0.09922005	
1.830297	0.1016832	
1.877085	0.1042825	
1.92681	0.107045	
1.980094	0.1100052	
2.037684	0.1132047	
2.100414	0.1166896	
2.169395	0.1205219	
2.245885	0.1247714	
2.317871	0.1287706	
2.385833	0.1325462	
2.450854	0.1361585	
2.513664	0.139648	
2.574768	0.1430426	
2.634554	0.1463641	
2.693347	0.1496304	
2.751428	0.1528571	
2.809053	0.1560585	
2.866458	0.1592477	
2.92388	0.1624378	
2.981566	0.1656425	
3.03977	0.1688761	
3.098792	0.1721551	
3.158932	0.1754962	
3.220562	0.1789201	
3.284109	0.1824505	
3.350037	0.1861131	
3.418929	0.1899405	
3.491488	0.1939715	
3.568498	0.1982499	
3.650887	0.202827	
3.739857	0.2077698	
3.836715	0.2131508	
3.933674	0.2185374	
4.023221	0.2235123	
4.107501	0.2281945	
4.187829	0.2326572	
4.265109	0.2369505	
4.340036	0.2411131	
4.413163	0.2451757	
4.484932	0.2491629	
4.555715	0.2530953	
4.625848	0.2569916	
4.695652	0.2608695	
4.765464	0.264748	
4.835618	0.2686454	
4.906491	0.2725828	
4.97848	0.2765822	
5.052019	0.2806677	
5.127652	0.2848696	
5.205939	0.2892188	
5.287575	0.2937541	
5.373395	0.2985219	
5.46439	0.3035772	
5.561634	0.3089797	
5.666571	0.3148095	
5.778062	0.3210034	
5.879341	0.32663	
5.973399	0.3318555	
6.062172	0.3367873	
6.146964	0.341498	
6.228673	0.3460374	
6.307972	0.3504428	
6.385412	0.3547451	
6.461468	0.3589704	
6.536572	0.3631428	
6.6111	0.3672833	
6.685433	0.3714129	
6.759937	0.375552	
6.835001	0.3797223	
6.911072	0.3839484	
6.988596	0.3882553	
7.068156	0.3926753	
7.150371	0.3972428	
7.235954	0.4019974	
7.325787	0.4069881	
7.420936	0.4122742	
7.522577	0.4179209	
7.632191	0.4240106	
7.748229	0.4304571	
7.853376	0.4362987	
7.950865	0.4417147	
8.042714	0.4468174	
8.130322	0.4516845	
8.214674	0.4563708	
8.296488	0.460916	
8.376332	0.4653518	
8.454697	0.4697054	
8.532034	0.4740018	
8.608748	0.4782638	
8.685249	0.4825138	
8.761929	0.4867738	
8.839199	0.4910666	
8.917524	0.4954179	
8.997371	0.4998539	
9.07935	0.5044083	
9.164116	0.5091175	
9.252425	0.5140236	
9.345218	0.5191787	
9.443637	0.5246465	
9.548952	0.5304973	
9.66276	0.53682	
9.779215	0.5432897	
9.885083	0.5491713	
9.983455	0.5546364	
10.07627	0.5597928	
10.16489	0.5647161	
10.25029	0.5694606	
10.3332	0.5740664	
10.41416	0.5785646	
10.49369	0.5829826	
10.57222	0.5873454	
10.65017	0.5916761	
10.72797	0.5959982	
10.80602	0.6003342	
10.88476	0.6047086	
10.96467	0.6091481	
11.04624	0.6136799	
11.13012	0.61834	
11.21699	0.6231662	
11.30767	0.6282039	
11.40316	0.6335086	
11.50468	0.6391488	
11.61359	0.6451996	
11.73167	0.6517595	
11.84655	0.6581415	
11.9516	0.663978	
12.04961	0.6694226	
12.14234	0.6745746	
12.23108	0.6795046	
12.31676	0.6842642	
12.40005	0.6888917	
12.48151	0.6934174	
12.56163	0.6978684	
12.64085	0.7022693	
12.71958	0.7066435	
12.79827	0.7110151	
12.87733	0.715407	
12.95722	0.7198453	
13.03843	0.7243572	
13.12151	0.7289725	
13.20712	0.733729	
13.29599	0.7386662	
13.389	0.7438335	
13.48724	0.7492911	
13.59202	0.755112	
13.70479	0.7613772	
13.82755	0.7681974	
13.93973	0.7744292	
14.04307	0.7801704	
14.13995	0.7855529	
14.23198	0.7906656	
14.32031	0.7955728	
14.40579	0.8003218	
14.48907	0.8049485	
14.57068	0.8094819	
14.65108	0.8139486	
14.73071	0.8183726	
14.81	0.8227778	
14.88939	0.8271884	
14.96931	0.8316282	
15.05025	0.836125	
15.13271	0.8407061	
15.21729	0.8454051	
15.3047	0.8502612	
15.3957	0.8553167	
15.49127	0.8606259	
15.59259	0.8662549	
15.70106	0.8722809	
15.81831	0.8787948	
15.93881	0.8854896	
16.04806	0.8915586	
16.14942	0.8971898	
16.24493	0.9024961	
16.33602	0.9075564	
16.42372	0.9124288	
16.50881	0.9171563	
16.5919	0.9217722	
16.67348	0.9263044	
16.75402	0.9307787	
16.83394	0.9352188	
16.91369	0.9396492	
16.99369	0.9440939	
17.07441	0.9485784	
17.15636	0.9531311	
17.24005	0.9577807	
17.32616	0.9625645	
17.41541	0.9675225	
17.50864	0.972702	
17.60691	0.9781618	
17.71154	0.9839745	
17.82399	0.9902215	
17.94615	0.997008	
18.06212	1.003451	
18.16838	1.009354	
18.26764	1.014869	
18.36165	1.020092	
18.45167	1.025093	
18.53863	1.029924	
18.62323	1.034624	
18.70602	1.039223	
18.78749	1.043749	
18.8681	1.048227	
18.94826	1.052681	
19.02843	1.057135	
19.10904	1.061613	
19.19058	1.066143	
19.27357	1.070754	
19.35858	1.075477	
19.44634	1.080352	
19.53758	1.085421	
19.63326	1.090737	
19.73456	1.096364	
19.84287	1.102382	
19.9598	1.108877	
20.08363	1.115757	
20.19531	1.121962	
20.29861	1.127701	
20.39574	1.133096	
20.48819	1.138233	
20.57708	1.143171	
20.66323	1.147957	
20.74727	1.152626	
20.82972	1.157206	
20.91105	1.161725	
20.9917	1.166205	
21.07211	1.170673	
21.15272	1.175151	
21.23398	1.179665	
21.31642	1.184246	
21.40056	1.18892	
21.48705	1.193725	
21.57663	1.198702	
21.67014	1.203896	
21.76861	1.209367	
21.87337	1.215187	
21.98588	1.221438	
22.108	1.228222	
22.22608	1.234782	
22.33394	1.240775	
22.43453	1.246363	
22.52967	1.251648	
22.62065	1.256703	
22.70847	1.261581	
22.79384	1.266324	
22.87734	1.270963	
22.95947	1.275526	
23.04068	1.280038	
23.12141	1.284522	
23.2021	1.289005	
23.28318	1.29351	
23.36517	1.298065	
23.44858	1.302699	
23.53397	1.307443	
23.62207	1.312337	
23.71364	1.317424	
23.80962	1.322756	
23.91116	1.328398	
24.0197	1.334428	
24.13683	1.340935	
24.26233	1.347907	
24.37525	1.35418	
24.47956	1.359975	
24.57754	1.365419	
24.67075	1.370597	
24.7603	1.375572	
24.84706	1.380392	
24.93166	1.385092	
25.01464	1.389702	
25.09647	1.394248	
25.17759	1.398755	
25.25845	1.403247	
25.33949	1.407749	
25.42116	1.412287	
25.504	1.416889	
25.58852	1.421585	
25.6754	1.426411	
25.76536	1.431409	
25.85925	1.436625	
25.95811	1.442117	
26.06326	1.447959	
26.17621	1.454234	
26.29879	1.461044	
26.41776	1.467653	
26.52635	1.473686	
26.62757	1.479309	
26.72326	1.484625	
26.81475	1.489708	
26.90303	1.494613	
26.98884	1.49938	
27.07276	1.504042	
27.15529	1.508627	
27.23689	1.51316	
27.31799	1.517666	
27.39906	1.52217	
27.48051	1.526695	
27.56287	1.53127	
27.64665	1.535925	
27.73242	1.54069	
27.82092	1.545607	
27.9129	1.550717	
28.00933	1.556074	
28.11136	1.561742	
28.22044	1.567802	
28.33819	1.574344	
28.46417	1.581342	
28.57751	1.587639	
28.68221	1.593456	
28.78056	1.59892	
28.87412	1.604117	
28.964	1.609111	
29.05108	1.613949	
29.136	1.618666	
29.21929	1.623294	
29.30144	1.627857	
29.38288	1.632382	
29.46405	1.636892	
29.54542	1.641412	
29.62743	1.645968	
29.71062	1.65059	
29.79551	1.655306	
29.88278	1.660155	
29.97318	1.665177	
