#   Sw        Krw       Kro       J-func
    0.1638    0.0170    1.0510    2.3538
    0.2087    0.0170    0.9690    0.2203
    0.2453    0.0175    0.8138    0.1169
    0.2782    0.0183    0.6621    0.0885
    0.3057    0.0190    0.5377    0.0766
    0.3447    0.0204    0.4275    0.0642
    0.4460    0.0283    0.2611    0.0042
    0.4845    0.0339    0.2097   -0.0308
    0.5105    0.0360    0.1809   -0.0368
    0.5523    0.0411    0.1285   -0.0500
    0.5943    0.0456    0.0912   -0.0609
    0.6228    0.0522    0.0719   -0.0678
    0.6520    0.0594    0.0578   -0.0757
    0.7246    0.1071    0.0338   -0.0956
    0.7678    0.1632    0.0266   -0.1069
    0.8271    0.3240    0.0212   -0.1299
    0.8599    0.4722    0.0190   -0.1602
    0.8954    0.6392    0.0174   -0.2455
    0.9256    0.7618    0.0171   -0.3229
    0.9561    0.8500    0.0170   -0.4656
    0.9972    0.8856    0.0170   -1.4570
